REMEDELLO SOPRA,GHEDI
4.0,5.0
7.0,3.0
7.5,4.5
19.5,17.0
8.0,6.5
6.5,5.0
11.0,8.0
4.0,-1.0
14.5,10.0
10.0,7.5
10.0,5.5
9.5,7.5
7.5,13.0
8.0,6.0
12.0,9.5
8.0,7.5
7.0,4.0
5.5,0.5
18.5,17.0
7.0,3.5
0.5,-2.5
0.5,2.5
8.0,6.0
8.0,4.5
7.5,5.0
6.5,6.0
8.0,4.0
8.0,3.5
9.5,6.5
7.0,6.0
8.0,6.5
1.5,-0.5
7.0,6.0
11.0,9.5
4.0,1.0
7.5,6.5
4.0,2.5
12.0,8.0
4.5,0.0
12.5,12.0
13.5,9.5
8.5,4.0
11.0,11.0
7.0,5.5
6.5,4.0
2.5,6.0
9.0,5.0
6.5,1.0
13.5,9.5
18.0,15.0
9.5,7.5
12.5,8.5
5.0,6.5
2.0,9.0
3.0,1.5
3.0,2.0
1.5,2.5
5.0,7.0
9.0,10.5
7.5,5.5
12.0,9.0
