RAVENNA,MEZZANO
2.0,-0.5
2.0,-0.5
1.5,1.5
2.5,0.0
1.0,-1.0
4.0,2.5
1.5,-1.5
3.0,2.5
1.5,-1.0
7.0,7.5
1.5,0.5
3.5,1.5
1.5,-0.5
1.5,-0.5
2.0,2.5
2.5,1.0
1.5,-0.5
2.5,0.0
1.5,0.5
1.5,2.0
1.5,0.5
1.5,-0.5
3.0,1.0
3.0,1.5
3.0,1.5
2.0,-0.5
1.5,1.0
4.0,1.5
2.0,2.0
1.5,-1.0
1.0,0.5
1.5,0.5
2.0,-0.5
1.5,-1.0
3.5,2.5
3.0,0.5
2.0,1.5
1.5,-1.5
2.0,-0.5
3.5,1.0
1.5,2.0
3.5,1.0
1.5,0.0
1.5,0.0
3.0,2.5
3.0,1.0
4.0,2.5
1.5,-1.0
1.5,-1.0
2.0,-0.5
1.5,-1.0
1.0,-0.5
2.5,1.0
3.5,1.0
1.5,1.0
1.5,-1.0
2.0,1.5
1.5,-0.5
7.5,5.5
1.0,-1.0
3.0,0.5
1.0,-0.5
1.5,3.0
4.0,1.5
1.5,-0.5
5.5,3.0
2.5,1.0
1.0,-0.5
2.0,-1.0
1.5,2.0
2.0,0.5
3.5,1.5
1.5,-1.0
1.5,-0.5
2.0,2.5
1.5,0.0
1.0,-0.5
2.0,1.5
1.5,-0.5
1.5,-0.5
5.5,3.0
1.0,0.5
3.0,1.0
1.5,2.0
1.5,-0.5
12.0,9.5
4.5,2.0
1.5,0.5
3.5,1.5
2.5,1.0
2.5,0.5
1.5,2.0
2.5,1.0
1.0,1.0
1.5,0.0
1.0,-0.5
2.5,0.0
2.0,0.0
2.0,2.5
2.0,0.5
1.5,2.0
2.5,1.0
1.5,-0.5
1.5,1.0
2.0,1.0
2.5,1.5
1.5,-0.5
1.0,-1.5
13.5,18.0
1.5,-0.5
1.5,-1.5
3.0,0.5
1.0,0.0
6.0,3.5
2.5,0.5
1.0,-0.5
3.0,0.5
2.5,0.5
2.0,2.0
9.5,7.0
1.5,1.0
2.0,-0.5
2.0,0.0
1.5,1.0
2.5,0.0
1.0,-1.0
1.5,2.5
1.0,-0.5
1.5,-1.0
2.0,-0.5
1.5,1.5
2.5,0.5
4.5,1.5
1.5,1.0
3.5,1.0
2.0,0.0
1.5,0.0
1.0,1.0
1.5,1.0
1.5,3.5
1.5,1.0
1.5,0.0
27.0,26.5
1.0,-2.0
1.5,0.0
1.5,-1.0
1.0,0.5
3.0,0.0
1.0,1.5
1.0,-1.5
3.0,5.0
2.0,-0.5
1.0,-1.0
1.0,2.0
2.0,3.0
1.5,-0.5
1.5,1.0
10.5,8.0
2.0,1.0
1.5,-0.5
1.5,0.0
1.5,1.5
3.5,1.0
1.5,2.0
2.5,0.0
1.5,0.0
2.5,0.5
2.5,3.0
2.0,0.0
2.5,1.0
2.0,-0.5
3.0,3.0
1.0,-1.0
3.0,0.5
1.0,-1.0
5.5,5.0
6.5,3.5
1.0,-0.5
4.5,5.5
1.5,0.0
2.5,1.0
2.0,-1.0
1.0,0.0
1.5,0.5
3.0,3.0
2.0,0.0
1.0,1.5
2.0,-0.5
5.5,2.5
1.0,-0.5
1.0,1.0
2.0,-0.5
6.0,5.5
1.5,0.0
1.5,4.5
3.5,1.0
1.5,1.5
1.0,-1.5
4.0,2.0
3.5,1.0
1.5,-1.0
2.0,0.0
2.0,0.0
1.5,-0.5
2.5,-0.5
1.5,3.0
1.5,-0.5
3.5,2.5
2.0,-0.5
8.0,5.0
2.5,0.0
1.5,-0.5
4.0,2.0
58.0,54.0
4.5,2.0
2.5,1.0
2.5,0.0
1.5,-1.0
2.0,-0.5
3.0,1.0
3.0,1.0
2.0,0.0
4.0,2.0
1.5,-1.0
1.5,0.5
2.0,1.5
1.5,2.5
1.5,0.0
2.0,1.0
2.0,0.5
1.5,1.0
3.5,1.0
1.5,-0.5
2.0,0.0
2.0,0.0
3.0,3.0
1.0,-0.5
16.0,14.5
2.0,0.0
1.5,-0.5
2.0,1.0
3.0,2.0
1.5,0.0
2.5,0.5
2.0,0.5
1.5,-1.0
3.5,1.0
2.0,2.0
2.5,0.5
2.0,0.5
3.0,1.0
1.0,-0.5
3.5,0.5
5.5,4.0
1.0,-0.5
2.0,0.0
12.5,10.0
2.0,0.5
1.0,-1.5
1.0,-0.5
5.5,4.5
1.0,-1.0
2.0,-0.5
1.5,-1.0
