ANCONA,S.BENEDETTO DEL TRONTO
1.0,6.5
15.5,17.5
41.5,50.5
6.0,9.5
2.5,5.5
27.0,30.5
5.0,11.5
12.5,15.0
-1.5,2.5
5.0,7.5
-1.0,10.0
4.0,5.5
5.5,8.0
2.5,4.0
13.5,15.0
3.0,7.5
-2.0,-0.5
9.0,14.5
1.0,6.5
12.5,14.0
0.0,4.5
12.0,17.5
-3.5,0.5
25.0,27.0
9.0,8.5
-4.5,6.0
7.5,7.0
2.0,4.5
96.0,101.0
12.0,16.0
11.5,12.0
-3.0,3.5
-2.5,3.0
17.0,21.0
-2.0,2.0
-1.5,4.0
12.5,13.5
12.0,14.0
-2.5,-0.5
21.0,28.0
9.0,10.5
19.5,26.0
21.5,23.5
17.5,24.5
35.5,38.0
20.5,29.5
46.0,49.0
42.0,46.5
4.0,4.5
5.0,8.5
-2.0,5.0
12.5,16.0
20.5,25.0
25.5,26.0
29.0,32.0
1.0,5.5
6.5,10.5
-1.5,2.5
52.0,65.5
21.0,27.0
-6.0,2.0
0.0,2.0
-4.5,0.5
0.0,1.5
0.0,1.5
4.0,4.5
12.5,14.5
38.5,41.0
-1.0,2.0
83.0,96.5
4.5,6.5
6.0,8.5
28.5,34.5
10.0,13.5
5.5,11.5
0.0,2.0
35.0,42.0
-1.5,1.0
52.5,54.0
11.5,13.0
21.5,23.0
39.0,47.0
4.0,10.5
25.0,28.0
32.5,37.0
-5.5,11.5
-2.5,0.0
11.0,16.5
12.0,13.0
29.0,31.0
-1.5,0.5
-0.5,3.5
20.5,24.0
21.0,25.5
18.0,19.0
20.0,25.5
-0.5,1.5
-3.5,22.5
29.5,34.0
9.0,10.5
24.0,28.5
13.0,15.5
8.0,19.0
4.5,5.5
-4.0,24.0
8.0,11.5
9.5,11.5
21.5,22.0
2.5,5.0
11.0,14.5
8.0,11.5
46.0,49.0
23.5,27.5
4.0,6.0
27.0,30.0
-4.5,0.5
61.5,67.0
38.5,42.0
-0.5,13.0
7.5,14.5
26.5,27.5
-2.5,1.0
8.5,12.5
18.5,23.5
40.0,42.5
13.0,18.0
10.5,10.5
7.5,8.5
