NOGARA,BONFERRARO
3.0,3.5
2.0,3.0
1.5,2.5
4.0,5.0
3.5,4.0
2.0,3.0
1.5,2.0
0.5,1.5
2.0,2.5
5.0,6.0
3.5,5.0
2.5,3.0
4.5,6.0
4.5,6.5
2.5,3.0
4.0,4.5
6.5,7.5
1.5,2.0
3.5,4.5
5.5,6.5
1.5,2.5
2.5,3.0
1.5,2.5
4.0,5.0
1.0,2.5
3.0,4.5
11.5,13.0
6.0,6.0
2.0,2.5
2.5,3.0
-0.5,4.0
3.0,4.0
6.5,7.5
3.0,3.5
2.5,4.0
2.0,4.0
2.5,3.0
2.5,4.0
2.5,3.5
3.0,5.0
0.0,1.5
4.0,4.5
6.5,7.0
2.5,4.0
0.5,2.0
4.5,5.0
2.0,3.0
3.0,4.0
1.5,2.5
5.5,7.5
2.5,7.5
5.0,8.5
5.0,6.0
4.5,5.5
4.5,7.0
2.5,5.5
3.0,4.0
10.5,12.5
2.0,3.0
0.5,5.0
2.0,3.0
3.5,5.0
0.5,2.0
1.5,2.5
1.0,1.5
1.5,3.0
3.5,4.0
2.5,3.0
0.5,2.0
1.5,2.5
4.5,5.5
4.5,5.5
4.0,5.0
1.0,2.0
1.0,1.5
0.0,1.5
2.0,2.5
2.5,3.5
6.5,7.5
5.0,5.5
1.5,2.0
3.5,4.5
3.0,4.0
3.5,4.5
4.5,4.5
0.5,2.0
2.5,2.5
2.0,2.5
0.5,2.5
6.5,7.5
4.5,5.5
3.5,4.5
7.0,8.5
1.5,2.5
4.5,5.0
2.5,3.0
4.0,5.5
0.5,1.5
4.5,4.5
3.0,4.0
0.5,2.5
2.5,4.0
3.0,3.5
2.0,3.0
5.0,6.5
2.0,3.5
3.5,4.0
3.5,4.5
4.5,12.5
1.5,3.0
2.5,3.5
7.5,8.5
3.0,19.5
0.0,1.5
0.5,1.5
2.0,6.0
3.0,3.5
3.0,11.0
4.0,7.0
0.5,1.5
2.0,2.0
2.5,3.0
2.5,3.0
3.5,8.5
2.0,2.5
16.0,17.5
5.0,8.5
0.5,1.5
4.5,5.5
0.5,1.5
0.0,1.5
4.0,5.0
2.0,4.0
2.5,4.5
2.5,3.0
3.0,7.5
2.0,3.0
3.0,3.5
1.0,2.0
1.5,2.5
2.0,2.5
0.5,1.0
3.0,3.5
4.0,5.5
6.5,8.0
2.0,2.5
1.0,1.5
0.5,3.5
1.0,2.0
0.5,1.5
2.0,2.5
2.5,3.0
0.5,1.5
6.5,8.0
2.0,2.5
0.0,2.0
1.0,1.0
5.0,7.0
1.5,5.5
5.5,5.0
3.5,8.0
4.0,5.0
1.0,1.5
48.5,53.0
4.5,4.5
6.5,7.5
7.0,7.5
18.5,19.0
3.0,4.0
1.0,2.0
2.5,5.0
3.5,4.0
7.0,8.0
0.0,1.5
2.0,4.0
3.0,4.5
1.5,2.5
3.0,4.0
2.0,3.0
5.5,7.0
0.5,1.5
2.0,3.0
4.0,4.5
1.5,2.0
1.0,5.0
3.5,4.5
0.0,1.5
2.5,3.0
2.5,3.5
6.0,6.0
0.0,2.0
4.5,5.0
4.5,5.5
2.0,3.0
2.0,2.5
1.5,2.0
3.0,4.5
2.0,3.5
4.0,5.5
4.5,6.5
1.5,2.5
3.5,4.5
3.0,4.0
9.0,10.0
0.0,1.5
5.0,5.5
0.5,1.5
3.5,4.0
4.0,4.5
2.0,3.0
1.5,2.0
6.0,6.5
1.5,2.0
1.5,3.0
11.0,11.0
41.0,41.0
2.0,7.5
0.5,1.5
2.5,4.0
3.5,5.0
3.0,4.0
1.0,2.0
1.0571575237923498E13,4.0
2.5,3.5
5.0,6.5
2.5,3.5
2.5,3.5
20.5,21.0
