NOGARA,SANGUINETTO
-2.5,0.0
-3.0,-1.0
-3.0,-1.0
-2.0,0.5
-3.5,-1.0
-3.0,4.0
-3.0,-1.0
-2.5,-1.0
-2.5,-1.5
-2.0,0.0
0.0,0.0
-2.5,-0.5
-2.5,0.0
-3.0,-1.0
-2.5,-1.5
-2.5,-1.0
-3.0,0.0
-2.5,0.0
-1.0,1.0
-3.0,-1.0
-2.5,0.5
-2.0,-1.0
-1.5,-0.5
-2.5,-1.5
-3.0,0.0
0.0,0.5
-1.5,-0.5
-3.0,-1.0
-1.5,-0.5
-1.5,0.5
-2.5,-0.5
-2.5,-0.5
-3.5,-2.0
-2.0,0.0
-2.0,-1.0
1.0,0.0
-2.5,-0.5
-2.5,-1.0
-2.5,-1.0
-3.0,-0.5
1.5,1.5
2.0,1.0
-3.0,0.0
-3.0,-1.5
-2.5,-0.5
-2.5,0.0
-3.0,3.0
-2.5,0.0
-2.5,-1.0
-3.5,-1.0
-2.5,0.0
-3.0,-1.0
-3.5,-2.0
-3.0,-1.5
-2.5,-1.0
-3.0,-1.0
-3.5,-1.5
-3.0,-0.5
0.0,0.0
4.0,2.5
-3.0,-0.5
-1.5,0.0
-3.0,4.0
-3.0,0.0
44.5,45.0
0.0,-0.5
-3.0,-1.0
-3.0,-2.0
-2.0,-0.5
-2.5,-1.0
18.0,16.0
-1.5,0.5
-3.0,-1.0
-2.5,-0.5
-2.5,-1.0
-3.0,-1.0
-2.5,0.0
-3.0,-1.0
-3.0,-0.5
-3.0,-1.0
-2.0,-0.5
-3.0,-1.0
-2.5,0.0
-2.0,0.5
-2.5,-1.0
-3.0,-0.5
-2.5,-1.0
-3.0,0.5
-1.5,-1.0
-3.0,-1.0
-2.5,-0.5
-3.0,-0.5
-3.0,-0.5
3.5,2.0
-2.5,0.0
-2.5,0.0
-4.0,-1.0
-3.0,-1.0
0.0,-0.5
-3.0,5.0
-3.0,-1.0
-2.0,0.0
-2.5,3.5
-2.0,-1.0
5.0,4.0
-3.0,-1.0
-3.5,-1.5
2.5,2.5
-2.5,-0.5
-2.0,-0.5
-1.0,0.5
-2.5,-1.5
-3.0,0.0
-3.0,-0.5
-3.5,-0.5
-2.5,-0.5
-3.0,0.0
8.5,7.5
-2.5,-0.5
-3.0,26.0
-2.5,-0.5
-2.5,-0.5
-1.5,-1.5
-3.0,0.0
1.0,0.5
-1.0,-1.5
-3.0,-1.0
