CANNETO SULL`OGLIO,ASOLA
20.5,20.5
-0.5,-0.5
6.5,5.5
5.5,5.5
12.0,12.0
11.5,13.0
2.5,1.5
2.5,2.0
3.0,3.5
10.5,10.5
5.5,6.0
18.5,18.5
12.0,13.0
2.0,2.0
-1.0,-1.5
4.5,3.5
5.5,6.5
3.5,4.5
1.5,2.0
4.5,6.0
3.5,3.0
9.0,10.0
7.5,8.0
7.0,6.5
1.5,2.5
2.0,2.0
1.0,0.5
7.0,8.0
2.0,2.0
5.5,6.0
2.5,3.5
9.5,10.5
2.0,1.5
3.5,4.5
5.5,4.5
6.5,7.0
5.0,4.0
2.5,2.5
6.5,7.0
12.5,13.0
2.0,3.0
4.0,4.0
0.5,0.5
1.5,2.5
5.5,6.5
1.0,2.5
1.5,2.5
8.0,9.0
6.0,6.0
11.0,10.0
0.5,0.0
0.5,-0.5
2.0,2.0
4.5,4.5
18.0,18.0
18.0,19.5
7.5,6.0
5.5,6.5
1.0,1.5
29.0,29.0
9.0,8.5
-1.0,-1.5
5.0,5.5
8.5,8.5
1.5,1.0
-1.5,-1.5
2.5,3.5
9.5,10.5
3.5,5.0
1.5,1.5
0.0,-1.0
5.5,7.0
2.5,2.0
4.5,5.5
2.0,2.5
4.0,5.5
3.0,2.0
2.5,3.0
7.0,7.0
2.5,1.5
19.0,19.5
6.5,8.0
5.0,5.0
13.0,12.0
12.0,12.5
7.0,7.5
6.0,6.0
2.5,3.5
0.5,2.5
3.0,3.0
5.0,5.5
18.0,19.0
8.5,8.0
0.0,0.5
0.5,1.5
10.0,10.0
3.5,3.5
9.0,10.0
1.0,2.5
6.0,6.5
-1.5,-2.0
6.5,6.0
3.0,2.5
7.0,7.5
4.5,5.0
6.0,5.5
14.5,15.0
9.5,10.0
5.5,6.5
0.5,1.0
11.5,12.0
14.5,13.5
24.0,25.0
4.5,4.5
9.0,9.0
2.0,3.0
4.5,5.0
0.5,1.0
2.0,1.0
9.5,9.0
3.0,2.0
6.5,7.5
6.5,6.0
4.0,3.5
27.5,27.5
2.0,3.0
22.0,23.0
-1.5,-0.5
0.0,0.0
1.0,2.0
11.0,12.5
9.5,9.5
7.5,7.0
0.5,1.0
2.0,2.0
9.5,10.5
6.5,7.0
0.5,2.0
7.5,7.5
29.5,30.0
4.0,5.0
0.5,1.0
4.0,3.5
3.5,4.5
10.0,10.0
1.0,0.0
1.5,0.5
4.0,5.0
3.0,4.0
