RASTIGNANO,MUSIANO-PIAN DI MACINA
0.5,1.0
0.0,2.0
0.0,1.0
1.0,1.5
0.0,1.0
2.0,2.0
-0.5,1.5
0.5,1.0
1.5,3.0
-0.5,1.0
4.0,4.0
0.5,1.5
0.0,1.0
1.5,3.0
1.0,3.0
3.5,3.5
2.0,2.5
4.5,4.5
2.0,2.5
0.5,1.0
-0.5,1.0
1.0,1.5
1.5,2.0
1.0,3.0
1.0,1.5
2.0,2.5
1.0,1.0
3.5,5.5
2.0,4.5
1.0,2.0
0.0,1.0
2.0,3.0
4.5,5.5
1.5,2.0
0.5,1.0
1.5,1.5
1.0,2.0
3.5,3.5
0.0,1.0
1.5,2.5
0.5,2.0
0.5,1.0
3.0,4.0
1.5,2.0
1.0,1.5
1.5,2.0
0.5,1.0
1.0,1.5
0.5,1.0
3.5,4.0
1.5,1.5
0.0,1.5
0.5,1.5
0.5,1.0
0.5,1.5
1.0,1.5
0.0,1.0
4.0,4.5
0.5,1.0
0.0,1.0
0.5,1.0
1.0,2.0
0.5,1.5
2.0,2.5
0.5,1.0
1.5,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.5,1.5
1.0,1.5
0.0,1.0
0.0,1.0
3.5,4.0
1.0,2.0
1.5,2.5
1.0,1.5
2.0,2.0
1.5,2.0
0.0,1.0
2.0,2.0
0.0,1.0
1.0,2.5
-0.5,0.5
0.0,0.5
3.0,3.5
1.0,2.5
0.0,1.0
1.0,2.0
0.0,1.0
0.5,1.0
2.0,2.5
0.0,1.0
0.0,0.5
2.5,3.5
0.5,1.0
0.5,1.0
0.0,2.5
3.0,2.5
1.0,1.5
0.0,1.0
1.0,1.0
0.0,1.0
2.0,3.0
1.0,1.5
2.5,3.0
1.0,1.5
0.5,1.0
3.0,3.5
1.5,2.0
0.0,1.0
4.5,4.5
0.0,1.0
6.0,6.0
1.0,1.0
1.0,1.5
0.0,1.0
0.0,1.0
4.0,5.0
1.0,2.5
2.5,3.0
2.0,3.0
0.5,1.5
0.0,1.0
1.0,2.5
1.0,2.0
87.0,88.0
2.0,2.5
63.0,63.5
2.0,2.5
0.5,1.0
6.5,7.0
0.5,1.5
0.5,1.5
3.0,3.0
4.0,5.0
0.5,1.5
1.0,2.0
6.5,7.0
5.5,6.0
0.5,1.5
1.0,2.0
0.0,1.0
1.0,1.5
0.5,1.5
3.0,5.0
1.0,2.5
1.5,1.5
0.0,1.0
0.5,2.0
1.5,2.5
0.0,1.0
0.5,1.0
-0.5,1.0
4.0,6.0
1.0,2.5
1.0,0.5
1.0,1.5
4.0,3.5
0.0,1.0
1.0,1.5
3.5,3.5
0.0,1.5
0.5,1.0
0.5,1.5
0.0,1.0
0.0,1.0
1.0,1.0
3.5,3.5
1.5,1.5
1.0,1.5
0.0,1.5
0.5,1.5
2.5,3.5
0.5,1.0
0.5,1.5
3.5,4.0
1.0,2.0
1.0,2.0
-0.5,1.0
6.5,8.0
1.5,2.0
1.0,1.5
1.0,1.5
3.0,5.5
0.5,1.5
0.5,1.0
10.0,9.5
2.5,4.5
0.0,1.0
1.0,1.5
0.0,1.0
1.0,1.5
0.0,1.0
0.0,1.5
1.0,1.5
0.5,1.5
7.0,8.0
7.0,7.5
0.0,1.0
0.0,1.0
1.0,2.0
0.0,0.5
1.5,1.5
0.0,1.0
3.5,4.0
2.0,1.5
1.0,1.5
0.0,1.0
1.5,2.0
4.5,5.5
2.0,3.5
1.0,2.5
3.0,3.5
1.5,2.5
0.0,1.0
0.5,1.0
2.5,2.5
1.5,2.0
0.5,1.0
4.5,5.5
-0.5,1.0
1.5,2.5
0.5,1.5
0.0,0.5
0.0,1.5
1.0,2.0
1.5,2.0
2.0,3.5
1.0,1.5
4.5,6.0
3.0,3.5
1.5,1.5
3.5,5.0
4.5,5.5
0.0,1.0
3.0,3.5
0.0,1.0
0.5,1.5
0.0,1.0
2.0,3.5
1.5,1.5
78.0,78.0
4.0,3.5
1.5,2.0
0.0,1.0
1.0,1.5
3.0,3.5
4.0,4.0
1.0,1.0
1.5,2.0
2.0,2.0
33.5,33.5
3.5,6.0
7.0,7.0
0.0,2.0
4.0,4.5
0.5,2.0
0.0,1.0
0.5,1.5
0.5,1.5
1.0,1.5
5.0,6.0
1.0,1.5
0.0,0.5
1.0,1.5
0.5,1.0
0.0,1.0
1.0,1.5
3.5,4.0
0.5,1.0
2.5,3.0
1.0,1.5
2.5,3.5
1.0,1.5
1.0,1.5
0.5,1.0
2.5,2.5
0.5,2.0
0.0,1.0
1.0,2.0
-0.5,1.0
14.0,13.5
1.0,2.0
6.0,7.0
4.0,13.5
0.5,1.0
5.5,7.0
0.5,1.0
1.5,2.0
0.0,1.0
1.0,1.5
0.5,1.0
9.5,10.0
3.5,3.5
2.0,2.5
1.0,1.5
-0.5,0.0
7.5,8.0
5.0,5.0
15.0,15.0
0.0,1.0
0.0,2.0
16.0,16.5
1.5,2.0
2.5,3.5
6.5,6.0
5.0,5.0
0.0,1.0
1.5,1.5
0.5,1.0
0.0,1.0
0.0,1.5
0.5,1.5
0.0,1.5
2.0,2.0
0.0,0.5
0.5,1.0
3.0,3.5
1.0,2.0
4.0,3.0
0.5,2.5
0.0,1.0
2.5,4.0
0.0,1.5
27.5,34.5
0.5,1.0
0.0,1.0
0.5,1.0
2.0,2.5
1.0,1.0
0.0,1.5
1.5,2.0
6.5,7.0
0.0,1.5
0.5,1.0
1.0,2.5
0.5,1.5
-0.5,0.5
1.0,2.0
0.5,1.5
0.0,1.0
0.0,1.0
0.0,1.5
0.5,1.0
-0.5,1.0
0.0,1.0
26.5,28.0
1.0,2.0
0.5,2.0
0.5,1.0
0.0,1.5
0.5,1.5
0.5,1.5
1.0,2.5
0.5,1.5
3.0,3.5
1.0,2.5
1.5,2.0
3.0,4.5
7.5,7.5
3.0,4.0
0.5,3.0
1.5,2.5
4.5,5.0
0.0,1.0
0.0,1.0
0.0,1.5
11.0,11.0
0.0,1.0
0.0,1.0
0.5,1.0
0.5,2.0
2.5,2.5
0.5,1.5
0.0,1.0
1.5,2.5
1.0,1.0
2.0,3.0
0.0,1.0
1.0,2.0
0.0,1.0
1.0,2.0
1.0,2.0
13.0,13.5
0.5,1.5
1.5,1.5
0.0,1.0
1.0,1.0
0.0,1.0
0.0,1.0
3.5,3.5
0.0,1.5
0.0,1.5
1.5,3.0
1.0,1.0
17.5,17.5
0.5,1.0
1.0,1.0
7.5,7.5
0.5,2.0
0.0,1.5
1.0,1.5
3.0,3.0
0.5,1.0
5.5,5.5
0.5,1.5
2.0,2.5
9.0,9.0
0.0,1.0
0.5,1.5
2.0,3.0
3.5,5.0
5.0,6.0
2.5,3.0
0.5,1.0
0.5,1.0
2.0,3.0
1.0,1.5
1.0,2.5
0.5,1.0
0.0,1.0
1.0,2.5
0.0,1.0
0.0,1.0
1.0,1.5
4.5,5.0
0.0,1.5
1.5,2.5
1.5,2.5
2.5,3.0
0.0,1.5
-0.5,1.0
0.0,1.0
0.0,1.0
1.5,2.5
1.0,1.5
2.0,2.5
0.0,1.0
2.5,3.0
1.0,1.5
0.5,1.5
1.5,3.0
1.0,2.0
11.0,11.5
1.5,2.5
1.0,2.0
1.5,1.5
1.0,2.0
1.5,1.5
0.5,1.5
1.5,1.5
0.0,0.5
0.5,1.5
-0.5,1.0
0.5,1.0
1.0,2.0
1.0,1.5
4.5,5.0
1.0,2.5
0.5,3.0
0.0,1.0
4.0,4.5
0.5,1.5
0.5,1.5
1.0,1.0
0.5,1.0
3.5,3.0
0.5,1.5
1.5,2.0
0.5,1.0
1.0,1.5
0.5,1.0
3.0,2.5
1.5,1.5
1.5,2.5
0.0,1.0
2.0,2.5
2.0,2.0
8.5,8.5
1.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.5,2.0
0.0,1.5
0.0,1.0
0.5,1.0
0.0,1.0
1.5,3.0
0.0,1.5
4.0,4.5
1.0,1.5
0.5,1.5
6.5,6.5
11.5,13.0
0.5,1.0
1.0,1.0
0.0,1.0
2.5,2.0
0.5,1.5
0.5,1.0
0.5,1.0
1.0,1.5
9.5,10.0
1.0,1.0
5.5,6.0
2.0,1.5
0.5,1.0
1.5,2.0
2.0,2.5
1.0,2.5
6.5,7.0
2.0,3.0
1.0,1.0
2.5,3.5
8.0,8.0
2.0,2.5
1.5,3.0
0.5,2.0
1.0,2.0
0.0,1.0
0.5,1.0
1.5,1.5
1.5,2.0
1.5,1.5
