S.ILARIO,PARMA
-0.5,-2.5
-2.0,-3.0
-2.0,-3.0
-1.5,-1.5
4.5,2.0
1.0,-1.0
2.5,0.5
8.5,9.5
2.0,-1.0
-1.5,-3.5
2.0,0.0
1.0,0.0
-1.0,-1.5
10.5,7.0
2.0,1.0
1.0,-2.0
2.5,1.0
-3.0,-3.5
2.0,-1.0
-0.5,-2.5
3.0,3.5
11.5,9.0
13.5,18.0
-1.5,-3.0
4.0,1.5
-2.0,-2.0
0.0,-2.5
1.5,1.0
-1.5,-2.5
0.0,-2.5
-2.0,-1.0
1.5,-1.0
4.5,2.5
0.0,-2.0
0.0,-2.0
-2.5,-3.0
0.0,0.0
-2.0,-1.0
2.5,0.5
-1.0,-3.5
1.0,-0.5
-1.0,-1.0
7.0,7.0
-2.0,-1.5
-1.0,-0.5
-1.0,-3.0
7.5,5.0
-1.5,-2.0
0.5,-0.5
0.5,0.5
0.5,1.5
-0.5,-2.5
-1.5,-2.0
10.0,7.5
24.0,22.5
4.0,3.5
-0.5,0.5
-1.5,-2.0
-2.5,-2.5
12.0,9.5
3.0,0.0
5.0,3.5
9.0,5.5
-2.5,-2.5
9.0,10.5
-2.0,-2.5
6.0,10.0
0.0,4.0
3.0,2.0
7.5,6.5
2.5,1.0
0.5,-2.0
0.0,1.5
-0.5,-1.5
0.5,-1.5
5.5,3.5
-2.5,-1.0
4.0,3.0
-2.5,-2.5
-1.0,-2.0
-1.0,-3.0
2.0,-0.5
-1.5,-3.0
5.0,4.0
2.0,1.5
0.0,-1.0
-0.5,-1.5
0.0,-2.0
5.0,3.0
8.5,5.0
8.0,9.0
3.5,1.5
6.5,6.5
3.0,1.5
-2.5,-2.0
0.5,-1.0
-2.5,-2.5
-1.5,-3.5
-1.5,-2.5
-2.0,-2.0
4.0,3.5
5.0,2.5
14.0,11.5
4.5,1.0
1.0,0.5
-1.0,-1.5
7.0,11.5
0.0,-2.0
69.5,67.0
8.0,8.0
4.0,0.5
2.0,0.0
-2.0,-3.5
-1.0,-2.5
9.5,7.0
7.5,4.0
-0.5,-2.5
2.0,0.5
1.0,-1.5
0.0,-1.5
1.5,1.0
-2.5,-3.5
-1.5,-2.5
6.5,7.0
14.0,12.0
1.5,-1.0
2.0,0.0
-2.0,-1.5
3.5,1.0
2.0,0.5
0.5,-1.0
-1.0,-3.0
-0.5,-1.0
0.0,-3.0
-2.0,-3.0
-1.5,5.0
0.0,-2.5
1.5,-1.5
5.5,3.0
0.0,0.0
12.5,11.0
-2.5,-1.0
