BARI CENTRALE,BRINDISI
3.5,9.0
17.0,16.0
43.5,43.0
72.0,72.5
-2.0,-1.0
32.5,40.5
14.5,16.0
21.5,23.0
-3.5,17.0
-7.5,-1.0
-2.0,-2.0
1.0,2.0
27.5,35.5
2.0,13.0
0.5,19.0
7.0,6.0
-4.0,-1.0
2.0,7.0
-3.0,5.5
7.0,9.5
3.5,10.0
32.5,37.5
6.5,7.5
13.5,12.5
1.0,6.0
-3.5,-1.0
-5.5,-1.0
0.5,6.0
107.5,108.0
23.5,26.0
4.0,2.5
1.5,0.5
-2.0,-1.5
24.0,23.5
-3.0,5.0
-7.5,-1.5
4.5,7.0
0.5,1.0
1.0,3.0
22.5,46.5
2.5,6.5
25.0,26.0
6.5,7.0
35.5,40.5
39.0,39.5
30.5,37.5
30.5,30.0
57.0,59.0
-3.0,0.0
1.5,9.0
-3.0,1.0
3.0,6.0
16.0,17.0
21.5,21.5
27.5,33.0
-4.0,-2.0
0.5,3.0
-4.0,6.5
73.0,75.0
25.5,27.5
-6.5,5.0
4.5,7.0
1.0,10.5
-1.0,2.5
-5.0,1.0
-3.5,0.0
14.0,13.0
44.0,43.0
-2.0,-1.0
102.0,111.0
23.0,30.0
-4.0,-0.5
58.0,60.0
5.0,7.0
23.5,25.5
25.0,33.0
55.5,60.5
-3.5,3.0
54.0,56.0
5.5,10.5
9.0,13.0
56.5,55.0
11.5,14.0
27.5,33.0
32.5,35.0
4.5,7.0
-5.0,8.5
18.5,16.5
3.0,2.0
26.0,27.0
-1.5,6.0
2.5,8.5
9.0,15.0
17.5,18.5
9.0,13.0
17.0,14.0
-5.5,1.0
14.5,20.5
26.0,25.0
17.5,17.5
17.5,18.0
15.5,15.5
21.5,23.0
1.0,2.5
25.5,31.0
16.0,18.0
34.5,35.0
10.5,19.0
-3.5,1.0
32.0,29.5
12.5,15.0
71.5,70.0
18.5,33.5
0.5,6.5
23.0,23.5
6.0,7.0
66.5,73.0
35.5,34.0
13.5,16.0
-1.0,-2.5
-3.5,6.5
7.5,10.5
29.5,28.0
43.5,43.0
21.5,20.5
9.0,90.0
1.5,10.5
