CASTELMAGGIORE,BOLOGNA CORTICELLA
9.5,12.0
-0.5,0.0
3.0,4.0
4.0,4.5
34.0,34.5
15.0,14.5
9.5,9.5
2.0,1.5
9.0,9.0
2.5,3.0
8.5,8.5
3.5,3.5
8.5,8.5
2.5,2.5
0.0,1.0
3.5,3.5
2.0,3.5
4.0,4.0
3.5,4.0
6.5,6.5
9.5,10.5
7.5,7.5
12.5,16.5
15.5,15.5
4.0,4.0
1.0,2.5
10.0,10.0
8.0,8.5
1.0,1.5
9.0,9.5
6.5,6.5
6.0,7.5
7.5,7.0
13.0,14.0
8.5,8.5
3.0,4.5
12.5,16.5
5.0,5.0
3.5,4.0
6.0,6.0
0.5,1.0
0.5,1.0
11.5,13.5
3.0,4.5
7.0,7.5
8.0,8.0
9.5,9.0
7.0,7.0
6.5,9.5
5.0,4.5
0.0,1.0
2.0,3.0
9.0,10.0
4.5,5.5
4.0,5.0
9.0,8.5
0.0,0.0
1.0,1.5
0.5,1.0
4.0,4.0
5.5,5.5
9.0,9.0
0.0,0.5
8.5,8.5
9.5,10.0
3.5,3.5
0.0,0.5
6.0,6.5
4.5,4.0
18.5,19.0
0.5,1.0
8.5,9.0
2.5,3.0
11.5,12.0
6.0,6.0
11.5,12.0
-0.5,0.5
0.5,3.5
8.5,9.5
6.5,8.0
5.0,5.5
2.0,2.0
0.0,11.5
0.0,1.0
0.5,0.5
1.0,1.0
0.5,1.0
5.0,5.5
1.0,1.5
3.0,3.0
0.0,1.0
6.5,7.0
0.0,2.5
8.0,9.0
0.0,1.0
4.5,5.0
1.0,1.5
8.5,9.5
7.0,7.0
6.5,7.0
6.5,6.5
0.5,0.5
9.5,14.5
2.5,3.0
5.5,6.0
5.0,5.0
2.0,2.5
2.5,2.5
3.5,4.0
3.5,4.0
10.0,10.5
-0.5,-0.5
24.0,24.5
0.0,0.5
10.0,10.0
1.0,4.5
5.5,7.5
0.0,1.0
8.0,8.0
2.0,2.5
0.5,1.0
6.0,6.5
2.0,2.5
0.5,1.0
9.0,11.5
5.5,6.5
0.5,0.5
7.0,7.0
5.5,6.0
7.5,7.0
2.0,1.5
12.5,13.5
1.0,1.5
17.5,17.5
31.5,33.0
5.5,5.5
12.5,15.0
0.0,0.5
8.0,8.5
2.0,2.0
0.0,1.0
7.5,8.0
3.0,3.5
0.5,1.5
0.5,0.5
1.0,1.0
5.5,6.5
7.5,7.5
10.5,11.0
0.0,0.0
-0.5,0.0
-1.0,-0.5
