ROVATO,BRESCIA
2.0,3.0
3.5,5.5
0.0,1.5
13.0,16.0
13.5,14.5
12.0,12.0
-1.0,-0.5
18.5,17.0
7.5,8.5
-1.0,-0.5
7.5,10.0
0.5,-0.5
7.5,6.0
-1.5,1.0
22.0,24.0
14.5,15.0
11.0,13.0
5.5,5.0
-0.5,-1.5
2.5,2.0
22.5,23.5
2.5,7.5
2.0,7.5
7.5,10.5
4.5,5.5
11.5,14.5
5.0,4.0
-0.5,2.0
11.0,12.5
3.0,2.0
1.5,5.0
7.0,6.5
2.5,1.5
5.5,6.0
29.5,28.5
4.5,4.0
5.0,5.5
8.5,8.5
-1.0,1.0
2.0,2.0
19.5,19.5
7.0,7.5
5.0,10.5
34.5,37.0
15.5,16.0
8.5,8.0
14.0,14.5
5.0,4.5
2.5,7.5
7.0,7.0
2.0,1.0
3.0,2.5
8.0,9.0
0.0,6.5
33.5,35.5
12.5,18.0
15.0,15.0
7.0,7.5
21.0,28.5
2.5,1.5
28.0,27.0
4.0,8.5
3.0,3.5
13.0,14.0
1.5,3.5
7.0,7.0
14.5,16.5
13.5,12.5
6.0,4.5
3.5,3.5
1.0,0.0
7.0,9.0
6.0,5.5
1.5,3.0
1.0,0.0
4.5,4.0
2.5,10.0
-1.5,0.0
31.0,38.0
8.0,8.5
1.0,0.5
13.0,17.5
-1.0,1.0
2.5,4.0
1.0,4.0
0.5,7.0
12.5,13.0
12.0,15.0
5.5,5.0
15.5,20.5
6.0,6.5
11.5,11.5
18.0,17.0
5.5,5.0
13.0,12.0
8.0,8.0
5.0,4.0
4.5,6.0
7.5,8.0
21.5,23.5
0.5,2.5
7.0,7.5
15.0,16.0
19.0,19.0
14.5,15.5
10.0,15.0
8.5,10.5
11.0,10.0
3.5,3.5
14.5,13.5
-2.5,0.0
13.5,15.0
13.0,13.5
5.5,9.0
6.0,6.5
10.0,11.0
13.0,13.5
0.5,2.5
16.0,16.0
28.5,33.0
35.0,33.5
0.0,-1.0
7.5,9.0
3.0,5.5
2.5,2.5
4.5,8.0
7.5,6.5
9.5,9.0
6.0,8.0
7.5,13.5
7.5,8.0
3.0,5.5
25.5,30.0
0.0,4.5
2.0,2.0
25.0,26.5
2.0,1.5
9.0,8.0
20.0,19.0
11.5,13.0
1.5,1.5
