VERONA PORTA NUOVA,ROVERETO
2.0,-2.0
0.5,-1.5
9.0,8.5
4.5,-0.5
0.0,-2.5
6.5,2.5
5.0,1.5
9.0,3.0
12.0,7.5
-1.0,-1.0
8.5,6.0
2.0,-2.0
5.0,5.0
3.5,-1.5
9.5,6.0
4.5,2.5
-0.5,-1.5
-3.0,-0.5
4.0,-0.5
0.0,2.0
9.0,10.5
3.0,0.5
13.0,7.0
1.5,-2.0
21.0,18.5
0.5,-1.5
1.5,4.0
24.5,20.0
1.0,-1.0
1.5,-3.0
1.5,-3.0
7.5,4.5
9.5,6.5
22.0,20.0
4.5,2.0
3.0,-3.0
5.5,1.0
5.0,3.5
5.5,2.0
10.0,7.5
3.5,3.0
3.5,-2.0
-2.5,-1.5
5.5,0.5
8.0,6.5
18.0,20.0
3.0,3.5
4.5,0.5
13.0,9.5
1.5,-0.5
28.0,29.0
2.0,-1.5
2.5,0.0
16.0,15.0
8.5,5.5
5.0,9.0
1.0,0.5
3.0,5.0
3.0,1.5
22.5,18.5
3.5,0.5
13.5,12.0
5.5,-0.5
9.0,7.0
-1.0,-3.5
8.0,3.5
0.5,-1.5
-2.5,-1.5
34.0,30.0
8.5,4.5
6.0,-1.5
11.0,6.5
0.0,0.0
8.5,3.0
0.5,2.5
1.0,6.5
-3.5,6.0
11.0,4.5
44.5,38.0
5.0,4.5
1.5,-3.5
1.0,-4.5
19.0,16.5
8.5,5.0
11.0,9.5
8.0,5.0
2.5,-0.5
2.5,-3.0
3.0,-0.5
5.0,1.5
10.0,9.5
4.0,0.0
6.5,1.0
0.5,-2.5
13.0,13.5
1.0,-2.5
18.0,18.5
0.5,-2.5
7.5,5.5
10.5,8.0
1.0,-3.5
4.0,2.5
6.5,5.5
-2.0,-3.5
2.5,-1.0
21.5,18.5
28.5,22.5
26.5,21.5
2.5,3.0
1.5,0.5
33.5,30.5
1.5,-1.5
-2.0,-3.0
1.5,-2.0
10.5,6.5
139.5,140.0
6.5,4.5
56.0,51.0
13.5,9.5
13.0,12.0
6.5,0.5
4.0,2.5
4.5,3.0
6.5,5.0
3.0,0.0
4.5,-1.0
8.5,5.5
5.0,3.5
29.5,26.5
1.0,-3.0
11.5,5.5
6.5,3.0
-0.5,-3.5
3.0,1.5
35.0,36.0
0.0,-1.5
15.0,14.0
2.0,-2.0
5.0,0.5
-0.5,-2.0
1.5,-3.5
-3.5,-3.5
3.0,14.5
10.0,7.5
18.5,17.0
