MONTECATINI CENTRO,MONTECATINI TERME
0.5,0.0
2.5,2.0
0.0,0.0
1.5,1.5
1.5,1.5
5.0,4.5
4.5,4.5
1.5,2.0
0.5,0.0
6.0,5.5
0.5,0.0
3.5,3.0
19.0,18.0
5.0,6.5
2.0,2.0
0.5,0.0
0.5,0.5
1.0,1.0
0.5,0.0
0.5,0.0
1.5,1.5
0.0,0.0
8.5,8.0
3.5,4.0
13.5,13.0
2.0,1.5
1.0,0.5
1.5,2.0
1.0,0.5
4.0,4.0
2.0,1.5
1.5,6.5
1.0,1.5
7.0,6.0
1.0,0.5
1.0,0.5
1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.5
0.0,0.5
0.5,0.5
2.0,1.5
1.5,1.0
0.5,0.0
0.5,-0.5
5.5,5.0
2.5,2.0
0.5,0.0
2.5,2.0
2.5,2.5
1.0,0.5
2.0,2.0
1.0,0.0
2.0,1.5
4.0,3.0
2.0,1.5
2.0,1.5
4.5,3.5
1.0,0.0
0.0,0.0
10.0,9.5
1.0,1.0
1.5,1.5
0.5,0.0
0.5,1.5
2.5,2.0
-0.5,-1.0
1.5,1.5
0.5,1.0
1.0,1.0
1.0,0.5
4.0,5.0
0.5,0.0
0.0,-1.0
1.5,2.0
1.5,2.0
6.5,6.5
1.0,0.5
2.5,2.5
1.5,1.5
3.5,3.5
1.0,0.5
4.0,3.5
3.0,2.5
1.5,2.5
3.0,2.0
1.0,1.0
0.5,0.0
0.5,0.5
1.5,1.0
1.0,1.0
2.0,2.0
2.0,3.5
0.5,1.0
0.0,-0.5
0.5,0.0
0.5,0.0
0.5,0.5
0.5,0.5
0.5,0.0
3.5,2.5
1.0,1.0
4.5,3.5
2.5,2.0
0.0,-0.5
1.0,0.5
4.0,4.0
0.5,1.0
0.5,0.0
1.5,1.5
2.0,2.0
1.0,1.5
0.5,1.0
4.0,4.0
6.0,6.0
32.0,31.5
1.5,2.5
0.5,0.0
3.5,3.0
6.5,6.0
1.5,2.5
0.5,0.5
1.5,1.0
1.5,2.0
1.5,2.0
0.5,0.5
1.5,1.5
8.5,7.5
2.0,2.0
1.0,1.0
1.5,1.0
1.5,1.0
0.5,0.5
2.5,2.0
1.5,1.5
0.5,-0.5
1.5,1.0
1.5,2.0
0.5,0.5
0.5,-0.5
3.0,3.0
0.5,0.0
1.0,1.0
1.5,1.5
3.0,3.0
