BOZZOLO,CASTELLUCCHIO
8.0,8.5
7.0,4.5
2.5,0.5
5.5,5.0
18.0,17.5
5.5,3.5
4.0,3.0
29.0,26.5
8.0,5.5
35.0,31.5
5.0,11.0
5.5,6.0
17.0,19.5
7.5,7.0
7.5,7.0
20.5,22.0
5.5,3.0
6.0,5.5
49.0,48.0
3.5,2.5
8.5,9.0
17.5,22.0
3.0,0.5
39.5,36.0
2.5,4.0
10.5,8.5
18.0,19.0
15.5,12.5
5.5,3.5
16.5,19.0
10.5,11.0
8.0,6.0
7.5,5.5
3.5,1.5
2.5,11.0
11.5,9.0
7.5,5.5
36.5,34.0
0.5,-1.5
7.5,9.5
4.5,2.5
10.5,11.0
11.0,8.5
7.5,5.5
4.5,3.0
6.0,4.0
4.0,4.0
12.5,10.5
10.0,9.5
8.0,7.5
10.0,8.5
4.0,1.5
4.5,3.0
3.5,1.0
7.0,5.0
5.5,3.5
8.0,10.0
9.0,8.5
14.5,11.5
5.5,2.5
5.0,3.5
7.0,4.5
17.5,30.5
5.5,12.5
4.5,3.0
2.5,1.0
7.5,9.0
13.5,9.5
16.5,21.0
4.0,3.0
9.0,7.5
10.5,10.5
14.5,12.5
27.0,24.5
8.0,6.0
2.5,1.0
4.0,2.5
8.0,8.5
5.0,3.0
1.0,-0.5
16.5,13.5
10.5,15.5
8.5,8.0
2.5,0.0
9.5,7.0
1.0,4.0
13.5,13.5
37.0,39.5
9.0,7.5
1.5,0.0
29.5,30.5
10.0,11.0
12.5,11.5
14.5,12.5
7.0,7.0
12.5,10.5
5.0,3.0
7.5,6.0
22.5,20.5
9.0,8.5
8.5,6.5
8.0,6.5
13.0,12.0
8.5,9.5
7.0,5.0
7.0,5.5
3.0,1.0
16.5,17.0
14.0,13.5
21.5,24.5
2.0,0.5
6.5,4.0
5.5,3.0
-1.0,-3.5
6.5,5.0
6.0,2.0
13.0,12.5
3.5,2.0
22.5,21.5
16.0,13.0
8.0,7.0
6.0,4.5
1.5,0.0
22.5,20.5
7.5,5.5
8.0,8.0
2.0,0.0
10.0,9.0
9.5,8.0
14.0,12.5
8.5,10.0
6.5,4.0
6.0,4.0
2.0,-0.5
10.5,10.0
5.5,2.5
8.0,7.5
5.5,3.5
9.5,10.5
6.0,4.0
10.0,8.0
23.5,20.5
10.5,7.5
3.0,1.0
14.5,13.5
0.5,1.0
