CREMONA,PIADENA
-2.0,5.0
6.5,7.5
2.0,0.5
5.0,6.5
-2.5,-0.5
1.5,1.0
0.5,-0.5
6.5,5.5
0.5,7.0
14.0,17.0
8.5,33.0
9.5,13.5
3.5,5.0
-5.0,0.5
0.5,3.5
5.5,3.0
20.5,20.0
10.0,15.0
7.0,8.0
-0.5,0.0
23.5,29.0
9.5,13.0
5.5,5.0
-1.0,3.0
2.0,4.5
0.0,-1.5
16.0,17.0
2.5,1.5
5.5,7.0
3.5,4.0
5.0,6.5
3.5,4.0
19.5,20.5
0.5,18.5
2.5,5.5
3.0,1.0
6.5,6.0
0.0,5.0
44.0,47.0
-1.5,1.0
2.5,3.0
-1.5,1.5
5.0,5.5
-3.5,5.5
17.0,14.5
-1.0,3.5
-0.5,3.0
-0.5,10.0
4.5,33.0
3.0,2.0
1.0,1.0
-3.0,10.0
7.5,10.5
17.0,19.5
16.0,18.0
-0.5,7.5
15.5,14.5
-2.0,11.0
4.5,5.0
7.0,5.0
13.0,15.5
-4.0,5.0
8.0,9.0
-1.5,32.0
6.0,6.5
-1.5,11.5
5.5,6.5
0.0,5.0
3.0,3.0
3.5,10.5
1.0,-1.0
6.0,3.5
11.0,10.5
3.5,7.0
0.5,6.5
0.5,4.0
29.0,31.5
2.5,1.0
1.5,0.5
2.0,11.0
4.5,7.0
2.5,5.0
5.0,4.5
7.0,10.0
5.5,2.5
11.0,11.0
0.0,2.5
4.5,5.5
-1.5,8.0
2.5,4.5
7.0,9.0
6.0,5.5
1.5,5.0
5.5,4.0
0.0,2.5
8.5,10.5
1.0,-1.0
9.0,10.0
-3.5,7.5
4.0,6.0
-2.5,34.5
3.0,8.5
4.5,6.5
0.0,2.0
0.5,-0.5
1.0,3.0
3.5,14.5
5.5,4.0
-2.5,3.5
7.0,7.0
8.0,8.5
5.0,4.5
3.5,11.0
7.5,8.5
3.5,5.0
6.5,9.0
42.5,42.5
13.5,13.5
-3.0,7.5
3.0,1.5
0.0,5.5
1.0,2.0
-3.0,0.5
-0.5,6.0
10.5,14.5
8.0,17.0
-1.0,3.0
2.5,5.5
-6.0,1.0
2.0,3.5
-4.5,2.0
2.5,2.5
6.5,6.0
3.0,1.0
-0.5,0.5
11.0,12.0
0.5,3.0
16.5,15.0
-0.5,1.0
5.5,3.5
7.5,13.0
6.0,7.5
3.5,6.0
12.0,10.5
1.5,16.0
11.0,10.5
-1.0,8.0
23.5,27.0
-0.5,3.5
10.0,8.0
-1.0,2.0
1.5,1.5
-0.5,4.0
0.0,1.5
0.0,3.5
8.0,7.5
-5.0,10.0
6.5,5.5
0.5,3.5
-2.0,0.5
-2.0,2.5
17.5,16.5
1.0,5.5
11.0,10.0
0.0,-1.5
7.5,7.5
-0.5,9.5
3.0,2.5
-1.0,0.0
10.0,9.5
8.0,9.5
2.0,5.5
2.0,1.0
-1.0,6.5
9.5,12.0
-0.5,5.5
28.0,32.0
4.0,2.5
7.5,9.0
7.0,6.0
3.5,1.0
-0.5,0.5
28.5,28.5
0.0,2.0
12.0,10.0
0.5,9.5
5.0,9.5
3.5,7.0
13.0,11.5
6.0,4.5
7.5,6.0
4.0,5.0
11.5,11.5
0.5,10.5
7.0,5.0
-5.0,-1.5
6.5,7.0
3.0,9.5
10.5,23.0
0.5,4.0
7.0,8.0
0.5,2.0
6.0,7.0
-4.5,4.0
7.5,8.0
-1.0,-1.0
3.0,9.0
2.5,8.0
5.0,6.5
0.0,8.5
4.5,6.5
2.0,5.0
7.5,6.5
7.0,8.5
2.0,2.5
4.5,4.5
17.5,15.5
-3.0,5.0
8.0,14.0
-2.5,9.0
13.0,21.5
0.0,8.5
-1.0,2.0
0.5,0.0
8.0,7.0
0.5,8.0
1.5,5.5
-1.0,-2.0
2.5,-0.5
-2.5,7.5
6.0,5.5
7.0,12.0
7.0,5.5
1.0,1.0
10.0,11.0
-5.0,6.5
0.0,2.0
5.5,7.5
21.0,22.5
1.5,6.0
7.5,13.0
33.0,34.0
8.5,7.0
3.0,5.0
4.5,5.0
-1.0,1.0
0.5,1.0
9.0,9.0
17.0,20.0
5.5,6.5
8.0,7.0
1.0,5.5
3.0,2.0
-0.5,2.0
8.5,7.5
-1.5,1.5
-0.5,2.0
-0.5,0.5
7.5,9.0
3.5,5.0
3.5,8.5
2.0,2.0
12.0,12.5
-0.5,2.5
7.0,5.0
0.5,9.0
3.0,2.0
4.0,3.0
3.5,5.0
-4.0,-1.0
4.0,2.0
8.0,30.5
8.5,10.5
2.5,4.5
7.5,5.5
1.0,2.0
6.5,7.0
1.0,1.0
5.5,4.5
3.5,2.5
-6.0,-2.0
8.5,9.0
-3.0,17.0
4.5,4.5
-2.5,22.0
0.0,10.0
22.0,22.5
21.0,23.5
0.0,9.0
7.0,9.5
-5.5,-0.5
0.5,2.5
9.0,7.5
7.5,14.0
13.5,12.5
2.5,1.0
