ARGENTA,LAVEZZOLA
2.0,1.0
1.5,1.5
3.0,2.5
33.5,31.5
-0.5,-0.5
1.5,1.0
-1.0,-0.5
0.5,0.5
0.5,2.5
0.0,0.0
0.0,-1.0
-0.5,0.0
3.5,4.0
-1.0,0.5
-0.5,0.0
0.5,0.5
0.5,-0.5
0.5,0.5
29.0,27.5
3.5,3.5
-1.5,-0.5
-1.5,0.0
0.5,-0.5
0.5,-1.0
1.0,0.0
-1.0,-0.5
-1.0,-0.5
4.0,4.5
2.0,1.0
-1.5,-0.5
1.5,1.5
-1.0,0.0
-1.5,-1.5
-0.5,-0.5
1.0,0.5
-0.5,0.5
1.0,1.0
0.5,0.0
3.0,2.0
1.0,0.0
1.5,1.0
1.5,0.5
-1.5,1.5
-0.5,0.0
0.5,0.0
1.5,0.0
-0.5,-1.0
2.0,2.0
-0.5,0.5
-0.5,-0.5
0.5,1.0
-0.5,0.5
1.0,0.0
0.0,-0.5
-0.5,-0.5
3.0,2.0
2.0,1.0
0.0,0.0
-1.0,1.0
2.0,1.0
3.0,1.5
-1.5,-0.5
0.0,-0.5
7.0,5.5
29.0,28.0
1.0,2.0
1.0,0.0
0.5,0.0
-0.5,0.0
0.5,0.0
-1.0,-0.5
0.5,0.5
-1.0,-0.5
0.0,0.5
-1.5,-1.0
1.0,0.0
1.0,1.0
-1.0,-1.0
-1.0,-0.5
10.5,9.5
1.5,1.0
0.5,0.5
0.0,0.0
0.5,0.0
0.5,-0.5
5.0,9.5
-0.5,0.5
30.0,29.0
24.0,24.5
0.5,-0.5
-1.5,1.0
3.0,3.0
-0.5,0.0
-1.0,0.0
1.0,0.0
7.0,6.5
0.5,0.0
0.0,-1.0
1.0,6.0
-0.5,-1.5
0.5,1.0
2.5,1.5
2.0,2.0
-0.5,-0.5
0.0,0.0
0.5,-1.0
-1.0,-0.5
2.0,1.0
0.0,-1.0
-1.0,0.0
1.0,1.5
3.0,2.5
-1.0,0.0
1.0,1.5
1.0,1.0
0.5,-0.5
14.0,13.0
-0.5,-0.5
0.0,-1.0
-0.5,-0.5
1.0,0.0
