TERONTOLA CORTONA,AREZZO
4.5,2.5
6.5,0.5
10.0,13.5
11.0,11.5
1.5,1.0
11.0,7.5
18.5,12.5
1.5,0.5
3.0,2.5
2.5,3.0
4.0,2.0
0.0,-2.0
2.0,2.0
35.0,34.0
15.0,10.0
1.0,1.0
7.0,7.5
8.0,2.5
0.5,-2.0
2.5,5.5
38.0,35.5
81.5,77.5
144.0,141.5
7.5,5.0
24.5,20.0
57.5,59.0
10.0,18.5
2.0,2.5
2.0,4.0
1.5,2.0
0.0,12.5
3.0,1.0
15.0,12.5
4.0,4.5
14.5,11.0
40.0,33.5
23.0,19.0
26.0,20.5
7.0,4.0
-1.0,8.0
-2.0,-3.0
3.5,3.0
11.5,13.0
2.0,3.5
19.5,14.5
32.5,28.5
15.5,9.5
2.5,3.5
1.5,2.0
24.5,19.0
14.0,9.0
44.0,40.0
14.0,8.0
6.5,7.0
6.5,6.5
27.0,24.0
0.0,-2.0
28.5,25.0
2.0,1.0
7.0,6.0
-1.0,-1.5
6.5,5.0
42.5,37.5
4.5,6.0
2.5,10.0
11.0,7.0
5.5,3.0
38.0,32.5
3.0,2.5
5.0,0.0
5.5,4.5
4.5,9.5
2.0,0.5
19.5,15.0
-0.5,2.0
0.0,7.0
2.0,1.5
-1.0,7.0
7.0,7.0
-0.5,1.5
27.0,21.0
28.0,21.5
2.5,0.5
5.0,7.0
33.5,28.0
2.0,2.0
17.5,12.5
6.5,7.5
10.0,9.5
149.0,145.0
5.0,4.5
2.0,1.5
5.5,9.5
17.0,12.0
12.0,9.5
19.0,14.5
12.5,7.5
-0.5,-1.0
4.0,0.0
-2.5,5.5
36.0,30.5
1.0,1.5
7.0,9.0
3.0,2.0
5.5,2.0
7.5,27.0
2.5,13.5
1.5,0.0
0.5,-1.5
3.0,1.5
24.0,20.0
-1.5,-2.0
2.0,1.5
7.5,7.5
5.0,5.0
2.0,0.0
12.0,8.0
1.5,2.0
0.0,8.0
7.0,4.0
6.0,3.0
1.5,3.0
5.5,12.0
23.0,17.5
-0.5,13.0
17.5,26.0
5.0,4.0
6.0,4.5
3.0,5.0
24.0,18.5
1.0,0.5
0.0,-2.5
56.0,51.0
-1.5,-3.0
