MODENA,CARPI
2.0,1.0
1.0,-0.5
1.0,2.0
1.0,0.5
2.0,2.0
1.0,0.5
1.0,-1.0
2.0,0.5
2.0,1.0
1.0,1.0
6.0,3.5
9.0,6.0
5.0,2.0
0.5,1.5
2.0,-1.5
1.0,1.0
2.0,0.5
1.0,3.0
1.0,0.0
2.0,-1.5
2.0,2.0
0.0,1.0
2.0,-1.5
2.0,1.5
1.0,0.5
2.0,-1.0
2.0,0.5
1.0,0.0
1.0,-1.5
1.0,-1.5
3.0,0.5
2.0,3.0
1.0,1.5
1.0,1.0
2.0,-1.0
1.0,-1.5
1.0,-0.5
2.0,1.0
3.0,0.5
2.0,-0.5
1.0,0.0
2.0,-1.0
2.0,1.0
1.0,0.5
2.0,0.0
4.0,2.0
2.0,0.5
2.0,4.5
0.0,1.5
1.0,0.0
1.0,-1.0
1.0,-0.5
2.0,3.5
2.0,1.0
2.0,-1.5
2.0,3.0
1.0,1.0
2.0,2.5
0.0,-0.5
1.0,-0.5
1.0,0.5
1.0,-1.0
2.0,3.5
0.0,-0.5
10.0,7.5
3.0,2.0
2.0,1.5
4.0,3.5
1.0,0.0
3.0,1.0
1.0,1.0
2.0,4.5
4.0,3.0
2.0,-0.5
2.0,2.0
1.0,-1.0
2.0,3.5
1.0,-1.0
5.0,3.0
2.0,1.5
0.0,3.0
1.0,-0.5
2.0,1.5
2.0,1.5
1.0,4.5
2.0,2.0
2.0,-0.5
1.0,-2.0
3.0,1.5
3.0,-0.5
2.0,2.0
1.0,1.0
1.0,-0.5
1.0,0.0
1.0,-0.5
2.0,2.5
1.0,0.5
2.0,0.0
1.0,-1.0
1.0,3.0
1.0,2.0
1.0,-1.0
16.0,15.5
2.0,0.5
1.0,-0.5
2.0,1.0
5.0,2.5
2.0,0.5
1.0,-1.0
1.0,1.0
2.0,-1.0
1.0,0.0
11.0,9.5
2.0,-0.5
1.0,-1.5
2.0,2.5
1.0,-1.5
2.0,1.5
2.0,1.0
2.0,-0.5
2.0,0.5
1.0,-0.5
4.0,3.5
1.0,5.0
1.0,-1.0
1.0,1.0
1.0,-0.5
3.0,2.0
1.0,1.5
1.0,0.0
1.0,0.0
1.0,1.0
2.0,2.0
2.0,2.0
1.0,-1.5
40.0,36.5
1.0,-1.5
1.0,0.5
1.0,-2.5
1.0,-0.5
1.0,-2.0
2.0,2.0
1.0,3.0
1.0,2.5
1.0,-0.5
1.0,2.5
2.0,3.5
1.0,1.0
2.0,-2.0
1.0,0.0
1.0,-1.5
1.0,1.5
4.0,1.5
3.0,7.0
1.0,-1.5
1.0,1.5
3.0,2.0
2.0,2.5
1.0,-1.0
1.0,-0.5
2.0,-0.5
1.0,-0.5
1.0,3.5
2.0,-0.5
2.0,0.0
2.0,2.5
1.0,-2.5
2.0,4.0
2.0,1.5
2.0,0.0
2.0,0.5
3.0,2.5
3.0,1.0
3.0,0.0
1.0,-0.5
1.0,-0.5
3.0,3.5
1.0,0.0
1.0,2.0
3.0,1.5
1.0,0.5
2.0,2.0
1.0,1.5
1.0,0.0
1.0,1.5
1.0,-1.0
3.0,2.5
0.0,0.0
2.0,0.5
1.0,-1.5
16.0,16.5
2.0,2.0
2.0,0.5
3.0,0.5
2.0,0.0
2.0,0.0
1.0,-0.5
3.0,3.0
2.0,2.0
1.0,-2.0
1.0,1.0
2.0,0.5
3.0,3.5
1.0,0.0
1.0,-1.5
1.0,-0.5
2.0,0.0
1.0,2.0
1.0,1.0
2.0,-1.5
2.0,5.5
1.0,0.0
2.0,2.0
1.0,2.0
3.0,3.0
1.0,-0.5
1.0,6.0
2.0,1.0
1.0,1.0
2.0,1.0
4.0,3.0
1.0,-1.5
7.0,8.0
4.0,5.5
6.0,2.5
2.0,3.0
6.0,3.0
1.0,1.0
2.0,0.5
2.0,0.0
3.0,0.0
3.0,3.0
2.0,0.5
2.0,1.5
1.0,0.5
1.0,-1.0
1.0,-1.0
1.0,-2.0
2.0,3.5
1.0,3.5
1.0,9.0
2.0,0.0
1.0,3.0
2.0,2.0
7.0,3.5
1.0,0.0
2.0,7.0
2.0,3.0
2.0,3.5
2.0,1.0
2.0,0.0
9.0,7.0
1.0,0.5
1.0,-0.5
2.0,2.0
11.0,9.0
1.0,1.0
1.0,0.5
3.0,1.5
1.0,-0.5
1.0,0.5
2.0,2.5
1.0,1.5
1.0,-1.0
1.0,-0.5
1.0,0.5
1.0,1.0
2.0,1.0
1.0,-1.0
2.0,0.5
3.0,2.5
3.0,0.5
2.0,2.5
2.0,2.0
3.0,2.0
2.0,0.0
2.0,-1.0
1.0,1.0
3.0,3.0
1.0,1.0
1.0,-1.5
2.0,1.0
1.0,-1.0
1.0,1.0
1.0,6.0
2.0,0.0
2.0,0.5
2.0,0.5
2.0,1.5
1.0,2.0
3.0,2.0
1.0,0.5
1.0,2.0
1.0,2.0
1.0,2.0
4.0,2.5
2.0,2.0
1.0,1.5
1.0,0.0
1.0,0.0
2.0,1.5
2.0,1.5
1.0,0.0
2.0,0.0
4.0,1.5
