CORONELLA,FERRARA
4.0,5.5
0.0,2.5
1.5,2.5
0.5,11.5
1.0,1.0
8.5,10.5
1.5,1.5
0.5,2.0
1.0,2.0
0.5,1.5
0.5,1.5
9.0,10.5
0.5,2.0
1.0,2.0
0.5,2.0
1.0,3.0
1.0,3.5
1.0,2.0
1.0,1.5
1.0,3.0
3.0,4.0
7.5,9.0
1.0,2.0
10.5,13.0
1.0,2.0
1.0,15.5
2.0,4.0
4.5,5.5
20.5,23.5
3.5,4.5
1.5,1.5
0.5,1.5
0.5,2.0
4.0,7.0
10.5,12.0
0.5,2.0
1.0,1.5
7.0,8.0
3.5,5.5
1.0,2.0
0.0,1.0
1.0,1.5
0.5,1.5
2.0,3.0
0.5,2.0
0.5,2.5
1.5,2.5
1.0,2.0
0.0,2.5
0.5,3.0
0.5,2.5
0.5,1.5
1.0,2.5
1.0,5.5
1.5,3.5
6.5,9.0
0.5,1.0
0.5,1.0
1.0,2.0
0.5,2.0
2.0,4.0
1.0,1.5
0.5,1.0
3.5,5.5
1.5,3.0
0.5,1.5
4.0,4.5
4.5,5.5
1.0,2.0
0.5,1.5
1.0,2.0
2.0,2.0
2.0,2.5
0.0,1.5
1.5,2.5
1.0,2.0
2.5,3.5
5.5,6.5
1.0,2.5
0.0,2.5
0.5,1.5
6.5,8.0
2.5,4.0
2.5,5.0
0.0,2.0
1.5,2.0
7.0,8.0
5.0,7.0
1.5,2.5
1.0,1.5
1.5,2.5
0.5,1.5
3.5,4.0
0.5,1.5
4.0,3.5
9.5,11.5
0.5,1.0
0.5,3.5
0.5,1.5
2.0,3.0
1.0,1.5
1.0,2.0
3.0,4.0
1.5,2.0
0.5,2.5
0.5,3.5
0.5,1.5
