MILANO LAMBRATE,MILANO CENTRALE
1.0,1.0
12.0,11.5
3.0,3.5
6.0,6.5
3.5,3.5
0.5,-0.5
1.5,4.0
1.0,1.5
0.0,0.5
3.5,4.0
1.0,1.0
0.0,-0.5
1.5,1.5
5.5,6.5
5.5,5.5
2.0,2.0
5.5,5.0
9.0,9.5
2.5,3.0
1.0,3.5
6.0,7.5
1.5,1.0
3.5,3.5
1.0,1.0
0.0,-0.5
2.5,2.5
3.5,3.5
7.5,8.5
2.5,4.0
12.0,12.0
1.5,1.0
1.5,1.5
8.5,8.0
1.5,0.5
2.5,3.5
72.5,72.0
4.0,3.5
3.5,5.5
1.5,1.5
3.5,4.0
0.0,0.0
1.5,1.0
8.5,9.5
3.5,7.5
9.5,8.5
5.0,7.0
3.0,3.0
0.5,4.0
4.0,4.0
1.5,2.5
6.0,6.0
1.5,2.0
0.0,0.0
2.0,2.0
1.0,2.0
2.5,6.0
2.5,6.0
4.5,4.5
0.0,1.5
1.0,1.5
0.5,0.5
1.5,2.0
7.5,12.0
4.0,4.5
1.0,1.0
3.0,3.5
0.0,0.0
4.0,4.0
3.0,3.0
5.0,5.0
6.0,6.5
1.0,1.0
3.0,5.5
0.5,-0.5
3.5,3.5
0.5,0.5
4.5,4.0
94.0,96.5
1.0,1.0
4.5,4.5
7.5,8.0
1.5,1.5
0.5,2.0
4.5,4.0
0.5,0.0
-0.5,2.0
2.0,3.0
3.0,2.5
8.5,8.0
3.0,3.0
1.0,1.5
3.0,2.5
1.0,5.5
0.5,0.5
4.0,5.0
5.5,5.0
1.5,2.5
2.5,3.5
5.5,5.5
2.5,5.0
6.0,6.0
0.5,0.5
5.5,5.0
2.0,2.5
-0.5,-1.0
10.0,11.0
0.0,0.0
1.0,1.0
1.0,1.5
1.5,1.5
0.5,-0.5
1.0,1.0
5.5,5.5
2.0,1.0
2.0,1.5
3.5,3.5
-1.0,-1.0
12.0,12.5
2.0,2.0
3.0,4.0
5.0,5.5
6.0,7.0
0.5,1.0
11.0,12.0
1.0,1.5
1.0,4.0
10.0,10.0
6.0,6.5
2.0,1.5
1.0,1.0
0.0,-0.5
1.0,-0.5
1.5,1.0
2.0,2.0
0.5,0.5
1.0,1.0
11.5,11.5
2.0,3.5
12.5,12.5
1.5,1.5
1.5,2.5
3.5,3.5
3.0,3.0
