SAN BENEDETTO SAMBRO-CAST.PEPOLI,GRIZZANA
1.5,0.0
-1.0,-0.5
-1.0,-2.0
1.0,0.5
0.0,-1.0
6.5,5.0
-0.5,-0.5
0.0,0.0
0.0,-0.5
1.5,1.0
0.0,0.0
1.0,0.0
1.5,0.0
0.0,0.0
2.5,2.5
-0.5,-1.0
-0.5,-1.0
-0.5,-2.0
1.0,0.5
2.0,1.0
-0.5,-1.0
0.0,-0.5
-0.5,-1.5
1.5,0.5
-1.5,-2.0
0.0,-1.0
0.0,-0.5
-0.5,-2.0
-1.0,-1.0
1.5,0.5
1.5,0.0
0.0,0.0
0.0,0.0
-0.5,-0.5
-1.0,-1.0
0.5,0.0
-0.5,-1.0
-1.0,-1.0
-1.0,-2.0
0.0,-1.0
1.5,1.5
-0.5,-0.5
-0.5,-1.0
0.5,-0.5
1.5,0.0
-1.0,-1.0
4.0,2.0
0.5,-2.0
1.0,-0.5
0.0,-0.5
0.0,-0.5
-1.0,-1.0
-0.5,-1.5
-0.5,-0.5
0.5,1.0
5.0,6.0
3.0,1.5
0.0,0.0
6.5,6.0
3.0,2.0
0.0,-0.5
2.5,8.0
0.5,-0.5
-1.0,-1.0
2.0,0.5
0.5,1.0
1.0,0.0
1.0,6.0
0.0,-1.0
1.5,14.5
5.0,4.5
1.5,0.0
1.0,0.0
3.0,2.0
-1.0,-2.0
1.5,0.0
15.0,14.0
-0.5,-1.0
-1.0,-1.5
6.0,3.5
2.0,1.0
1.0,1.0
3.5,2.0
0.0,-0.5
0.0,-1.0
2.0,1.0
-1.0,-2.0
-0.5,-1.0
3.0,2.5
1.5,0.0
-2.5,-1.0
0.0,-1.0
3.5,2.5
-0.5,-1.0
-0.5,0.5
4.0,3.0
-0.5,-1.5
3.5,3.0
1.0,0.0
34.0,33.5
2.0,0.5
0.0,-1.0
-0.5,-0.5
-1.0,-1.5
0.5,0.0
0.0,-1.0
0.0,-1.5
1.0,0.5
0.0,-0.5
0.5,0.5
2.5,1.5
0.0,-1.5
-0.5,-2.0
0.5,-1.0
-0.5,-1.5
-0.5,-1.0
1.0,0.0
2.5,1.0
-0.5,-1.5
0.5,-1.0
1.5,1.0
2.5,0.5
-1.0,-1.0
11.5,9.5
0.0,3.5
3.0,2.0
0.5,-1.0
0.5,-1.0
0.0,0.0
1.5,-0.5
0.5,-0.5
2.5,2.0
2.0,1.0
-0.5,-1.0
-0.5,-2.0
1.0,-0.5
1.5,0.0
4.0,3.0
0.0,-0.5
1.5,1.0
2.5,1.5
-0.5,-1.5
-0.5,-0.5
-1.0,-0.5
-1.0,-1.5
0.0,-0.5
1.5,0.0
-0.5,0.0
