BOLOGNA C.LE,PRATO CENTRALE
4.5,6.0
5.0,9.5
3.0,6.0
8.5,11.0
9.0,16.5
8.5,14.0
122.5,125.0
3.0,9.0
15.0,23.5
9.0,14.5
4.5,12.5
5.5,21.0
1.5,4.5
4.0,23.0
2.5,5.0
11.5,20.5
42.5,48.0
6.5,9.0
3.0,7.0
12.0,17.0
4.5,17.5
26.5,32.5
3.0,5.5
17.0,22.5
6.5,14.5
1.0,2.5
4.5,12.5
5.5,12.0
4.5,7.0
3.0,3.5
3.5,13.5
3.5,11.5
8.0,18.0
36.0,58.0
9.5,12.0
80.5,91.5
3.5,5.5
5.0,11.5
20.5,26.5
2.5,4.5
26.0,32.0
27.5,32.5
6.0,4.5
3.5,6.0
17.5,24.0
121.0,129.0
2.5,5.5
16.5,21.0
5.0,13.0
6.5,11.5
15.5,19.5
6.5,19.0
9.0,20.5
20.0,30.5
19.5,33.5
1.5,5.0
14.0,17.0
8.0,12.0
7.0,7.5
3.0,8.0
6.5,12.0
6.5,13.0
8.0,8.5
7.0,10.5
6.0,11.5
17.0,24.0
20.0,21.0
8.0,21.0
8.5,12.5
2.0,4.5
3.0,7.5
3.0,8.5
8.5,14.5
3.5,11.5
46.5,67.5
5.5,8.0
21.5,25.5
8.0,15.0
3.5,11.0
1.0,42.0
16.0,23.5
15.0,17.0
2.0,4.0
4.5,6.0
4.0,5.5
37.0,45.0
2.5,7.0
3.5,9.0
2.0,11.0
3.0,9.0
5.5,5.5
3.5,6.5
8.5,29.0
2.5,6.5
153.5,167.5
3.5,11.0
5.0,8.0
3.0,6.5
6.0,12.0
7.0,6.5
11.0,14.5
81.0,81.0
16.0,20.0
11.0,13.0
19.0,27.0
17.5,19.5
10.5,12.5
4.5,5.5
15.0,17.5
12.5,9.0
4.0,7.0
1.0,10.5
4.5,9.5
11.0,13.0
3.5,7.5
13.5,15.5
7.0,26.5
31.0,50.5
11.0,12.0
3.0,8.5
11.5,28.0
5.5,7.5
10.0,19.0
6.0,14.0
7.0,6.5
4.0,8.5
1.0,1.5
11.5,21.0
4.5,11.0
25.0,32.0
1.0,9.0
7.5,12.5
7.0,12.0
3.0,7.5
5.5,9.0
37.5,48.5
7.0,8.5
9.0,13.5
