IMOLA,LUGO
-1.5,0.5
3.0,4.5
3.5,2.0
-3.0,1.5
-3.5,-0.5
-1.5,1.0
-0.5,0.0
27.0,36.0
0.0,-1.0
5.5,6.0
2.5,3.0
2.5,3.5
-3.5,2.0
2.5,2.0
0.0,2.5
4.5,4.5
-2.5,1.5
2.0,3.0
-2.0,0.0
1.0,0.0
5.5,5.0
-2.5,1.5
1.0,3.5
0.5,-0.5
0.0,1.0
0.5,1.5
0.5,4.0
6.5,5.5
-1.0,0.0
-3.0,-0.5
-2.0,0.5
-3.5,0.0
-1.5,1.5
0.0,1.0
2.5,1.5
1.0,24.0
4.0,5.0
-2.0,0.0
5.5,6.0
-0.5,0.5
-1.5,-0.5
-3.0,4.0
-4.0,1.0
0.0,1.0
13.0,10.5
7.5,11.0
2.5,5.5
-2.5,1.5
-0.5,0.0
-0.5,5.5
7.0,6.0
3.5,2.0
-3.5,3.5
-3.5,-0.5
-0.5,0.5
-1.0,0.5
-4.0,54.5
-1.0,0.0
-1.0,0.5
0.5,2.0
8.0,7.0
-0.5,1.5
5.0,36.5
4.0,4.0
1.5,2.5
-0.5,9.0
-2.0,3.0
-3.0,2.0
-3.0,0.5
1.5,1.5
2.5,5.5
-1.5,1.5
10.0,10.0
-1.5,3.5
-1.0,0.5
-2.0,0.0
2.0,2.5
-3.0,0.0
7.5,5.5
-4.0,-0.5
-4.0,4.0
-4.5,0.0
14.0,19.0
-3.0,2.0
-1.5,3.0
-3.5,1.0
3.0,7.0
46.0,48.5
11.0,9.5
4.0,4.0
1.5,2.5
2.0,3.5
1.0,1.0
-3.0,1.0
-0.5,1.0
-0.5,3.5
-1.5,3.0
-1.5,0.5
3.5,1.5
45.0,55.5
19.0,18.0
0.5,3.5
0.5,-1.0
-2.5,0.0
-3.5,-1.5
19.5,20.0
-1.0,0.5
3.0,3.5
-2.0,1.5
-3.5,-1.0
-1.5,2.0
0.0,3.0
11.5,9.0
-4.0,1.5
-0.5,-0.5
10.5,8.0
-2.0,0.0
1.5,1.0
19.5,25.0
-0.5,4.0
8.5,8.5
0.5,2.5
-2.0,-0.5
-2.0,13.0
19.0,16.5
-3.0,3.5
-2.0,0.5
-3.0,0.0
-1.5,-0.5
-3.5,1.0
4.5,27.5
-1.0,1.5
9.5,13.5
-3.5,1.5
-5.0,-0.5
0.0,2.0
-1.5,3.0
-0.5,3.5
-2.0,-1.0
11.5,13.5
-1.0,1.0
5.5,3.5
6.0,6.0
-1.5,1.0
2.0,1.0
-1.5,0.0
-1.0,0.0
-3.0,-0.5
15.0,13.5
1.0,4.0
-2.0,1.5
-0.5,0.0
-3.0,0.5
-4.0,4.0
-2.0,1.0
2.0,1.0
-2.5,0.0
3.0,4.0
0.5,2.0
-0.5,1.0
-2.5,1.5
0.0,1.5
-3.0,1.0
4.0,6.0
3.0,2.5
-3.5,3.5
-2.0,1.5
-1.5,1.0
4.5,5.0
-3.0,1.0
-4.5,-1.5
-0.5,-0.5
-1.0,0.0
0.5,-0.5
-4.0,-0.5
-2.0,3.5
2.5,3.0
-0.5,-0.5
-2.0,0.0
5.5,5.5
10.5,18.5
0.0,-0.5
-0.5,-0.5
-2.5,1.5
0.0,4.5
2.5,2.5
3.5,7.0
2.0,2.5
3.5,5.0
22.0,22.0
-2.5,5.5
-2.5,1.0
0.0,1.0
-3.0,1.0
-1.5,0.0
-0.5,-0.5
-3.0,1.0
4.5,7.5
4.0,5.0
2.5,1.5
0.0,2.0
-2.0,0.0
-5.0,1.0
-3.0,0.5
-1.5,3.0
-1.0,-1.0
4.0,5.0
-3.0,1.0
0.0,4.5
-1.0,-0.5
-0.5,1.5
-1.5,0.0
2.5,1.5
