RAVENNA,LIDO DI CLASSE-LIDO DI SAVIO
8.0,4.0
2.5,0.0
0.5,0.5
1.0,1.0
0.5,1.0
0.0,1.0
0.0,1.0
5.0,1.5
6.0,1.0
0.5,1.0
0.5,3.5
5.0,0.0
2.5,0.5
-0.5,0.0
-0.5,-0.5
2.5,1.5
2.5,0.0
0.0,1.0
2.0,0.5
3.0,0.0
0.5,3.0
2.0,0.5
0.5,0.0
4.0,3.5
7.0,3.5
-1.0,0.5
0.0,0.0
3.5,1.0
-1.5,2.0
2.0,-1.0
0.0,-0.5
1.0,2.5
2.5,1.0
-1.5,-0.5
0.0,-0.5
0.0,-1.0
2.0,1.5
12.0,8.5
1.0,2.0
-1.0,0.0
-1.0,-0.5
1.5,4.0
-0.5,0.0
0.5,0.0
4.5,1.5
1.0,0.5
20.0,15.5
1.5,0.0
2.0,-0.5
0.0,1.0
1.0,-1.0
0.5,1.0
1.0,1.0
2.5,0.5
0.5,1.0
-0.5,0.5
2.5,0.0
-1.0,0.0
1.0,0.0
7.5,3.5
0.0,0.0
1.5,0.0
0.5,1.5
2.0,3.5
2.5,0.5
5.0,1.0
1.5,0.0
0.5,1.5
2.0,0.0
7.5,2.0
1.0,2.0
2.0,0.5
0.0,0.5
-0.5,1.0
-0.5,0.0
2.0,0.0
0.5,2.5
6.5,2.5
-0.5,0.0
2.0,6.5
0.5,1.5
1.0,0.0
0.5,0.0
2.0,2.0
0.0,0.5
1.0,1.0
0.0,-1.0
1.0,1.0
0.5,0.5
-1.0,2.0
7.0,3.5
0.0,1.5
2.0,0.5
5.0,0.5
1.5,0.0
2.0,15.5
0.0,1.0
-0.5,2.0
0.0,0.5
-1.0,-0.5
-0.5,0.5
1.5,1.5
1.0,0.0
-0.5,0.0
1.5,0.5
-0.5,0.0
-0.5,-0.5
0.0,1.5
2.5,0.5
0.5,0.5
0.0,0.0
3.0,0.0
1.5,0.5
0.0,0.0
1.5,-0.5
0.5,1.0
11.5,7.5
2.0,0.5
0.0,0.0
2.0,1.0
1.5,1.0
2.0,1.5
9.5,5.5
3.5,0.0
0.5,0.0
0.5,1.5
0.0,1.5
0.0,1.0
0.0,3.0
-0.5,2.5
0.0,4.0
0.5,0.5
1.0,1.0
2.0,4.0
0.0,1.5
0.5,0.0
-1.0,0.5
0.0,0.0
2.0,0.0
