MONTECATINI CENTRO,PESCIA
8.5,5.0
5.5,2.5
8.5,6.0
8.5,5.0
10.5,7.0
11.0,10.0
7.0,3.5
9.0,6.5
6.0,2.0
9.5,6.0
9.5,6.0
8.5,6.0
9.0,6.5
8.5,5.5
7.0,4.5
4.5,1.5
18.5,14.5
5.0,2.0
8.5,4.5
7.5,4.0
7.5,4.0
8.0,5.5
11.5,7.0
9.0,5.5
9.5,7.0
13.5,9.5
39.0,36.0
11.5,8.0
7.5,3.5
10.0,6.5
11.0,7.5
9.0,5.0
7.5,4.0
6.5,3.0
17.5,13.5
7.0,4.5
6.5,2.5
12.5,9.0
8.0,4.5
9.5,5.5
9.0,5.5
16.0,12.0
7.5,3.5
8.5,10.0
7.5,5.0
8.0,5.0
11.0,7.5
10.0,6.5
8.0,3.5
10.0,7.5
9.5,5.5
9.0,6.0
10.0,7.0
4.5,1.0
7.0,9.5
7.5,3.5
3.5,1.0
3.5,-0.5
8.0,7.5
9.5,6.0
6.5,2.5
10.0,7.0
5.5,2.5
11.0,7.5
6.5,2.0
18.5,14.5
9.5,6.0
6.5,3.0
6.0,1.5
10.5,6.0
3.5,0.5
12.5,9.0
7.0,4.5
7.5,4.5
11.5,8.0
14.5,11.5
9.0,4.0
10.5,7.0
12.0,8.5
7.0,4.0
16.0,12.5
25.0,20.5
8.0,4.0
12.0,9.0
12.5,8.5
9.5,6.0
6.5,3.0
8.0,4.5
11.0,8.5
5.5,2.0
16.5,13.0
9.5,5.5
8.5,6.0
13.0,9.0
30.5,28.0
11.0,6.5
7.5,4.0
9.0,5.5
12.5,9.0
6.5,4.0
6.5,2.5
7.5,3.5
12.5,8.5
5.5,1.0
11.0,7.5
9.5,6.0
11.5,8.0
13.0,9.0
6.0,2.5
11.5,8.5
6.5,3.0
13.5,12.0
8.0,5.0
4.5,1.0
9.0,6.0
7.0,6.0
7.0,3.0
8.5,4.5
8.5,5.5
12.0,8.5
5.5,3.0
9.0,5.5
