TORINO P.NUOVA,TORINO PORTA SUSA
1.5,-1.5
1.5,-0.5
4.5,0.5
1.5,-1.0
2.5,-0.5
2.0,-3.0
1.0,0.0
3.0,-0.5
2.5,2.5
3.5,0.0
4.0,-1.0
3.5,1.0
1.5,-0.5
1.0,-3.5
4.5,2.0
0.0,-2.5
3.0,0.5
1.0,-4.0
4.5,2.0
0.0,-2.0
0.0,-3.5
2.0,-1.0
1.5,0.0
1.5,-1.0
1.0,-1.5
1.0,-2.0
1.0,-3.0
0.5,-2.5
4.5,1.5
4.0,1.0
2.5,-1.0
1.5,2.0
0.5,-1.5
1.0,-2.0
1.0,-2.0
1.5,0.0
5.0,2.0
1.5,-3.5
1.5,-1.0
0.5,-1.5
2.0,-1.5
3.0,1.0
1.0,-0.5
0.0,-0.5
4.0,2.5
5.5,3.0
1.0,-2.0
1.5,-2.5
0.5,-2.0
1.0,-1.5
1.0,-3.5
1.0,-1.0
0.5,-1.0
1.5,-3.0
2.5,-0.5
2.5,0.0
8.0,5.0
1.0,0.0
1.5,-3.0
1.5,2.0
0.5,-1.5
4.0,2.0
2.0,-1.0
1.0,-1.5
1.5,-1.5
2.5,-1.5
13.0,10.5
1.5,-1.5
4.0,-0.5
1.5,-1.0
1.0,0.0
0.5,-5.0
0.5,1.5
2.5,0.5
1.0,-3.0
1.5,0.0
3.0,1.0
3.0,1.0
0.5,-1.0
4.0,1.0
1.5,0.5
1.0,0.0
1.5,0.0
1.5,-1.5
1.5,-1.5
1.5,-3.5
1.0,-2.0
3.0,1.5
1.0,-4.0
1.5,-0.5
1.5,-1.0
1.5,-0.5
2.5,0.0
4.0,-1.0
3.5,0.5
1.5,-1.0
1.5,-3.5
2.0,-0.5
2.0,0.0
3.0,-2.0
2.0,0.0
1.5,-1.5
1.0,-3.5
5.0,2.0
32.0,30.0
2.5,0.0
1.0,-4.5
3.0,0.0
1.0,-1.5
0.5,-3.5
76.5,76.0
4.5,1.5
3.0,0.0
4.0,1.5
2.0,-2.5
4.5,5.0
1.0,-2.0
1.5,-3.0
3.0,0.5
1.0,1.0
6.0,3.5
2.0,-2.0
2.0,-1.0
0.5,-2.0
0.5,-3.0
1.0,-1.5
1.0,-2.0
1.5,-2.0
3.5,0.5
1.5,-1.5
2.5,0.0
1.0,-0.5
2.0,-2.5
2.0,-1.0
1.5,-1.5
1.0,4.0
5.0,2.5
1.0,-4.0
3.0,1.0
1.5,-1.0
1.0,-3.0
3.5,0.5
2.5,-0.5
1.5,-3.5
3.5,0.5
1.5,0.0
2.5,2.0
4.5,2.5
0.5,0.5
5.0,3.0
2.5,-2.0
4.0,1.0
1.0,-1.0
1.5,-3.0
1.0,-2.0
1.0,-1.5
1.0,-1.0
2.5,-0.5
16.0,11.5
1.5,-1.0
1.5,-1.0
1.0,-3.0
2.0,-1.0
1.0,-2.0
1.0,-3.0
2.5,0.0
1.5,-0.5
0.5,-4.5
2.0,-0.5
0.5,-2.0
3.5,0.5
4.0,0.0
