PESCARA,TERMOLI
3.0,1.5
19.0,15.0
47.5,47.5
7.0,7.5
2.5,5.0
29.0,29.5
10.0,7.5
12.0,15.5
7.0,6.0
4.5,1.5
5.0,3.5
1.5,-0.5
4.0,24.0
0.0,-0.5
11.0,11.5
5.5,9.0
-4.5,-2.0
10.0,9.0
4.0,6.5
9.5,11.0
3.0,8.0
16.0,22.5
1.5,0.5
22.5,20.5
3.5,-0.5
2.5,2.5
2.5,-1.5
0.5,1.5
97.0,106.5
13.0,12.0
9.0,9.5
2.5,4.5
-1.0,0.0
18.0,19.0
-2.5,-0.5
2.5,0.5
10.0,11.0
10.5,9.0
1.0,1.0
25.0,27.0
10.0,9.0
23.0,21.5
19.0,17.5
22.0,23.0
36.0,36.0
27.0,27.5
45.0,42.5
45.0,46.5
1.0,-1.5
7.5,8.5
8.0,6.5
11.5,9.5
22.0,20.0
21.0,26.0
28.5,30.0
1.5,2.0
8.0,10.0
-1.5,1.0
67.0,66.5
23.0,22.0
-2.0,-2.5
7.5,7.0
-2.5,-1.0
0.0,0.5
-3.5,-0.5
7.0,7.5
10.0,8.0
37.5,38.5
-1.5,1.5
94.5,98.5
2.0,-1.0
4.5,3.5
35.5,61.0
11.0,10.0
25.5,26.5
1.0,19.0
43.5,46.5
0.0,-1.0
50.0,58.0
7.5,5.5
20.0,19.0
50.5,55.5
11.0,15.5
25.5,34.5
36.0,36.0
6.0,8.5
-2.5,4.0
16.0,18.0
10.5,12.5
28.5,28.5
-3.5,-2.5
1.5,4.0
20.0,18.5
22.5,26.0
14.5,18.0
22.5,21.5
-3.5,-3.0
21.5,19.5
29.0,30.5
12.0,12.5
24.5,22.0
11.5,11.0
20.5,20.5
2.0,0.0
19.5,28.0
11.0,17.0
8.0,6.5
22.0,21.0
5.5,5.0
12.5,15.5
8.5,8.0
50.5,59.0
23.5,28.5
2.0,-1.0
26.5,27.0
-4.5,1.0
66.5,70.5
38.0,35.0
15.5,17.0
10.0,8.0
-2.0,0.0
9.0,11.5
24.5,31.5
38.5,42.5
17.5,20.5
5.5,1.5
3.5,3.0
