ALFONSINE,MEZZANO
1.5,2.0
3.5,4.0
2.0,1.5
0.5,0.0
1.0,1.5
2.0,2.5
4.5,3.5
4.5,4.5
2.0,2.5
1.5,1.5
1.5,1.5
2.5,3.5
4.5,5.0
2.0,1.5
2.5,3.0
1.5,1.5
3.0,4.5
1.0,1.0
1.0,1.0
2.0,1.5
2.5,3.0
1.5,1.5
6.5,7.5
3.0,2.5
1.0,1.0
3.0,2.5
2.0,12.0
2.0,3.0
1.5,1.5
1.5,1.5
2.0,2.0
1.5,2.0
1.0,1.5
2.0,2.0
2.5,3.5
2.5,2.0
2.0,1.5
2.5,3.0
14.0,14.0
1.5,1.5
6.5,9.0
1.0,0.5
2.5,4.0
1.0,0.5
3.0,3.0
3.5,3.5
9.5,8.5
1.0,1.0
2.0,1.5
1.5,2.0
0.5,0.5
4.5,4.0
2.0,2.5
1.5,1.5
1.0,1.5
3.0,4.0
1.5,1.0
4.0,6.0
2.5,3.0
1.5,1.0
1.5,2.5
2.5,3.0
1.5,2.0
2.0,1.5
6.0,8.5
3.5,4.0
2.5,2.5
1.0,1.0
1.5,1.5
2.0,2.0
1.0,1.5
2.0,1.5
2.0,2.0
3.0,3.5
0.5,1.0
1.0,1.5
3.0,3.0
1.5,1.0
1.0,0.5
2.5,2.5
2.0,2.0
1.0,1.5
1.0,1.0
0.5,1.0
1.0,1.0
5.5,5.0
10.5,10.5
13.0,28.0
4.0,5.0
1.5,1.5
3.5,4.0
2.5,3.0
1.0,1.0
1.0,1.5
1.0,1.0
0.0,0.5
2.5,3.0
1.0,1.0
1.5,2.0
3.5,4.0
4.0,4.0
1.5,7.5
1.5,2.5
6.5,6.0
2.0,2.5
5.5,5.5
13.5,13.0
1.0,0.5
7.0,6.5
4.5,5.5
3.0,2.5
1.0,1.0
3.0,3.5
1.0,1.0
2.0,26.0
1.5,2.0
1.5,2.5
2.0,2.0
2.5,2.0
