DOSSOBUONO,VERONA PORTA NUOVA
3.0,-0.5
4.5,4.0
2.5,0.5
6.0,4.0
6.0,3.5
6.0,4.0
4.0,6.5
5.0,4.5
-0.5,-1.5
-0.5,1.0
1.0,-1.5
-1.0,-1.5
0.0,-0.5
5.5,6.5
1.5,1.0
3.5,3.0
0.5,0.0
-1.5,-1.5
27.0,27.5
10.5,7.5
21.5,20.0
5.0,0.5
0.0,-4.0
1.5,0.0
3.5,4.0
0.5,0.5
4.5,4.0
4.5,4.0
1.5,-1.0
-0.5,-1.0
6.5,4.5
-0.5,-1.0
1.0,-0.5
1.5,-0.5
0.5,-0.5
3.0,5.0
-1.0,-1.0
3.0,0.0
1.0,0.0
2.0,0.0
1.5,0.5
7.0,6.5
3.0,2.0
1.0,1.5
3.0,1.0
6.0,5.0
1.5,0.0
3.5,2.0
1.0,-0.5
2.0,0.0
10.0,10.0
3.0,1.0
2.5,-0.5
0.0,-1.5
21.5,20.5
6.5,5.0
6.5,5.0
3.0,1.0
3.5,1.5
0.5,-1.5
1.0,-1.0
7.0,7.0
1.0,-1.5
6.5,5.5
3.5,0.0
6.0,3.5
6.5,4.0
2.5,3.0
2.5,0.0
0.5,0.5
3.0,2.5
4.5,5.0
2.5,1.5
4.0,2.5
1.5,0.0
4.0,2.0
0.0,0.5
2.0,1.0
3.5,4.5
4.5,4.5
0.5,2.5
5.5,4.5
3.5,3.0
2.0,0.0
5.5,2.5
1.0,-1.0
4.5,2.5
-0.5,0.0
0.0,-1.0
1.0,-0.5
7.0,4.0
2.0,1.5
5.5,2.5
1.5,-0.5
0.5,-1.0
3.0,1.5
1.0,-1.5
0.0,-1.0
4.0,1.5
2.0,5.5
0.0,-3.0
2.0,0.5
1.5,0.0
-0.5,1.5
3.5,1.5
-0.5,-1.5
4.0,6.5
3.5,2.0
8.0,6.0
0.0,-2.5
1.5,0.0
0.0,-1.0
-1.0,-0.5
5.0,10.0
5.0,3.0
0.5,1.0
0.5,0.0
4.0,5.0
3.5,3.5
5.0,6.5
2.0,1.5
1.0,-0.5
2.0,0.0
3.5,2.5
1.0,-1.0
0.5,-0.5
0.0,0.5
3.0,2.5
3.0,2.5
2.0,2.5
3.0,3.5
6.5,7.5
3.0,5.5
4.5,7.0
7.0,4.0
-1.0,-0.5
-0.5,-1.5
0.0,-1.5
1.0,0.0
5.5,4.0
5.5,3.5
7.5,3.0
1.0,-1.5
2.5,1.0
3.5,1.5
2.0,-0.5
-0.5,-2.5
5.5,7.0
3.0,1.0
3.0,2.0
0.0,1.0
6.5,7.5
0.0,2.0
3.0,3.5
3.0,5.5
0.5,1.0
2.0,2.0
2.5,1.0
1.5,1.5
5.5,4.0
1.0,0.5
1.0,-0.5
0.0,-1.5
1.0,-1.0
-0.5,-2.5
2.0,0.0
2.5,1.0
5.5,5.5
9.0,9.0
11.0,11.0
4.0,2.0
1.5,0.0
3.0,1.0
-0.5,-2.0
4.0,2.5
2.5,1.5
1.0,0.0
6.0,6.5
2.0,3.5
5.0,3.0
2.5,1.0
1.0,-0.5
1.5,0.0
-0.5,-0.5
8.5,9.0
18.0,17.5
3.0,1.5
7.0,7.5
35.5,34.0
4.0,5.0
6.0,5.0
1.5,0.0
1.0,-0.5
3.5,2.0
1.5,-0.5
3.0,1.0
2.5,1.0
4.0,2.5
-0.5,-2.0
3.0,0.5
2.5,1.0
6.5,6.5
3.5,2.0
7.0,8.0
11.5,12.5
58.5,56.0
3.5,1.5
1.0,-0.5
7.5,8.0
11.0,9.0
3.0,2.5
0.0,-0.5
-0.5,-1.0
-0.5,-2.0
-0.5,-2.0
-0.5,-1.5
-0.5,-3.0
0.5,2.0
-0.5,-1.5
6.0,4.5
0.5,-1.0
7.0,7.0
3.5,1.5
4.0,2.0
7.0,5.5
0.0,-0.5
5.5,4.5
2.5,-1.5
2.0,0.5
3.0,1.0
-1.0,3.0
-1.0,-2.0
-0.5,-1.5
3.5,1.0
4.0,2.5
