FIRENZE S.M.N.,ROMA TIBURTINA
7.0,12.0
22.0,25.0
12.5,15.0
5.0,6.5
9.0,7.0
5.5,9.0
14.0,23.0
13.0,15.5
2.0,8.5
5.0,15.5
9.0,13.5
7.0,5.0
10.0,14.5
8.0,25.0
11.0,4.0
20.0,18.0
13.5,17.0
11.0,10.5
8.5,14.0
5.5,8.0
1.5,8.5
9.5,11.5
2.0,4.0
7.5,51.0
12.0,17.0
6.0,1.5
16.0,17.5
22.0,278.0
7.0,8.0
6.0,10.0
1.5,13.0
20.5,25.0
21.0,53.0
10.0,16.5
4.5,12.0
10.5,6.5
18.0,33.0
5.5,12.5
4.5,4.0
11.0,9.0
11.5,14.0
10.5,15.5
12.5,11.5
5.5,7.0
6.5,12.0
11.5,16.5
11.0,21.5
4.5,13.0
-2.0,8.0
9.5,9.5
12.0,14.0
27.0,28.5
14.0,12.5
1.5,5.0
13.5,11.0
3.5,6.0
9.5,10.0
1.0,16.0
2.5,15.0
9.5,26.0
10.5,22.0
2.0,8.5
8.0,10.5
8.5,14.5
17.5,25.5
1.0,-0.5
8.5,9.5
9.5,10.0
8.0,12.0
20.5,17.0
3.5,2.5
9.5,12.5
10.5,9.0
8.5,24.0
23.5,26.0
9.5,24.0
21.5,30.0
13.5,17.0
6.0,16.5
9.0,13.0
9.0,11.0
7.5,9.0
0.5,12.0
12.5,13.0
14.0,9.5
6.0,44.5
5.0,5.0
41.5,67.5
7.5,24.5
-2.0,6.5
3.0,15.5
7.0,14.0
4.5,4.0
21.0,19.0
19.0,12.5
13.5,15.5
4.5,7.5
20.0,32.0
8.5,11.0
1.0,8.0
3.5,4.0
3.0,16.0
23.0,33.5
8.0,9.5
8.0,10.0
-1.5,2.5
8.5,17.5
17.0,16.5
18.5,21.0
14.0,14.5
5.5,3.5
8.5,7.5
10.5,20.5
5.0,6.5
4.0,7.5
12.0,9.5
6.5,7.5
11.0,21.0
11.0,13.0
19.5,18.5
59.5,66.5
11.5,40.5
2.5,1.5
4.0,7.5
5.0,5.0
9.0,13.0
7.5,24.5
18.0,20.5
15.5,14.0
15.0,22.0
12.5,5.5
2.5,4.0
15.0,15.0
10.0,15.0
3.5,8.0
7.0,7.5
18.0,21.0
15.5,17.0
9.5,11.5
8.5,27.5
10.0,7.5
6.0,16.5
24.5,27.5
15.0,18.5
25.5,32.0
2.0,2.0
8.5,11.5
2.0,13.5
4.5,6.5
19.0,44.0
7.0,9.0
11.0,15.0
7.0,6.0
6.5,7.5
10.5,10.5
0.5,4.5
16.0,19.5
6.5,6.5
8.5,10.5
8.0,13.5
9.5,21.0
11.0,13.0
9.0,20.0
