BOLOGNA C.LE,S.LAZZARO DI SAVENA
1.5,1.5
-1.5,1.0
4.5,2.0
-1.0,3.5
-5.0,0.0
3.5,4.0
3.0,1.0
-0.5,0.5
1.0,0.5
-2.5,2.5
0.5,1.0
1.5,2.0
-1.0,1.5
-2.0,2.5
-1.0,3.0
-2.5,2.0
-2.5,3.0
2.5,2.0
-4.0,11.0
4.5,0.5
1.0,1.0
2.0,4.0
30.0,14.0
-3.5,3.0
1.0,1.0
-1.0,2.5
-2.5,1.5
-1.5,1.5
-2.0,1.0
2.5,0.0
2.5,2.5
-3.0,2.5
-3.5,4.0
-1.5,2.0
15.5,7.0
-1.0,1.0
-3.5,2.0
0.0,1.0
5.5,0.5
-3.5,2.0
-3.5,1.0
7.0,4.0
2.5,2.0
4.0,2.5
1.5,0.5
-0.5,3.5
6.0,1.5
2.0,1.5
5.5,4.0
-1.5,1.0
-1.0,3.5
3.5,2.0
2.5,4.5
15.0,1.0
-2.5,1.5
-0.5,3.5
-2.0,1.0
2.0,1.0
3.5,1.5
0.5,1.0
42.0,19.0
3.5,0.5
-2.0,4.0
0.0,1.5
-2.0,1.0
-3.0,2.5
-1.5,1.5
-0.5,1.0
-2.5,2.0
12.5,5.0
-2.5,3.0
0.0,2.0
6.0,2.5
2.5,4.0
3.5,7.5
10.0,2.0
-2.5,0.5
1.5,2.5
0.0,3.5
47.5,29.5
5.5,1.0
2.0,1.0
1.5,2.0
1.0,2.5
-1.5,1.5
-2.0,8.5
4.0,5.5
-4.0,1.5
0.5,0.5
6.5,1.5
-1.0,2.5
-0.5,3.0
1.0,1.0
-0.5,4.5
1.5,1.5
2.0,7.0
