RAVENNA,LUGO
0.0,-2.5
0.0,0.5
-2.0,-2.0
6.0,7.0
-2.5,-2.0
3.0,-1.0
-1.0,-1.5
28.5,29.0
0.0,-0.5
-0.5,-0.5
2.5,-1.5
2.5,-1.0
3.0,0.5
1.5,-2.0
2.5,-1.0
1.5,-2.0
-2.0,-1.5
1.5,2.0
0.5,-1.5
-2.0,-2.0
-1.5,-1.5
-2.0,-1.5
-0.5,2.0
-1.5,-1.5
-1.5,3.5
-2.0,-1.5
-1.5,-2.0
1.0,2.0
-2.0,-2.0
-1.5,-2.0
3.5,0.0
-0.5,-2.0
-1.5,-1.0
-2.0,5.0
3.0,-0.5
3.0,-0.5
-2.5,-1.0
2.0,-1.5
-2.0,-2.0
0.5,-0.5
1.5,4.5
0.5,-1.0
3.0,0.5
-1.5,-2.0
4.5,1.0
-2.0,-1.5
5.5,1.0
-1.0,-1.0
7.5,6.0
-0.5,-1.0
5.0,34.0
-1.5,-2.0
-2.0,-1.5
0.5,-2.0
0.5,-2.5
0.5,9.5
-1.0,-1.0
-1.5,-0.5
2.5,3.5
-1.5,-2.0
0.0,9.0
0.0,-1.0
-0.5,-1.5
0.0,-2.0
3.5,0.5
-2.0,-0.5
0.0,2.0
4.5,2.5
-0.5,1.0
1.5,-1.0
0.5,-2.0
1.5,-2.0
-1.5,-1.0
-0.5,-2.0
0.5,-1.5
2.5,-0.5
1.0,0.0
-2.0,-2.0
-1.5,-1.5
1.0,-1.0
-2.5,-2.0
2.5,-1.5
0.5,0.0
-2.0,-1.5
-2.0,-2.0
-0.5,-1.0
8.5,17.0
-0.5,-1.0
6.5,4.0
1.0,-2.5
-2.0,-2.0
-2.5,-2.5
-2.0,-2.0
1.5,-2.0
2.5,-1.5
0.0,-2.5
2.0,-1.0
0.5,0.0
-1.0,-1.5
2.0,-0.5
1.0,1.5
-1.0,-1.0
1.0,-1.5
0.0,-2.0
2.5,0.0
-2.5,-2.0
0.0,-1.5
2.5,1.5
5.5,2.5
-2.0,-2.0
2.0,10.5
1.0,-0.5
4.5,1.5
-1.5,-2.5
50.0,59.5
0.5,-2.0
-2.0,-1.0
3.5,1.0
-0.5,-1.5
3.5,-1.5
6.0,1.5
6.0,1.5
-1.0,-1.0
-2.0,-3.0
1.0,-2.0
-1.0,-2.0
-1.5,-2.0
0.0,-1.5
-2.0,0.0
2.0,-2.0
-1.0,-1.0
1.0,-1.0
0.5,18.5
-2.0,-2.0
-2.5,-2.5
-2.0,-2.5
-2.5,-2.5
0.5,0.0
-0.5,-2.0
0.5,-0.5
2.5,0.5
-2.5,-2.5
6.0,2.0
3.5,0.5
0.0,-1.0
0.0,5.0
-0.5,-1.5
0.5,-2.5
2.5,-1.0
