PIANORO,MONZUNO
-1.0,-0.5
0.5,1.0
-1.0,-1.0
-0.5,0.5
-1.0,-0.5
0.0,1.5
-0.5,-1.5
-1.0,-0.5
1.0,3.0
-1.0,0.0
2.0,2.0
-0.5,3.0
-1.0,-0.5
1.0,3.0
1.5,1.5
1.0,0.0
0.5,22.0
2.0,1.0
0.5,0.0
-1.0,0.0
-0.5,-1.0
-0.5,0.0
0.0,-0.5
1.0,2.0
14.0,16.5
0.5,1.0
-1.0,0.5
4.0,7.0
4.0,3.0
0.0,1.0
-0.5,1.0
1.0,2.0
3.5,4.0
0.0,-0.5
-1.0,0.0
0.0,0.0
0.0,0.5
2.5,2.5
-1.0,-1.0
1.0,2.5
-0.5,-0.5
-1.5,-2.5
2.0,2.5
0.0,0.0
-0.5,-0.5
0.0,2.0
-0.5,-0.5
-1.0,-0.5
-1.0,-1.0
2.0,2.5
-1.0,-0.5
-0.5,-0.5
-0.5,-1.0
-1.0,0.0
-0.5,0.0
-0.5,0.0
-1.0,4.0
3.0,3.5
-0.5,-1.0
-1.0,-0.5
-1.0,0.5
0.0,1.5
-1.0,0.0
0.5,1.0
-1.0,-0.5
0.0,1.5
-1.0,-1.0
-1.5,-0.5
-1.0,-1.0
0.0,1.0
-0.5,0.0
-1.0,0.0
-1.0,-0.5
2.5,3.5
0.0,0.5
0.5,1.0
0.0,1.0
0.0,-0.5
-0.5,0.0
-0.5,-0.5
1.0,2.0
-1.0,-0.5
1.0,2.0
-1.5,-1.0
-1.5,0.0
1.5,0.5
0.5,1.0
-1.5,-1.0
0.0,2.0
-1.0,-0.5
-1.0,-0.5
0.5,-1.0
-0.5,-0.5
-1.0,-0.5
1.5,3.5
-0.5,0.0
-0.5,-1.0
1.5,1.0
0.5,0.5
-0.5,0.5
-1.0,-0.5
-1.0,-0.5
-1.0,0.0
1.5,2.5
-0.5,-1.0
1.5,1.5
-0.5,-0.5
-0.5,1.5
1.5,0.5
0.0,1.0
-1.0,-1.0
2.5,2.5
-1.0,-1.0
3.5,3.0
-1.0,0.0
-0.5,1.5
-1.0,0.0
-1.0,-0.5
3.0,4.5
1.0,1.0
1.0,0.5
1.0,1.0
-0.5,-1.0
-0.5,0.5
0.0,-1.0
-0.5,0.5
86.5,86.5
1.0,2.0
62.0,63.5
0.5,0.0
-1.5,0.0
5.0,4.5
-0.5,0.0
-0.5,2.5
0.5,0.5
3.0,3.0
0.0,-0.5
0.0,1.0
5.0,5.5
3.5,3.5
-0.5,-1.0
0.5,1.0
-1.0,-0.5
0.0,0.5
-0.5,-0.5
3.5,5.5
1.0,0.5
-1.0,-1.5
-1.0,0.0
0.0,-0.5
0.5,1.0
-1.5,-1.0
-1.0,0.0
-1.0,-1.0
4.5,6.0
0.5,0.5
-0.5,-1.0
-0.5,1.0
1.5,0.5
-1.0,-1.5
0.0,1.0
1.5,2.5
-0.5,0.0
-1.0,0.0
-0.5,2.5
-1.0,-1.5
-1.0,0.5
-1.5,-1.5
1.5,1.0
2.0,1.0
-0.5,0.5
0.0,-1.0
-0.5,0.0
2.0,2.5
-1.0,1.0
-0.5,-1.0
2.5,3.0
0.0,0.0
0.0,1.0
-1.5,-1.0
6.5,6.5
0.0,0.5
-0.5,0.5
-0.5,0.5
4.0,5.0
-0.5,-1.0
-1.0,0.5
7.5,6.0
3.5,3.5
-1.0,-1.0
-0.5,0.5
-1.0,-1.5
0.0,1.0
-1.0,-1.0
-1.0,2.0
-0.5,-0.5
-0.5,0.0
6.5,7.0
16.5,28.5
-1.0,-1.0
-1.0,-0.5
0.0,1.5
-1.0,-1.0
-0.5,1.0
-1.0,-0.5
2.0,1.5
-0.5,0.0
-0.5,1.0
-1.0,-0.5
0.5,0.5
4.0,5.0
1.5,2.0
0.5,0.5
1.5,1.0
0.5,0.5
-1.0,-0.5
-0.5,0.0
0.0,-0.5
0.5,1.0
-1.0,0.5
3.5,3.5
-1.0,-0.5
0.5,1.5
1.0,0.0
-1.0,-0.5
-1.0,-1.0
0.5,1.0
0.0,0.0
1.5,1.5
0.0,0.5
4.5,5.5
1.5,1.0
-0.5,0.0
3.0,4.0
3.5,3.0
-1.0,-0.5
2.0,3.0
-1.0,-0.5
-0.5,0.0
-0.5,-1.0
2.5,4.0
-1.0,-0.5
75.5,75.0
1.0,0.0
0.5,1.5
-1.0,-0.5
-0.5,-0.5
2.0,3.0
2.0,1.0
-1.0,-1.0
0.0,1.5
-0.5,-1.5
31.5,31.0
4.5,4.0
5.0,5.5
0.0,-0.5
3.0,3.0
0.0,0.5
-1.0,-1.5
-0.5,-0.5
-1.0,-0.5
-1.0,0.5
4.5,4.5
-0.5,0.5
-0.5,5.5
-0.5,1.0
-1.0,-0.5
-1.0,-1.0
-0.5,0.0
2.5,3.0
-0.5,1.0
1.0,2.0
0.0,1.5
1.5,1.0
0.0,0.5
-0.5,0.0
-1.0,0.5
1.0,0.5
0.0,0.0
-1.0,-1.0
0.0,1.0
-0.5,3.5
11.5,13.0
0.0,0.0
5.5,7.0
13.5,13.0
-1.0,0.0
5.5,5.0
-1.5,-1.0
0.0,0.5
-1.0,-0.5
-0.5,0.5
-1.0,0.0
7.5,8.5
1.5,1.0
0.5,0.5
0.0,0.0
-1.5,0.0
6.0,5.0
3.5,4.0
12.5,12.0
-0.5,0.5
-0.5,0.5
14.0,13.0
0.0,-1.0
2.0,2.5
3.5,2.5
3.0,2.5
-1.0,-1.0
1.5,1.5
-1.0,0.5
-1.0,-0.5
-0.5,-0.5
-0.5,0.0
-0.5,0.0
0.0,0.0
-1.5,-0.5
-0.5,1.0
2.0,1.0
0.0,0.0
1.0,-0.5
0.5,0.0
-1.0,-0.5
2.0,3.0
-1.0,-1.5
34.5,35.0
-1.0,0.0
-1.0,0.0
-1.0,-1.0
0.5,1.0
-0.5,-0.5
0.5,2.0
0.0,0.5
6.0,6.0
-0.5,-0.5
-0.5,0.5
0.5,0.0
0.0,0.0
-1.5,-0.5
0.0,1.5
-0.5,-1.0
-1.0,-0.5
0.0,5.0
-0.5,1.0
-1.0,-1.0
-1.0,-1.0
-0.5,-0.5
26.5,28.0
0.0,0.0
0.0,0.0
-1.0,1.0
-1.0,-1.0
-0.5,0.0
0.0,1.5
0.5,1.5
-0.5,0.5
1.5,1.0
0.5,0.0
0.5,1.5
3.0,2.5
6.0,10.5
2.5,5.0
1.0,1.5
0.5,1.5
3.5,3.5
-1.0,-0.5
-1.0,0.0
-0.5,1.0
9.0,8.5
-1.0,-0.5
-0.5,1.0
-1.0,-0.5
0.0,0.0
0.5,-0.5
-0.5,0.5
-1.0,-1.0
1.0,9.0
-1.0,-1.0
1.0,2.0
-1.0,-1.0
0.0,1.0
-1.0,0.0
0.0,1.0
0.5,0.0
11.5,11.0
0.0,0.0
-0.5,-0.5
-1.0,0.0
-1.0,-0.5
-1.0,-0.5
-1.0,-0.5
2.0,3.0
-0.5,-0.5
-0.5,7.0
2.0,2.5
-1.0,3.5
15.5,15.5
-1.0,-1.0
-1.0,0.5
5.0,4.0
0.0,0.0
-0.5,0.0
-0.5,1.0
0.5,0.0
-1.0,-0.5
3.5,3.0
-0.5,0.5
0.5,0.5
6.5,6.5
-1.0,0.0
-0.5,0.5
1.0,1.5
3.0,2.0
4.0,4.5
1.5,0.5
-1.5,-0.5
-1.0,-1.5
1.0,2.0
-0.5,0.0
0.5,0.0
-1.0,0.0
-0.5,0.5
0.5,1.0
-1.0,0.0
-1.0,-1.5
-0.5,1.0
2.5,2.0
-0.5,-0.5
0.5,0.5
1.0,1.5
1.0,0.5
-0.5,0.0
-1.0,-1.5
-0.5,0.0
-0.5,0.0
0.5,0.0
-1.0,-1.5
1.0,1.0
-1.0,-1.0
1.0,1.5
-0.5,0.0
-0.5,0.5
1.5,1.0
0.5,0.0
9.5,9.5
0.0,0.0
1.0,0.5
-0.5,0.0
0.0,1.0
-0.5,0.5
-1.0,-0.5
-0.5,-0.5
-1.5,-1.5
-0.5,1.5
-1.0,-0.5
-0.5,0.5
0.5,0.5
-0.5,0.0
3.0,2.5
0.5,0.0
0.5,0.0
-0.5,0.5
2.5,2.0
0.0,-0.5
-0.5,1.0
-1.0,-0.5
-0.5,1.5
1.0,0.0
-0.5,-0.5
0.5,2.0
-1.0,-0.5
-0.5,0.0
-1.5,-0.5
0.5,1.0
-0.5,-0.5
0.5,0.5
-1.0,-1.0
1.0,1.5
0.0,-1.0
6.5,6.0
-1.0,0.0
-1.0,0.5
-1.0,0.0
-1.0,-1.0
0.0,0.5
0.0,1.0
-1.0,-1.0
-1.0,0.0
-0.5,-0.5
1.0,0.0
0.0,1.0
2.5,1.5
-0.5,-0.5
-1.0,0.0
10.0,11.5
11.0,11.0
-1.0,-1.0
-1.0,-1.5
-1.0,0.5
0.0,-0.5
-0.5,-0.5
-1.0,-0.5
-1.0,0.5
-0.5,-1.5
8.0,7.5
-1.0,-1.0
4.0,4.0
0.0,-1.0
-1.0,-1.0
0.5,0.0
0.5,1.0
0.5,0.5
5.0,4.0
1.5,2.5
-1.0,0.0
1.5,1.5
6.0,5.5
0.5,1.5
1.0,2.0
0.5,0.0
0.0,1.0
-1.0,-1.0
-1.0,-1.0
-0.5,0.5
0.0,-0.5
-0.5,-1.5
