TRENTO,BOLZANO
0.0,-3.5
-1.0,-4.5
7.5,5.0
-1.0,-5.0
-1.0,-2.0
1.5,-4.0
0.5,7.0
2.5,-1.0
5.5,1.0
0.0,-2.5
5.0,0.0
-1.5,-4.0
5.0,-0.5
-1.0,0.5
5.0,1.0
1.0,-0.5
3.5,8.0
0.0,-1.0
2.5,2.0
5.0,3.5
10.0,6.5
0.5,-4.0
5.0,-0.5
-1.0,-2.5
18.5,13.5
0.0,-3.5
2.5,0.0
21.0,16.0
0.0,-0.5
-0.5,-6.0
-1.5,-4.5
3.0,0.0
4.5,1.0
21.0,16.0
0.5,-3.0
-1.0,-3.5
2.0,-4.0
2.5,3.0
1.5,-3.5
2.5,-1.5
-0.5,-5.0
2.0,-1.0
0.0,-4.5
6.5,2.0
20.0,14.0
2.0,-2.0
-0.5,-2.5
7.5,2.5
0.5,-3.0
28.5,36.0
0.5,-2.0
1.5,0.5
16.5,17.0
4.5,0.5
8.5,5.0
0.5,-2.5
9.0,7.0
0.0,-4.5
16.0,13.5
1.0,-3.5
9.5,10.0
-1.5,-3.5
5.5,3.5
0.0,0.0
2.5,-1.0
0.0,0.5
0.5,-1.0
29.0,30.0
3.5,-3.0
-1.5,-5.0
6.0,0.5
1.5,-4.0
2.5,-0.5
1.0,-3.0
6.0,0.0
10.0,9.5
3.0,-1.5
37.5,31.5
4.5,1.0
4.0,-1.0
-0.5,-3.0
15.5,10.0
4.5,1.0
8.0,5.0
5.0,-0.5
0.0,1.5
-0.5,-4.5
0.5,-3.0
1.5,-0.5
11.0,6.0
-0.5,-0.5
2.5,-1.0
-1.5,-1.5
12.5,11.0
0.0,-1.0
18.0,11.0
-1.0,-5.0
4.0,1.5
6.5,3.0
0.0,-3.5
2.5,-1.0
4.0,1.0
-0.5,-2.5
0.0,-4.5
19.5,13.5
21.5,17.5
20.5,14.5
2.0,1.0
3.5,0.0
28.5,27.5
-0.5,-3.0
0.0,-4.0
0.0,-5.0
10.0,3.0
139.0,135.5
3.5,1.0
49.5,45.0
10.5,10.5
10.5,10.5
-1.5,-4.0
4.5,5.5
2.5,-3.0
5.0,0.0
0.0,-5.0
-2.0,-4.5
5.5,2.0
3.0,-1.0
26.0,20.5
2.0,-1.0
4.5,0.0
2.0,2.0
1.5,-3.0
1.5,-1.0
35.0,33.0
-1.0,-2.0
13.5,6.0
0.5,-4.5
-0.5,-2.0
-1.5,-2.0
0.0,-1.0
-2.5,-4.5
13.0,10.0
6.5,0.5
20.5,17.0
