GONZAGA-REGGIOLO,PALIDANO
12.0,13.5
1.5,2.5
24.0,25.5
1.0,2.5
0.5,1.0
-0.5,2.0
-0.5,1.0
1.0,3.5
1.5,3.5
0.0,3.0
9.0,11.0
2.0,5.0
2.0,4.0
1.5,2.0
14.5,24.0
-0.5,0.5
-0.5,2.5
-0.5,1.5
-1.0,1.5
-1.0,1.5
2.0,2.5
0.0,3.5
-0.5,1.0
1.0,4.5
3.0,4.5
2.0,2.5
-1.0,1.5
-0.5,2.0
0.5,2.5
-0.5,2.0
2.0,2.0
0.0,0.5
-0.5,1.0
1.0,3.0
0.0,3.5
0.0,2.5
2.0,3.0
-0.5,1.5
0.0,2.5
-0.5,2.5
1.0,3.0
-1.0,0.5
-1.0,1.5
2.5,4.0
2.0,4.0
0.0,3.0
0.5,1.0
-0.5,1.5
3.0,5.0
0.5,2.5
0.0,5.0
3.0,4.0
1.5,3.5
-1.0,1.0
0.0,2.0
-1.0,0.5
0.5,1.5
1.0,4.0
0.5,3.0
1.5,4.0
3.5,5.5
14.0,14.5
2.0,3.5
2.0,3.5
1.0,3.0
1.5,3.0
-0.5,1.5
0.0,2.5
5.5,7.0
2.5,4.5
0.5,4.5
0.0,1.0
0.0,2.0
0.5,3.0
0.0,2.5
0.0,6.0
0.0,0.5
0.5,3.0
0.0,6.5
2.0,4.5
1.5,3.5
1.5,4.0
0.0,2.5
0.0,2.5
-0.5,1.5
1.5,2.5
-1.0,1.5
3.0,3.5
1.5,3.5
6.0,9.5
4.0,6.0
-0.5,8.0
2.5,3.5
0.5,2.5
-0.5,2.0
14.0,24.0
3.0,5.0
1.0,2.5
-0.5,2.0
10.5,21.5
1.0,3.0
0.5,2.5
0.0,2.0
6.5,7.5
2.5,8.5
2.0,4.0
18.0,20.0
3.5,4.5
0.5,3.0
11.0,14.0
0.0,2.5
-0.5,1.5
3.0,3.5
-0.5,1.0
1.5,2.5
1.5,3.5
7.0,8.5
3.0,5.5
0.0,2.5
1.0,0.5
1.5,3.0
0.0,6.5
0.0,3.0
0.0,1.5
0.5,2.0
0.5,2.5
4.5,6.5
3.0,5.0
-0.5,2.5
0.0,2.0
0.0,2.0
5.5,7.5
44.0,45.5
-0.5,1.5
0.0,2.0
-1.0,1.0
0.0,3.0
1.5,3.0
0.0,1.0
3.0,5.0
6.0,7.5
2.0,3.5
7.0,9.5
1.5,4.0
1.5,4.0
0.5,4.0
0.5,2.5
10.0,12.0
16.0,22.5
8.5,10.0
7.5,9.0
4.0,10.0
2.5,6.0
-1.0,1.5
0.0,2.0
0.5,2.5
-0.5,1.5
5.5,7.5
0.0,3.0
0.0,2.5
5.5,9.0
-0.5,1.5
0.5,2.0
1.5,4.0
0.0,2.5
0.0,2.0
4.0,5.5
0.5,3.5
-1.0,1.0
-0.5,2.5
-0.5,2.0
6.0,7.0
2.5,4.5
2.0,4.5
0.0,2.5
4.0,5.5
1.5,2.5
0.5,2.5
0.0,2.5
1.5,3.0
-0.5,1.5
5.5,6.0
1.0,3.0
6.5,8.0
1.5,3.5
12.0,12.5
2.5,2.5
3.0,7.0
-1.0,2.0
0.0,2.5
-0.5,2.0
1.0,2.0
0.0,8.5
-0.5,2.5
2.5,4.5
-0.5,2.0
0.5,1.5
0.0,2.0
0.5,2.5
0.0,2.5
-0.5,2.5
6.0,6.5
-0.5,5.0
6.0,8.0
5.5,7.0
4.0,27.5
2.0,2.0
2.0,4.5
-0.5,2.5
2.5,4.5
2.5,4.0
0.0,2.0
2.5,4.5
-0.5,2.0
-0.5,3.5
9.0,10.5
4.5,7.0
-1.0,2.0
3.5,5.5
1.0,3.5
2.0,4.5
0.5,2.5
3.0,5.0
-0.5,2.0
2.5,29.0
-0.5,2.0
3.5,4.0
1.0,3.0
5.0,7.5
2.0,4.0
-0.5,1.0
2.0,2.5
4.0,6.0
4.5,5.5
3.5,5.5
0.5,5.0
1.0,1.5
0.0,2.5
5.5,7.5
5.5,8.0
6.0,8.0
1.5,2.0
2.0,5.0
2.0,3.0
5.0,12.5
1.5,4.5
-0.5,2.0
0.5,1.0
3.5,5.5
13.0,13.0
0.0,2.0
1.5,4.0
1.5,5.0
1.5,4.0
3.5,4.0
-0.5,2.5
5.0,8.5
4.0,5.5
22.5,24.0
-1.0,2.0
2.0,4.5
-0.5,2.0
0.0,2.0
4.0,5.0
1.5,3.5
3.0,3.0
9.5,10.0
1.0,4.0
7.5,9.5
1.5,4.0
2.0,9.0
0.5,2.0
1.5,3.5
0.5,3.0
2.0,4.0
3.0,4.5
5.5,5.5
1.0,3.0
-0.5,2.5
3.0,5.0
0.0,2.5
4.5,4.5
1.0,3.0
3.5,5.0
2.0,5.0
1.0,3.0
3.5,6.5
10.0,12.5
4.5,6.5
0.0,1.0
1.5,3.5
1.0,2.5
3.5,5.0
4.5,6.5
0.5,0.5
-0.5,1.5
3.5,5.0
5.0,7.0
0.5,6.5
1.0,1.0
0.0,2.0
6.0,8.5
7.0,9.0
8.0,9.0
0.5,3.5
14.5,17.0
0.0,2.0
1.5,4.0
5.0,6.5
-1.0,2.0
48.0,52.0
-0.5,1.5
1.5,3.5
0.5,3.5
1.0,3.0
-0.5,1.5
0.0,3.0
3.5,4.5
9.0,11.0
1.5,6.0
-0.5,2.0
6.5,9.5
-0.5,2.0
-1.0,5.0
0.0,0.5
2.0,3.5
2.0,2.5
0.0,1.5
-0.5,2.0
0.0,3.5
1.0,3.0
1.5,2.0
2.0,4.0
0.5,2.5
1.0,3.0
0.0,1.0
4.0,6.0
6.0,6.5
1.5,3.0
7.0,9.5
0.5,1.5
0.5,2.5
5.0,6.0
3.5,5.5
4.5,7.0
3.0,4.0
2.5,5.0
0.0,1.5
2.0,4.0
5.5,8.0
15.0,18.0
2.0,3.0
2.0,4.5
1.5,3.0
2.0,4.5
0.0,2.5
2.5,2.5
-0.5,2.0
4.0,5.5
1.0,3.5
0.0,4.5
2.0,3.0
-0.5,2.0
5.0,7.5
3.5,6.0
1.0,5.0
2.0,2.5
1.5,3.0
3.0,4.5
4.0,5.5
4.0,6.0
0.5,1.5
3.5,5.0
2.0,3.0
0.0,2.0
2.0,4.5
2.0,2.5
1.0,2.5
-1.0,2.0
1.0,3.5
0.0,2.5
5.0,6.0
0.5,3.0
1.0,2.5
-0.5,1.5
3.5,7.0
6.5,9.5
0.0,2.0
0.5,1.5
0.5,2.5
-0.5,6.0
1.0,1.5
-0.5,1.5
4.0,6.0
5.0,6.0
0.5,7.5
3.0,4.0
-0.5,1.5
1.5,4.0
1.0,3.0
0.0,2.5
0.5,1.5
-0.5,1.5
-0.5,1.5
-0.5,2.0
-1.0,1.5
1.0,1.0
0.0,1.5
1.0,3.0
2.5,5.0
1.0,3.5
24.5,25.0
1.0,2.0
1.5,3.5
0.5,2.5
-1.0,2.5
-0.5,4.0
-0.5,1.0
-0.5,2.0
-0.5,2.0
1.5,4.0
0.0,3.0
0.0,2.0
0.0,3.0
0.0,2.5
2.0,4.5
0.0,2.0
5.5,9.5
0.0,2.5
-0.5,1.5
4.0,7.0
4.5,7.5
3.0,5.0
1.0,1.5
-0.5,1.5
1.0,3.0
0.0,3.0
1.0,3.5
1.5,1.5
3.0,4.5
5.0,6.5
3.0,4.5
2.5,4.5
0.0,4.0
-0.5,2.5
0.5,3.5
-1.0,1.5
0.0,1.0
0.0,2.0
2.5,3.5
0.0,2.5
2.0,4.5
2.0,4.0
2.0,4.0
4.5,7.0
3.5,5.0
3.5,4.5
0.0,2.0
1.5,4.0
4.5,6.0
0.0,2.0
1.0,3.5
-0.5,1.0
0.0,2.0
-0.5,4.0
2.5,3.5
6.0,8.0
0.0,0.5
12.0,23.5
2.0,4.5
1.5,4.0
-0.5,1.5
0.5,1.5
0.0,2.0
12.5,20.5
3.0,4.5
7.5,9.0
0.5,1.0
1.0,2.5
1.5,4.0
0.5,3.5
0.0,2.0
-0.5,2.0
3.5,6.0
-0.5,2.0
3.0,5.0
4.0,4.5
-0.5,3.0
3.5,3.5
-0.5,1.5
1.0,3.0
1.0,5.0
1.5,3.5
-0.5,1.0
0.5,4.0
-0.5,2.0
4.0,4.0
0.5,2.5
0.0,3.0
6.0,9.0
2.5,4.5
8.5,11.0
2.0,3.0
6.0,8.5
1.5,3.5
5.0,7.0
6.5,8.5
3.5,5.5
1.5,3.0
1.0,4.0
0.0,2.0
0.5,2.5
1.0,3.0
9.0,8.5
0.0,2.0
-0.5,2.0
1.0,3.0
0.0,2.0
2.0,3.0
-0.5,1.5
0.5,3.5
1.0,3.5
0.0,2.0
4.0,4.5
1.5,3.0
6.0,7.5
1.5,3.5
3.5,5.5
0.0,1.5
0.0,2.0
4.5,6.5
7.0,8.5
6.0,8.5
0.5,0.5
1.0,3.5
-0.5,2.0
1.5,3.5
2.0,3.0
0.0,2.0
1.5,4.0
-0.5,2.0
1.5,4.0
4.5,5.0
-0.5,2.0
0.5,3.0
0.5,3.0
0.0,2.5
2.0,3.5
6.5,9.0
4.5,6.5
3.0,3.5
1.0,4.0
3.0,5.0
-1.0,1.5
0.0,2.0
-0.5,1.5
7.5,8.0
-0.5,1.5
2.0,5.0
1.0,3.0
6.5,8.0
0.0,0.5
0.5,2.0
0.5,3.0
1.0,3.0
0.5,2.5
3.5,4.5
4.5,6.0
4.0,5.5
4.0,6.5
10.5,12.0
3.5,6.0
1.0,2.5
3.0,4.5
0.5,2.5
-0.5,1.5
3.5,4.5
0.5,2.0
1.0,3.0
-0.5,1.5
1.0,4.0
0.5,3.0
2.5,3.5
16.5,22.0
-0.5,1.0
1.5,3.0
1.5,3.0
1.0,3.0
1.0,3.0
5.0,5.5
0.0,2.5
-0.5,2.0
1.0,4.0
0.0,2.5
4.0,3.5
-0.5,1.5
2.0,4.0
0.0,2.0
1.5,4.0
3.5,7.5
-0.5,1.0
0.0,2.5
0.0,3.0
-0.5,3.0
3.0,4.0
4.5,6.5
0.5,2.5
0.0,2.0
0.0,2.5
-1.0,1.5
2.5,4.5
0.0,2.0
5.0,6.0
-1.5,1.0
5.5,8.0
-0.5,2.0
24.5,26.0
1.0,3.0
