CARPI,ROLO NOVI FABBRICO
-0.5,0.5
0.0,1.5
-1.5,-0.5
0.5,0.0
1.5,4.5
3.5,5.0
4.0,0.5
1.0,2.0
-0.5,6.0
0.5,0.5
12.5,12.5
5.0,3.0
0.5,1.0
0.5,0.5
1.5,2.5
-0.5,1.0
18.0,14.0
1.5,2.5
-0.5,8.5
1.5,1.5
-1.0,1.5
-1.0,1.0
1.0,1.5
-0.5,0.5
0.5,0.0
0.5,3.5
0.5,0.5
0.0,4.0
2.0,4.0
-0.5,1.0
1.0,1.5
-0.5,0.5
0.0,1.5
-1.0,0.0
0.5,2.0
0.5,0.0
6.0,2.5
-1.0,2.0
2.5,0.5
2.0,3.5
0.0,2.0
1.0,1.0
0.5,6.0
0.0,3.5
-1.5,5.0
1.0,7.0
6.5,8.0
3.5,3.0
0.0,1.5
2.5,7.5
1.5,5.0
2.0,3.5
-0.5,1.5
-1.0,0.0
-1.0,1.0
-0.5,1.5
2.5,3.0
0.0,-0.5
-0.5,0.0
1.0,1.5
-1.0,0.0
2.5,4.0
1.0,0.5
0.5,0.5
3.5,1.0
-1.0,0.5
1.5,3.5
2.0,2.5
2.0,6.5
-1.0,2.0
0.5,3.5
0.5,2.5
0.0,0.5
7.0,6.0
0.5,7.5
-0.5,6.5
1.0,3.0
-0.5,1.0
-1.0,0.0
0.0,0.5
2.5,1.5
3.0,5.0
-0.5,0.0
1.0,1.0
2.0,0.5
3.5,2.0
3.5,7.5
0.0,0.0
-1.5,0.5
-1.0,1.0
-0.5,0.5
0.0,0.5
2.0,6.5
0.5,7.5
0.0,4.0
3.5,5.0
-1.0,2.0
0.0,3.5
-0.5,-0.5
15.0,17.5
0.0,0.0
-0.5,0.0
3.5,5.5
1.0,0.0
0.0,3.5
0.0,2.0
4.0,5.5
2.0,2.0
1.5,2.0
0.5,1.5
1.5,2.5
1.0,1.0
2.5,4.0
-0.5,5.5
3.0,4.5
1.5,4.0
8.5,12.5
6.0,4.5
-0.5,0.0
2.0,4.0
0.0,0.0
0.0,0.5
3.5,6.5
1.5,2.0
-0.5,1.5
0.0,-0.5
0.5,0.5
0.5,1.0
5.5,8.0
19.5,16.5
1.5,1.5
1.5,2.5
0.0,2.0
1.0,0.5
1.0,2.0
2.0,2.0
2.0,0.5
-1.5,-0.5
0.0,1.5
-0.5,0.5
0.5,1.0
1.5,0.5
6.5,3.0
0.5,0.5
4.5,2.0
0.5,2.5
1.0,0.0
1.0,1.0
-1.5,1.0
-1.0,0.0
1.5,3.0
0.5,2.0
2.0,1.0
1.5,0.0
-0.5,0.5
-1.0,0.0
1.0,-0.5
1.5,3.5
-0.5,0.0
1.5,4.0
-1.0,-0.5
2.0,6.0
-1.0,0.5
27.5,25.0
0.0,0.5
