CHIARI,ROVATO
3.5,2.0
4.0,3.5
0.0,0.0
12.5,13.0
15.0,13.5
10.5,12.0
-1.0,-1.0
19.0,18.5
6.0,7.5
-1.5,-1.0
7.0,7.5
1.0,0.5
7.0,7.5
-1.0,-1.5
21.0,22.0
11.0,14.5
11.0,11.0
5.5,5.5
-1.5,-0.5
1.5,2.5
16.0,22.5
0.0,2.5
1.5,2.0
9.0,7.5
4.0,4.5
8.0,11.5
5.0,5.0
-0.5,-0.5
12.0,11.0
3.0,3.0
1.5,1.5
6.0,7.0
4.0,2.5
5.0,5.5
29.5,29.5
4.5,4.5
5.0,5.0
7.0,8.5
1.0,-1.0
1.5,2.0
19.5,19.5
5.0,7.0
3.0,5.0
36.5,34.5
16.0,15.5
9.0,8.5
12.5,14.0
4.5,5.0
2.5,2.5
6.5,7.0
0.5,2.0
2.0,3.0
9.0,8.0
0.5,0.0
31.5,33.5
7.0,12.5
12.5,15.0
7.0,7.0
21.5,21.0
2.5,2.5
28.0,28.0
2.5,4.0
1.0,3.0
12.5,13.0
1.0,1.5
8.0,7.0
13.5,14.5
14.0,13.5
6.0,6.0
4.0,3.5
2.0,1.0
7.5,7.0
3.5,6.0
0.0,1.5
0.5,1.0
2.0,4.5
3.0,2.5
-1.5,-1.5
28.0,31.0
8.0,8.0
1.5,1.0
10.5,13.0
-1.0,-1.0
2.5,2.5
1.5,1.0
1.5,0.5
12.0,12.5
11.5,12.0
5.5,5.5
14.5,15.5
5.0,6.0
13.0,11.5
18.0,18.0
6.0,5.5
12.0,13.0
7.0,8.0
4.5,5.0
5.5,4.5
7.0,7.5
21.0,21.5
0.0,0.5
7.0,7.0
15.0,15.0
18.5,19.0
13.5,14.5
5.0,10.0
8.0,8.5
11.0,11.0
3.5,3.5
14.0,14.5
-2.0,-2.5
13.5,13.5
12.5,13.0
5.0,5.5
4.5,6.0
10.0,10.0
12.0,13.0
0.0,0.5
15.0,16.0
25.5,28.5
34.5,35.0
0.0,0.0
8.0,7.5
4.0,3.0
2.0,2.5
2.5,4.5
7.0,7.5
9.5,9.5
6.0,6.0
7.0,7.5
6.0,7.5
3.5,3.0
25.0,25.5
1.0,0.0
1.5,2.0
24.0,25.0
1.5,2.0
8.5,9.0
20.5,20.0
13.0,11.5
1.5,1.5
