POLESELLA,ARQUA`
1.5,9.0
2.0,7.5
1.5,1.5
13.0,12.5
0.0,0.0
-1.0,-1.0
-1.5,-0.5
0.5,7.0
14.5,18.0
12.0,14.5
3.5,3.0
21.0,22.0
3.0,3.0
4.0,7.5
12.0,19.0
10.0,10.5
2.0,2.5
17.5,17.5
-0.5,-0.5
7.5,6.5
1.5,2.5
7.0,16.5
-0.5,-1.0
6.5,5.5
6.0,7.0
4.5,17.0
0.5,1.0
0.0,5.5
-1.0,-1.0
9.5,10.0
1.0,1.5
2.5,2.0
3.5,3.5
5.5,8.5
1.0,1.0
2.0,1.0
3.0,3.0
1.5,1.0
3.5,4.0
18.0,18.5
-1.5,-1.5
4.0,7.0
6.5,7.5
7.0,6.5
2.5,2.5
13.0,18.0
-2.0,-1.5
5.5,8.5
8.0,8.0
5.0,4.5
8.5,8.5
17.5,17.0
0.0,0.0
12.5,16.5
8.0,7.5
9.5,12.5
2.5,3.0
13.0,16.0
8.0,8.0
8.5,12.5
2.5,3.5
2.5,2.5
-1.0,-1.0
1.0,0.5
3.5,3.0
3.0,3.0
23.5,23.0
20.0,20.5
3.0,2.5
0.0,0.0
0.5,0.0
6.0,6.0
-0.5,-0.5
4.0,5.5
4.0,4.0
11.0,10.5
1.0,0.5
8.5,13.5
32.5,38.0
2.5,6.0
30.0,30.5
12.0,12.5
9.0,17.0
10.0,13.0
2.0,2.0
6.0,12.0
5.0,5.0
5.0,9.0
32.0,43.5
13.5,14.0
2.5,3.0
7.5,12.5
0.5,0.5
5.5,6.0
0.0,-0.5
3.0,2.5
3.0,3.0
16.5,16.5
6.0,6.5
3.0,8.5
44.0,47.0
11.5,19.0
14.5,14.5
0.5,0.0
5.0,4.5
6.5,6.0
12.0,16.5
3.0,3.0
6.5,18.5
0.5,0.0
5.0,8.0
2.0,2.0
2.0,2.0
-1.0,0.0
7.0,7.5
9.0,14.0
10.0,10.0
4.0,4.0
5.5,5.5
1.0,0.0
4.0,3.5
4.0,4.0
0.0,-0.5
0.5,0.0
15.0,14.5
44.0,50.5
1.5,1.0
26.0,31.0
-0.5,-0.5
5.0,9.0
0.5,0.0
0.0,5.0
5.0,7.5
2.5,6.0
1.0,0.5
7.5,16.0
6.5,11.0
21.0,33.0
12.0,13.0
12.0,15.5
10.0,15.0
6.0,6.0
3.5,3.5
16.5,18.5
-0.5,-0.5
8.0,8.0
0.5,0.5
22.0,24.5
2.0,1.5
7.0,6.5
0.0,0.0
12.5,11.0
7.5,7.5
6.5,6.0
4.0,4.0
1.5,1.0
15.0,17.0
6.0,14.0
0.5,0.5
11.5,11.0
63.0,64.0
41.0,41.5
1.5,1.0
5.0,4.0
2.0,1.5
11.0,11.0
9.0,12.0
20.0,20.0
0.0,0.0
7.0,7.0
1.5,1.5
13.0,13.0
3.0,3.0
6.5,6.0
2.0,5.5
3.5,8.5
-0.5,-0.5
2.5,2.5
0.5,0.5
8.5,14.0
2.0,1.5
83.0,83.5
66.5,72.0
1.5,1.5
3.0,2.5
2.0,2.0
5.5,10.5
1.0,1.0
2.5,9.5
12.0,14.0
1.5,5.5
2.0,1.0
1.5,5.0
0.0,-0.5
15.5,15.0
6.5,6.5
1.0,5.5
-1.0,-1.0
18.5,17.5
26.5,33.0
6.5,10.0
0.5,0.0
10.0,16.5
3.0,2.5
9.0,11.5
1.5,1.5
6.0,11.5
4.0,4.5
12.5,12.0
0.5,0.0
3.5,7.0
1.5,1.5
-0.5,3.5
-0.5,-1.0
10.0,10.0
0.0,-0.5
8.5,20.5
1.0,1.0
16.0,15.0
1.5,1.5
14.5,14.0
3.5,3.5
18.5,18.5
-0.5,-0.5
-0.5,-0.5
5.0,5.5
11.0,18.5
4.0,9.5
2.0,10.5
4.0,4.0
16.0,16.0
4.0,3.0
7.0,6.5
3.5,3.0
5.5,8.5
1.0,1.0
6.5,10.0
12.5,12.0
7.5,12.5
8.5,8.5
6.0,6.0
-1.0,-0.5
4.5,4.0
3.5,3.5
6.0,6.0
-0.5,-0.5
4.5,4.5
0.5,0.0
-1.0,-1.0
4.0,4.0
6.0,6.5
6.5,15.0
6.0,9.5
1.5,7.0
1.0,1.0
7.0,13.0
10.5,15.0
9.0,8.0
1.5,1.5
3.0,5.5
2.0,1.5
1.5,1.0
0.0,-0.5
1.0,3.5
10.0,13.0
8.5,11.0
4.5,4.5
0.5,8.0
1.0,1.5
7.0,6.0
0.5,0.5
3.5,6.5
1.5,0.5
7.5,11.5
3.5,3.0
9.5,12.0
2.5,2.0
5.5,14.5
4.0,4.0
20.5,20.0
10.5,11.0
6.0,5.5
8.0,8.0
-1.0,-0.5
5.5,6.0
8.0,11.5
3.0,3.0
