POLESELLA,OCCHIOBELLO
6.5,8.0
5.0,4.5
7.0,7.5
4.5,5.5
25.5,25.5
12.5,12.0
6.0,6.5
7.0,7.0
11.5,12.0
2.5,2.0
3.0,6.0
6.0,5.0
7.5,7.5
7.5,7.5
2.5,2.0
3.5,3.0
5.0,4.5
3.0,2.5
11.0,10.5
3.5,3.5
6.0,8.0
13.0,13.0
12.0,12.0
9.5,12.0
8.5,8.0
1.0,1.0
4.5,4.0
3.5,3.5
5.0,5.0
9.5,10.5
9.5,9.5
5.5,5.5
5.0,4.0
5.5,5.5
9.0,11.0
5.0,5.0
10.5,11.0
2.0,1.5
4.5,4.5
3.5,3.0
2.5,3.5
5.0,4.5
6.5,7.5
4.0,4.0
4.0,5.0
8.0,8.5
8.5,8.0
4.0,4.0
7.5,10.0
7.5,9.5
4.0,4.0
6.5,7.0
6.0,6.0
2.5,2.0
1.5,1.5
7.5,8.0
1.5,0.5
4.5,4.5
3.5,3.0
3.0,2.5
2.5,2.0
5.5,6.5
1.0,0.5
7.5,8.0
12.0,12.0
3.0,3.0
5.5,4.5
5.0,5.0
10.0,10.5
20.0,20.0
3.0,3.0
9.0,9.5
9.0,8.5
11.0,11.0
3.5,4.0
4.0,5.5
6.5,6.5
4.0,3.5
11.0,11.0
6.5,8.0
3.5,3.0
2.5,5.5
1.0,0.5
2.5,2.5
4.5,4.0
8.0,7.5
3.5,5.0
4.0,4.0
1.5,1.0
2.0,1.5
5.5,6.5
4.0,4.0
3.0,2.5
3.5,3.0
8.5,8.0
4.5,5.0
2.5,3.0
4.5,5.0
5.0,6.0
4.5,4.5
5.5,5.0
7.5,7.0
7.0,10.5
3.0,3.5
3.0,3.0
7.0,6.5
8.0,2.0
1.5,1.0
1.0,0.5
4.0,4.5
7.5,8.0
8.0,7.5
12.5,12.5
3.0,1.5
6.5,6.5
5.0,4.5
4.5,5.5
2.5,2.0
4.5,5.5
6.0,7.0
6.5,5.5
5.0,4.5
2.0,1.5
5.5,5.5
9.5,9.0
11.0,11.5
6.5,6.0
7.0,9.0
3.0,2.5
7.5,7.0
2.0,5.5
10.5,11.5
3.0,3.0
8.0,7.0
19.5,19.5
5.5,6.5
13.0,13.5
4.0,3.5
9.5,9.0
8.0,8.0
2.0,2.0
3.0,3.0
6.0,6.5
7.0,6.5
5.5,4.5
1.0,4.0
2.0,2.0
11.0,11.0
9.5,9.5
3.5,9.0
7.5,7.5
5.0,4.0
