PRATO CENTRALE,IL NETO
-2.0,0.5
-1.0,0.5
-3.5,0.0
1.5,1.0
-1.5,0.5
-0.5,6.0
7.0,7.5
-2.5,2.5
1.0,1.0
1.5,4.5
-1.0,0.5
-0.5,5.0
3.0,5.0
1.5,1.0
-1.5,0.0
-3.0,0.5
1.0,1.0
-0.5,0.5
0.5,4.5
-2.0,0.5
1.5,1.5
-3.0,0.0
3.0,3.0
-3.5,0.0
-1.0,-0.5
-1.0,1.0
-3.0,-1.0
-3.0,0.5
4.0,8.0
-1.0,0.5
-2.5,0.5
-1.5,1.0
-3.0,0.0
-3.5,1.0
1.0,1.0
-3.0,2.0
-1.5,-3.8
-2.5,1.0
-1.0,-0.5
8.0,7.5
-3.0,0.0
-1.0,1.5
4.0,5.0
-1.5,0.5
-1.0,1.0
1.5,1.0
-1.5,-0.5
-2.5,0.0
-1.5,-1.0
-2.0,1.5
-2.5,0.5
-2.5,0.5
-2.5,1.0
1.0,0.5
3.5,3.0
-1.0,4.5
2.5,2.5
1.5,1.5
0.5,-1.5
-2.0,0.5
-2.0,0.5
-1.5,0.5
1.0,6.5
-2.5,0.5
6.5,6.5
4.0,3.0
-2.0,-0.5
2.0,3.0
-2.0,2.0
1.0,0.5
-1.5,0.5
4.5,4.0
-3.0,0.0
-3.0,1.5
-3.0,2.5
-0.5,-6.9
-3.0,5.5
-2.5,0.0
-2.0,0.0
8.0,5.5
-2.5,0.0
4.0,4.0
-3.5,2.5
-3.0,0.0
2.5,2.5
-3.0,0.5
-2.5,10.5
-2.5,0.0
4.5,4.5
-2.0,0.0
1.0,1.0
-1.5,6.5
1.0,0.0
-2.0,0.5
29.0,29.0
-1.5,0.5
-0.5,0.5
2.0,3.5
-1.0,0.0
-3.0,0.0
-1.0,1.5
-3.0,0.0
0.0,0.0
-2.0,0.0
-3.5,-0.5
3.0,2.5
-2.5,2.5
-3.5,-0.5
0.0,1.0
-2.5,0.5
-2.5,0.0
2.0,2.0
0.0,0.5
-2.5,2.5
-3.0,0.0
-1.0,4.0
-2.5,0.0
-1.5,1.0
-2.5,0.5
0.0,0.0
3.5,6.5
-1.0,-0.5
-3.0,0.0
-1.0,0.0
4.0,5.0
-3.0,0.5
-2.0,0.0
-3.0,1.0
4.5,11.0
0.0,0.5
-2.0,-0.5
11.5,11.5
-2.5,-1.0
-3.5,0.5
-0.5,0.0
-2.5,0.5
-0.5,0.5
-0.5,0.0
-1.5,0.5
-2.0,0.0
