FORLI`,CESENA
1.0,-3.0
-0.5,-4.5
0.5,-3.0
3.5,0.0
1.5,-2.0
10.5,8.0
-1.5,-4.5
1.5,-1.5
2.0,-2.0
1.5,-2.5
7.0,3.5
1.0,-4.0
1.0,-2.0
2.0,-0.5
9.5,6.0
-1.0,-3.5
8.0,4.5
1.5,-3.5
7.0,2.5
1.0,-1.5
-0.5,-3.0
1.5,-2.5
4.0,1.0
6.5,2.5
1.0,-2.5
-0.5,-3.5
5.5,2.0
1.0,-1.0
0.0,-4.5
0.5,-3.0
10.0,7.0
0.5,-3.0
0.5,-3.0
9.0,6.5
8.5,5.5
6.5,2.5
3.5,2.5
1.5,-2.0
0.0,-3.5
-1.0,-4.5
0.0,-3.5
0.0,-4.0
0.0,-3.0
0.0,-4.0
9.0,5.0
2.5,-1.0
3.5,0.5
0.5,-3.5
8.0,5.5
0.0,-3.5
2.0,-1.5
0.0,-4.0
0.0,-3.0
0.0,-5.0
1.5,-1.5
-0.5,-3.5
2.0,-1.0
2.5,-1.0
4.0,0.0
3.0,-0.5
3.0,-1.0
-1.0,-3.5
0.0,-2.0
7.0,3.5
1.0,-3.5
0.5,-1.5
12.0,8.0
0.5,-3.5
23.5,18.5
4.5,3.5
1.0,-3.0
-1.0,-3.0
18.0,15.0
1.0,-2.0
15.5,12.0
-1.5,-3.5
1.5,-3.5
-1.0,-3.5
7.0,2.5
1.5,-1.5
-0.5,-4.0
-1.5,-3.5
1.5,-3.0
-1.5,-5.0
8.5,3.5
0.0,-3.5
29.0,26.0
1.5,-1.5
0.0,-4.0
1.5,-3.0
12.0,7.0
5.5,1.0
7.0,12.5
-0.5,-3.5
1.5,-1.5
3.5,-1.5
0.5,-4.5
2.0,-0.5
1.5,-3.0
-0.5,-4.0
31.0,26.5
9.0,5.0
3.5,-1.0
0.0,-5.0
-0.5,-4.5
0.5,-2.5
-0.5,-3.5
9.5,6.0
1.5,-3.0
2.0,-2.0
9.5,7.0
0.0,-3.0
-0.5,-4.5
0.5,-3.0
0.0,-3.5
8.5,4.5
-0.5,-4.0
8.0,4.0
-1.0,-4.5
3.5,0.0
12.0,7.0
1.0,-2.0
9.5,6.5
-1.0,-5.0
8.5,4.0
0.0,-2.0
1.5,-2.0
0.0,-3.5
2.5,-1.0
8.5,5.0
-1.5,-3.0
1.5,-2.0
1.5,-1.5
11.0,8.0
-1.5,-3.5
