S. ZENO FOLZANO,BRESCIA
11.0,9.5
21.5,19.0
0.5,-2.0
-2.0,-3.0
10.5,7.0
9.5,8.0
4.5,2.0
0.5,-2.0
-1.5,-4.0
9.0,7.0
2.0,0.0
13.5,13.5
14.5,16.0
-4.0,-3.5
-0.5,-3.0
3.0,1.5
3.0,1.0
6.5,4.0
-2.5,-4.0
3.0,2.0
3.0,3.0
5.5,3.5
5.0,2.5
3.0,2.0
2.0,-1.0
1.5,0.0
0.5,-2.0
2.0,-1.0
-0.5,-3.0
25.0,22.5
0.0,-2.0
12.5,13.0
3.5,1.0
9.0,6.5
5.0,2.5
5.5,4.0
7.0,4.5
1.0,-1.5
2.5,1.0
9.5,7.0
-0.5,-2.5
3.5,1.0
-1.0,-3.0
-1.0,-0.5
-1.0,5.5
-0.5,-2.0
-0.5,0.5
1.5,-1.5
7.0,4.5
3.0,2.0
4.0,8.5
1.0,-2.0
-1.5,-2.5
-0.5,-2.5
5.5,3.5
13.0,10.5
1.0,-1.5
-0.5,-2.5
4.0,1.0
24.5,24.5
5.0,5.5
6.5,3.5
2.5,0.0
27.0,32.5
7.5,5.5
1.0,-2.0
-0.5,-1.5
5.5,3.0
9.0,6.0
-1.5,-2.0
-1.5,-4.0
4.5,3.5
0.0,-2.5
2.0,0.0
1.0,-2.0
-1.5,-3.0
0.0,-2.0
-0.5,-2.5
2.0,-1.0
3.0,1.5
8.5,5.5
3.0,0.5
1.0,-1.5
4.5,1.5
9.0,6.5
5.5,4.0
22.5,25.0
5.5,3.5
-1.5,-3.0
-1.0,-1.0
0.5,-2.0
12.0,9.5
7.0,5.0
0.5,-1.5
6.5,4.0
7.5,5.0
-2.0,-5.0
3.5,0.5
-1.0,-2.5
-1.0,-3.5
0.5,-2.0
1.5,-1.5
1.0,-1.5
0.0,-2.5
6.5,3.5
6.0,4.0
6.5,3.5
4.0,1.5
1.0,-0.5
-1.5,-2.5
7.5,4.5
8.5,9.5
21.5,19.5
1.5,-0.5
7.0,4.5
-1.0,-2.0
0.5,-2.5
-1.0,0.5
1.5,-1.0
4.5,2.0
3.5,1.0
14.5,12.0
7.5,6.0
3.0,0.5
25.0,25.5
0.0,-2.5
20.0,26.5
0.0,-0.5
0.5,-2.0
8.0,6.0
13.5,11.5
4.5,1.0
2.5,-0.5
-1.0,-3.0
5.0,3.0
20.0,19.0
-0.5,-2.5
-1.5,-3.0
16.5,14.0
21.0,18.5
3.0,0.5
-1.5,-2.0
2.5,-0.5
5.5,3.5
8.0,5.5
2.0,-1.0
1.0,-1.0
1.5,0.5
2.0,0.0
