PALIDANO,GONZAGA-REGGIOLO
2.0,1.0
1.5,0.5
8.5,7.5
2.0,0.5
2.0,1.0
2.0,1.0
4.0,3.0
5.5,4.0
3.0,1.5
2.0,1.0
2.0,1.5
3.5,3.5
3.0,2.0
4.5,3.0
4.0,3.0
2.5,1.0
2.0,0.0
4.5,4.0
1.5,0.5
1.0,0.0
2.0,0.5
1.5,0.0
19.0,18.5
1.5,0.5
5.0,3.5
2.0,1.0
2.0,1.0
4.5,4.0
3.5,2.5
1.5,0.5
2.5,1.0
2.5,1.5
9.0,8.0
1.5,0.0
3.0,2.0
2.5,1.5
2.0,0.5
3.5,3.0
4.5,3.5
2.5,1.0
1.5,0.0
4.5,3.5
0.5,-0.5
4.5,3.0
4.0,3.5
1.5,0.0
4.0,2.5
6.0,5.5
2.5,1.5
6.5,5.0
2.5,1.5
1.5,0.0
4.0,3.0
3.0,1.5
2.5,1.5
1.0,-0.5
2.5,1.5
3.5,2.5
4.5,3.5
4.5,3.5
2.0,1.0
6.0,5.5
9.5,8.5
3.0,2.0
4.5,3.0
4.5,3.5
3.5,2.0
3.5,2.0
7.0,5.0
25.0,24.0
16.0,14.5
19.0,18.0
2.0,0.5
3.0,2.0
2.0,1.0
2.5,1.0
5.5,3.5
1.5,0.0
8.5,7.0
3.0,2.5
15.5,14.0
4.5,3.0
2.5,1.0
0.5,-0.5
4.0,3.0
4.0,3.5
3.0,2.5
1.5,0.5
2.5,1.5
9.0,8.0
2.5,1.5
6.0,4.5
10.5,9.5
2.0,1.0
2.5,1.5
2.0,1.0
2.5,0.5
4.5,3.0
2.0,1.0
2.5,1.5
8.0,6.5
2.0,0.5
2.0,0.5
2.0,1.0
3.0,2.0
7.5,11.0
2.5,2.0
2.0,1.0
3.0,2.5
8.0,6.5
16.5,15.0
1.5,0.0
28.0,27.0
2.5,1.5
4.5,4.0
2.5,0.5
6.5,5.5
4.5,3.0
7.5,6.5
1.5,0.5
5.0,4.0
26.5,25.0
2.0,0.5
1.0,-0.5
2.5,1.5
7.0,6.0
3.5,2.0
2.5,1.0
2.0,0.5
2.0,1.0
7.0,6.0
7.0,6.0
2.0,0.5
1.5,0.5
1.5,0.5
3.5,2.5
1.0,-0.5
1.5,0.5
3.0,1.5
6.5,5.0
5.0,4.0
6.0,4.5
9.0,7.5
2.0,1.0
9.0,17.5
7.5,7.0
4.0,3.0
9.5,8.5
7.5,7.0
11.0,10.0
11.0,10.5
8.0,6.5
10.5,12.0
3.0,2.5
2.0,1.0
86.0,85.5
4.0,2.5
2.5,1.5
3.5,2.5
1.5,0.5
6.0,4.5
1.5,1.0
2.5,1.0
2.0,1.5
3.0,2.0
2.0,1.0
5.0,4.5
3.0,2.0
4.5,3.5
4.5,3.0
2.0,1.0
2.5,2.0
2.5,1.5
