TREVIGLIO,ROMANO
4.5,2.5
6.0,4.5
1.5,0.0
8.5,9.0
14.5,13.5
11.0,9.5
1.5,0.0
18.0,17.0
5.5,5.5
1.0,-0.5
7.0,6.0
2.5,1.5
9.5,8.0
-0.5,-1.5
22.0,21.0
12.5,10.5
12.0,11.0
6.0,5.0
-0.5,0.0
3.0,1.5
12.0,11.5
3.0,1.0
2.5,1.5
10.0,8.0
5.0,4.0
8.0,8.0
6.5,5.5
-1.0,-1.5
11.5,11.0
4.0,3.5
3.5,2.5
6.0,5.0
3.5,2.0
5.5,5.0
29.5,29.5
1.5,4.0
5.0,5.0
10.0,8.0
2.0,1.5
2.5,1.5
21.0,19.5
2.5,0.5
3.0,2.0
38.5,36.5
18.0,16.5
11.0,9.5
3.5,3.0
10.5,11.5
5.0,4.5
2.5,2.0
6.5,5.5
2.5,0.5
4.0,2.5
7.5,8.0
0.0,-0.5
27.0,27.0
8.5,6.5
2.5,3.0
9.0,11.0
6.0,4.5
20.5,20.5
4.0,2.5
30.0,28.0
6.5,3.5
1.0,0.5
7.0,9.0
3.5,2.0
8.5,7.0
13.0,12.5
15.0,14.0
6.5,5.5
3.0,2.5
3.0,2.0
5.5,5.5
1.0,1.5
1.0,-0.5
2.5,1.5
2.0,1.5
3.0,2.0
0.0,-1.5
25.0,28.0
5.5,4.0
6.0,6.5
2.5,1.0
9.0,11.0
-0.5,-1.0
5.0,3.0
2.0,1.0
3.0,1.5
10.0,9.5
8.5,12.0
6.0,5.0
16.5,14.0
4.0,3.0
13.5,12.0
21.0,19.0
6.0,5.0
6.5,7.0
5.5,6.5
4.0,4.0
7.5,6.0
8.0,7.0
24.0,22.0
2.0,1.0
6.0,6.0
14.5,14.0
9.5,9.0
14.0,13.0
5.5,4.0
7.5,7.0
13.0,11.5
4.5,3.5
15.0,13.5
-3.0,-1.0
12.0,11.5
9.0,11.5
6.0,5.0
5.0,4.5
6.0,9.0
11.0,11.5
2.0,0.5
15.5,14.0
17.0,16.0
5.5,5.0
38.5,36.0
0.5,-0.5
8.5,7.5
4.0,3.0
2.0,2.5
4.0,2.5
6.5,7.0
10.5,10.0
6.0,4.5
9.0,6.5
7.5,6.0
5.0,3.5
9.5,10.0
2.5,0.5
3.0,1.5
24.5,24.0
3.5,2.0
9.0,7.5
21.5,20.0
12.5,11.5
2.0,1.0
