OZZANO DELL'EMILIA,VARIGNANA
5.0,5.0
3.0,3.0
3.5,3.5
5.0,5.0
6.5,6.5
12.0,11.5
5.0,5.0
3.5,3.5
5.0,5.0
4.0,3.5
3.5,3.0
5.0,5.0
4.5,3.5
4.5,4.0
6.0,5.5
3.5,3.0
6.5,7.0
4.0,4.0
11.5,11.0
8.0,8.0
3.5,3.0
5.0,4.5
6.0,6.0
7.0,7.0
5.0,5.0
5.0,4.5
6.0,6.0
4.5,4.5
3.5,4.5
3.5,3.5
4.5,4.5
4.0,4.0
4.0,3.5
8.5,8.5
6.0,6.5
6.0,6.0
7.5,7.5
4.5,4.5
5.0,5.5
3.5,2.5
5.0,4.5
4.5,4.0
2.5,2.5
4.0,4.5
7.0,7.0
6.0,6.0
7.5,7.5
6.0,6.5
6.5,7.0
5.0,4.5
4.5,4.5
5.5,5.0
4.5,4.0
5.0,4.0
5.5,5.5
3.0,2.0
5.0,4.5
3.5,4.0
5.0,5.5
4.5,4.5
5.5,6.0
4.5,5.0
3.5,3.0
5.0,4.5
5.5,5.0
5.0,5.0
8.0,7.5
4.5,4.5
5.0,4.5
6.5,6.5
4.5,4.0
4.0,3.5
18.0,18.0
4.0,4.0
16.5,17.0
3.0,2.5
5.0,4.0
4.0,3.5
12.0,11.5
5.5,5.5
4.0,3.5
4.0,3.5
3.5,3.5
3.0,2.5
4.5,5.0
3.5,3.0
25.0,25.0
5.0,5.5
5.5,5.0
5.0,5.0
7.5,7.0
7.0,6.5
10.5,10.0
6.0,5.5
4.5,4.0
4.0,3.5
6.0,5.5
5.0,4.5
4.5,4.5
5.5,5.5
28.0,27.5
6.5,7.0
5.5,5.0
4.5,4.0
3.0,2.5
4.5,4.0
5.0,4.5
9.0,9.0
4.0,3.5
6.5,6.0
7.5,7.0
4.5,5.0
5.5,5.0
6.0,5.5
4.5,4.5
15.5,15.5
4.5,4.0
4.0,4.0
2.5,1.5
4.5,4.5
9.5,9.5
4.5,4.0
7.0,8.5
3.5,3.5
6.0,8.5
5.0,4.5
4.5,4.0
4.0,3.5
5.5,6.0
6.5,7.0
4.0,4.0
4.0,3.5
5.5,5.0
8.0,8.0
5.0,5.0
4.0,3.5
