ORTE,ORVIETO
52.0,50.5
4.0,-1.0
6.0,4.5
-3.0,-2.5
-3.5,-3.5
2.5,-0.5
7.0,3.5
5.5,5.5
24.5,23.0
0.5,-3.0
7.5,5.0
26.0,24.0
1.0,-0.5
-0.5,-2.5
0.5,-1.5
2.5,5.5
7.0,9.5
-1.0,-2.0
18.0,19.5
1.5,-1.5
8.5,9.5
3.5,0.0
294.0,293.0
5.0,3.0
11.0,7.0
-1.5,-2.5
6.0,5.0
4.5,7.5
-0.5,-3.5
8.0,5.0
0.0,-2.5
5.0,3.0
15.5,21.5
14.0,12.5
71.0,65.5
-0.5,2.0
0.5,-2.0
23.0,22.5
6.5,7.0
25.5,21.5
4.0,1.0
0.0,-3.5
5.0,0.5
-1.0,-2.0
3.0,18.5
5.5,5.5
8.0,12.5
5.0,3.5
3.5,0.0
5.5,3.0
-2.0,-1.5
0.5,-1.5
2.0,-1.0
0.0,0.0
10.0,6.5
19.0,15.5
-3.0,-0.5
6.5,3.0
0.0,-1.5
8.5,6.0
6.5,4.0
6.0,2.0
22.5,20.5
1.5,0.5
-3.0,-1.0
3.5,2.0
30.5,27.5
10.0,7.5
-3.0,-2.0
3.0,-0.5
3.0,2.0
0.5,0.0
67.5,68.0
-2.0,-3.5
5.0,3.5
-4.5,-2.5
29.5,53.0
5.0,7.0
24.0,20.5
3.5,0.0
23.5,20.5
1.0,-0.5
43.5,46.5
9.5,7.5
2.5,-1.0
5.0,1.0
2.0,2.5
10.5,8.0
6.0,8.5
-4.0,-2.5
11.5,7.5
4.0,0.5
-1.5,-3.0
-1.5,-0.5
7.5,4.0
1.5,-1.0
9.0,6.5
87.5,85.5
24.5,20.5
12.5,10.0
10.5,8.5
5.5,9.5
-4.5,-2.5
7.5,3.5
5.0,2.0
5.5,11.0
25.5,21.0
10.5,9.5
1.0,-2.0
1.5,1.5
8.5,6.5
0.0,-2.0
21.5,18.0
28.5,27.5
16.5,13.0
24.5,19.5
9.5,5.5
7.5,4.0
-3.5,-2.0
25.5,23.0
9.5,16.5
6.0,4.5
-1.0,-2.5
-0.5,7.5
-3.0,-2.0
52.5,52.0
1.0,-2.0
26.5,24.0
-3.5,-2.0
51.0,50.0
-3.0,-2.5
3.0,2.5
29.0,25.5
-3.0,-3.0
12.0,9.5
-2.5,-3.0
30.5,26.5
37.5,34.5
