BOLOGNA SAN VITALE,BOLOGNA MAZZINI
3.0,2.5
2.5,1.5
5.0,4.0
2.0,1.0
2.5,2.0
2.5,1.5
2.0,1.0
2.5,1.5
3.0,2.5
3.0,2.0
4.0,3.0
3.0,2.0
3.0,2.5
5.0,4.0
3.5,2.5
3.5,3.0
7.0,6.0
2.5,1.5
3.5,3.0
3.0,1.5
2.0,1.5
2.0,1.0
3.0,2.0
2.0,1.5
6.0,5.0
3.0,2.5
3.0,2.0
2.5,1.5
2.5,1.5
4.0,3.0
6.5,5.5
2.0,1.0
4.0,3.0
4.0,3.0
33.0,32.5
3.5,3.0
9.5,8.5
2.5,1.0
3.5,2.0
2.5,1.5
2.5,1.5
3.0,2.0
2.5,1.5
3.5,2.5
3.0,2.0
2.5,1.5
1.5,0.5
3.0,1.5
2.0,1.0
2.0,1.0
2.5,1.5
4.0,3.5
2.5,1.5
5.0,3.5
4.0,2.5
2.5,1.5
2.5,2.0
2.5,1.5
2.5,1.5
4.5,3.5
2.5,1.5
2.0,1.0
2.5,1.5
2.5,1.5
13.0,12.0
2.5,1.5
7.0,6.5
6.0,5.0
2.0,1.0
6.0,5.0
2.0,1.0
4.0,3.0
2.0,1.0
2.0,1.5
2.0,1.0
12.0,11.0
2.5,1.5
3.0,2.0
3.5,2.0
1.0,0.0
4.0,3.0
6.5,5.5
15.5,14.5
1.5,1.0
2.0,1.5
19.0,17.5
3.5,2.0
3.0,2.5
9.0,7.5
6.0,5.0
2.0,1.0
4.5,3.5
2.5,1.5
1.5,0.5
1.5,0.5
2.0,1.0
2.5,1.5
2.5,1.5
1.0,1.0
2.5,1.5
1.5,1.0
2.0,1.0
2.0,0.5
2.0,1.5
2.5,1.0
3.0,2.5
2.0,1.0
9.5,11.5
3.0,1.5
1.5,1.0
2.0,1.5
4.5,3.0
3.0,2.5
1.5,0.5
5.0,3.5
7.5,7.0
3.0,1.5
2.0,1.0
3.0,2.0
2.5,1.5
1.5,0.5
2.0,1.0
2.5,1.5
2.0,1.0
3.0,1.5
2.0,1.0
3.5,2.0
2.0,1.0
2.0,1.0
26.0,25.0
2.5,1.5
2.5,2.0
2.5,1.5
2.5,1.5
2.5,1.5
2.5,1.5
2.5,1.5
2.0,1.5
5.5,4.5
3.5,2.5
3.0,2.0
4.5,3.5
9.5,9.0
5.0,4.0
1.5,1.0
3.0,2.5
6.0,5.0
2.0,1.0
2.0,1.5
