PESCARA,S.BENEDETTO DEL TRONTO
11.0,10.5
29.0,28.0
6.0,4.5
9.0,9.5
25.0,26.5
18.5,19.0
24.5,26.0
6.5,9.5
41.0,42.0
10.0,9.5
15.0,19.5
2.5,2.5
7.0,8.0
33.0,32.5
12.5,13.0
33.0,34.5
4.0,4.0
18.0,17.5
9.0,14.0
10.0,12.0
25.5,68.5
19.0,18.5
18.0,19.0
30.5,28.0
25.5,25.5
12.5,13.0
11.0,12.5
32.0,33.0
17.0,33.0
8.0,7.5
48.5,52.5
6.0,6.0
20.0,20.5
8.0,8.5
10.5,11.0
6.0,4.5
26.0,27.5
14.5,18.5
13.0,13.0
0.5,1.0
11.0,11.5
9.5,12.5
27.5,25.5
12.5,14.5
10.0,12.5
14.5,12.5
7.0,13.5
18.0,17.0
7.5,11.0
6.0,5.5
5.5,4.0
25.0,26.5
23.5,33.5
18.0,19.5
4.0,7.0
7.0,7.5
13.0,14.0
11.5,14.0
18.5,22.0
9.5,11.5
6.5,7.0
29.5,30.5
16.5,13.5
10.0,7.5
4.0,2.5
0.0,0.0
13.5,11.5
26.0,26.5
6.0,3.5
-1.0,1.0
19.5,20.0
20.5,23.5
2.0,3.0
24.5,24.5
0.0,1.0
9.5,8.5
12.5,14.0
21.0,19.0
4.0,7.5
21.5,23.5
62.5,62.0
22.0,24.0
19.5,17.5
18.5,19.0
5.0,6.0
32.0,32.5
11.0,11.5
9.0,12.0
22.0,21.5
6.5,7.5
57.5,58.5
8.5,12.0
5.0,8.5
12.5,11.5
4.0,5.5
9.0,6.5
14.0,15.5
15.0,30.5
16.5,18.0
32.5,31.5
6.5,6.0
4.5,4.0
19.0,18.0
19.5,19.5
130.0,128.0
11.5,12.0
26.0,23.5
21.5,20.5
29.5,29.5
6.0,4.0
23.5,24.5
21.0,22.5
2.5,8.5
11.0,11.0
5.5,7.5
24.5,25.5
23.5,27.0
12.5,12.0
15.0,14.5
15.0,16.5
28.0,36.0
32.0,30.0
13.0,16.0
11.0,14.0
47.0,48.5
11.5,9.5
7.5,11.5
9.0,12.0
9.0,8.0
12.0,13.5
30.0,39.5
18.5,20.0
24.5,24.0
11.0,14.5
11.0,9.5
