SESTO CALENDE,GALLARATE
0.5,-1.0
0.0,-0.5
0.5,-1.5
5.0,2.5
13.0,9.5
0.0,1.5
-1.0,-2.5
1.0,-1.5
2.5,2.0
0.0,-2.0
0.0,-1.5
-1.5,-1.0
0.0,0.0
6.0,2.5
4.5,2.5
-0.5,-2.5
4.5,2.0
-0.5,-3.0
-0.5,-1.0
0.0,-0.5
14.0,15.5
1.0,0.0
1.5,1.0
-0.5,0.0
0.0,-1.0
7.0,4.0
0.0,0.5
-0.5,-3.0
2.0,0.0
-1.0,-2.0
-0.5,-1.5
9.0,6.0
16.0,13.0
0.0,0.5
1.5,23.5
-1.0,2.0
5.0,3.0
-0.5,-3.0
-0.5,-2.0
0.0,-1.5
0.0,11.5
0.0,-2.0
4.0,3.0
-0.5,-1.0
7.0,4.0
22.5,21.5
0.0,30.0
0.0,-2.0
3.0,2.0
1.0,2.5
0.0,-0.5
0.0,-1.5
-0.5,-1.0
0.0,-0.5
-0.5,-4.0
-0.5,-1.5
-0.5,-0.5
-0.5,4.5
-1.0,1.0
5.0,1.5
-1.0,2.5
0.0,-2.0
2.5,2.0
0.0,-1.5
27.5,24.0
-0.5,-1.0
4.5,1.5
-1.0,-1.5
0.0,-0.5
1.0,-2.0
-1.0,-2.5
-0.5,1.5
-0.5,-1.0
0.5,-1.5
1.0,-1.0
-0.5,-2.5
-1.0,-1.5
1.5,0.0
-1.0,-1.5
0.0,-1.0
0.0,1.5
-0.5,-1.5
-1.5,-3.5
-1.5,-4.0
1.5,0.0
-0.5,1.5
1.5,-1.0
-0.5,3.0
0.0,-0.5
6.5,3.5
0.5,2.5
1.0,11.5
0.0,-3.0
-1.0,-2.5
1.5,-1.5
8.5,6.5
-0.5,-0.5
0.0,-2.5
-0.5,2.0
-0.5,0.5
-0.5,0.0
2.5,11.0
-1.0,2.5
0.5,-1.5
1.5,-0.5
0.0,-3.0
0.5,-1.0
0.5,-1.0
0.0,-0.5
0.5,1.5
1.0,-2.0
-1.5,0.0
0.0,-2.0
-0.5,2.5
-1.5,-3.5
0.5,-1.5
-1.0,-3.0
-0.5,-0.5
0.5,-2.0
-1.0,-4.5
2.5,0.0
6.0,3.0
-2.0,-5.0
13.0,9.0
10.0,6.0
2.0,5.5
-0.5,-3.5
-1.0,3.0
0.5,2.5
-1.0,0.0
-0.5,0.0
3.5,1.5
-1.0,-1.5
1.0,2.5
-1.5,-3.0
-0.5,3.5
-0.5,-2.5
0.0,2.5
-1.5,-3.5
1.5,57.5
0.0,0.5
-0.5,-2.5
-0.5,-1.5
0.0,-2.0
1.0,0.0
1.0,0.5
-1.0,-1.0
-1.5,-2.5
0.0,-1.5
0.0,-2.0
1.0,-2.0
-1.0,-4.0
