ROLO NOVI FABBRICO,CARPI
2.0,14.5
13.0,24.5
9.0,8.0
2.0,2.5
1.5,0.0
2.0,1.5
5.0,3.5
4.5,3.5
2.5,1.5
3.5,35.5
4.5,3.0
0.0,-2.0
-1.0,-1.0
-0.5,-1.5
-1.0,-1.0
16.5,19.0
0.0,-0.5
2.5,1.5
0.5,-0.5
4.0,2.5
3.0,2.0
2.0,1.0
0.5,0.5
1.0,0.5
1.5,1.5
8.0,7.0
-1.5,-2.0
2.5,2.0
1.0,1.0
-1.0,-1.5
4.5,2.5
2.5,0.5
0.5,0.0
-1.0,-0.5
3.0,2.0
-0.5,-1.5
1.0,-1.0
3.5,3.5
-1.5,-1.5
2.0,1.5
5.5,4.0
0.5,-1.0
4.0,4.5
1.5,1.0
1.5,0.0
1.0,0.0
1.5,0.5
5.5,4.0
-0.5,-1.5
7.5,7.0
11.5,18.0
1.5,1.0
1.5,0.5
9.0,6.5
23.5,22.5
16.0,20.5
18.0,23.5
0.5,-0.5
2.0,1.0
1.0,0.0
-0.5,-1.0
2.0,0.5
1.0,0.5
5.5,4.0
2.5,1.5
12.5,19.0
2.0,1.5
-0.5,-1.0
0.0,-2.0
1.5,-0.5
2.5,2.0
3.0,2.0
0.0,-0.5
1.5,0.0
7.0,6.0
0.5,-0.5
2.5,1.0
9.0,8.5
0.0,-1.5
-1.0,-1.5
2.5,1.0
1.5,1.5
1.0,0.5
5.0,3.0
-1.5,-2.0
-0.5,-1.5
0.0,-2.0
0.5,-0.5
12.5,10.5
3.5,2.0
-1.0,-2.0
2.0,1.5
13.5,11.5
-0.5,-1.0
28.0,27.5
1.0,0.0
4.0,3.5
4.0,8.5
5.5,4.5
2.0,1.5
6.5,6.5
1.0,-0.5
3.0,1.5
26.0,25.5
-0.5,-1.5
-1.0,-1.0
5.5,4.5
-0.5,-1.0
0.5,0.0
5.0,3.0
6.5,7.0
-1.5,-2.0
0.5,-0.5
1.5,0.0
2.5,3.5
5.5,3.5
5.0,26.5
4.0,4.0
8.0,7.0
0.5,0.0
15.5,36.5
7.5,6.0
7.5,5.5
6.0,8.0
9.5,7.5
85.0,85.0
2.0,0.5
8.5,6.5
0.5,-1.5
1.0,-0.5
2.0,2.0
4.0,2.5
2.0,1.0
3.0,2.5
2.5,0.5
0.5,-1.0
2.0,1.0
-0.5,-1.5
1.5,0.0
-1.0,-1.0
2.0,1.0
3.5,3.0
8.0,6.0
3.5,3.5
-1.0,-1.0
2.5,1.5
1.5,2.0
4.5,3.0
6.0,5.5
0.0,-0.5
9.0,7.5
6.0,5.0
0.0,-1.0
7.0,5.0
2.5,1.0
1.5,0.0
-1.0,-1.0
-0.5,-1.5
1.5,0.0
-1.5,-1.5
-1.0,-2.5
0.5,0.0
2.0,1.0
2.5,2.0
4.0,3.5
-0.5,-1.0
0.5,-0.5
1.5,0.5
24.0,25.5
14.0,12.5
8.0,5.5
4.5,3.0
1.0,0.0
28.0,26.0
66.5,88.0
2.0,0.5
4.5,3.5
1.5,0.0
10.0,9.0
-0.5,-0.5
3.0,2.0
1.5,0.0
1.0,-0.5
2.0,3.0
2.0,1.5
5.0,2.5
25.0,23.0
3.5,1.5
6.5,6.0
4.0,4.0
4.0,2.5
4.0,2.0
2.0,1.5
1.5,4.0
3.5,1.5
6.0,4.5
1.5,2.5
5.0,4.5
1.0,1.5
6.5,5.5
1.5,0.5
1.5,2.5
7.0,6.0
1.5,0.0
-0.5,-0.5
7.5,6.0
2.5,1.0
-1.5,-2.0
2.5,3.0
-1.0,-2.0
2.5,2.5
1.5,0.5
-1.0,-1.5
2.5,2.0
0.0,-2.0
20.5,24.5
3.5,2.5
9.0,7.0
20.5,23.0
0.5,-0.5
2.5,1.0
4.5,3.0
1.0,0.0
6.5,4.0
4.5,2.5
3.0,1.5
9.5,9.0
4.5,3.0
2.0,1.5
0.0,-1.5
-0.5,-2.0
1.5,0.5
0.5,0.0
1.0,0.5
47.0,45.5
-0.5,-1.0
-0.5,-1.5
2.5,3.0
4.5,3.0
1.5,1.0
0.5,1.5
4.0,3.5
14.5,13.5
6.5,4.5
2.0,2.0
4.5,4.5
2.5,4.5
6.5,4.5
5.5,3.5
-0.5,-0.5
2.0,0.5
7.0,5.5
-0.5,-1.0
9.0,8.0
11.0,9.5
2.5,1.5
7.0,5.5
-1.0,-2.0
1.0,-0.5
7.0,5.5
55.0,53.5
-1.5,-2.5
-0.5,-0.5
-0.5,-1.5
16.0,14.0
-1.5,-2.5
0.5,-0.5
10.5,9.5
1.0,-0.5
4.5,3.0
8.0,6.5
-0.5,-1.5
1.5,1.0
6.0,4.5
0.5,0.0
1.5,-1.0
5.5,4.5
-0.5,-1.0
0.5,-0.5
8.0,5.5
2.0,1.5
1.0,0.0
1.5,1.5
0.5,1.0
0.5,1.0
0.0,0.0
1.5,1.5
5.0,4.5
-0.5,-1.0
5.5,4.5
8.5,7.0
3.0,1.0
89.5,87.5
1.0,-1.0
0.0,-1.0
7.0,6.0
6.0,4.5
18.0,16.0
-0.5,-2.0
17.0,21.0
0.0,-1.0
0.5,0.0
0.5,-0.5
1.0,0.0
1.5,2.5
1.0,0.0
4.0,2.5
3.5,2.5
-1.5,-2.0
4.5,5.0
2.0,0.5
5.5,4.5
2.0,1.0
1.0,0.5
6.5,6.5
0.5,2.0
5.5,5.0
2.5,1.5
4.0,2.5
3.5,3.0
2.0,2.5
2.5,2.5
2.5,2.5
-1.0,-2.0
1.0,0.0
2.5,4.0
2.0,0.5
0.5,-1.5
-0.5,-2.0
4.5,4.0
1.0,2.0
-1.5,-1.5
22.5,21.5
5.0,3.5
-1.0,-2.0
6.0,7.5
0.5,0.0
2.0,0.5
7.5,6.5
-1.0,-2.0
-0.5,-1.5
3.0,1.5
0.5,-1.0
2.0,1.0
6.0,4.5
0.5,0.0
0.5,0.0
-0.5,-1.0
-0.5,-0.5
2.5,2.5
-1.5,-2.5
0.0,-1.0
-1.0,-0.5
5.5,3.0
6.5,4.5
6.5,5.0
5.0,5.0
2.5,1.5
2.0,2.0
-0.5,-1.5
0.5,0.0
2.0,-0.5
3.5,1.5
3.0,3.0
0.5,-0.5
1.5,-0.5
-0.5,-2.5
2.0,1.0
1.5,0.5
2.0,1.0
5.0,3.5
1.0,-1.0
-1.0,-2.0
1.0,3.0
5.5,3.5
5.5,4.5
3.0,3.0
6.5,6.5
1.5,1.5
0.0,-1.5
4.0,2.5
2.5,3.0
2.5,3.5
-1.0,-1.5
0.5,0.5
0.5,-1.5
1.5,2.5
3.5,3.0
3.0,3.0
3.5,4.0
1.0,2.0
4.5,3.0
3.5,2.0
5.5,6.5
2.0,2.5
11.0,9.0
5.0,3.5
0.5,0.0
2.0,0.5
1.0,0.0
1.5,0.0
4.5,3.0
7.5,5.0
8.0,7.0
0.5,-1.5
5.0,4.5
-0.5,-2.0
0.5,-1.0
2.5,3.0
2.0,1.5
1.5,9.0
6.5,4.5
1.5,1.5
1.5,0.5
0.5,-1.5
-1.0,-1.0
0.0,0.0
1.5,0.0
2.0,1.0
7.0,14.0
6.0,4.5
2.0,1.0
-0.5,-2.0
0.5,-0.5
4.5,4.0
3.5,2.0
4.0,2.5
0.5,-1.0
3.5,1.5
3.5,3.5
9.0,7.0
-1.5,-3.0
0.0,0.0
0.0,-1.0
9.0,6.5
4.0,2.5
7.5,6.5
3.0,4.5
7.5,8.5
1.5,1.0
5.5,3.5
5.0,3.5
2.0,0.5
2.5,0.5
5.5,4.5
0.5,-1.0
1.5,0.5
1.5,0.5
3.5,2.5
6.0,4.0
1.5,0.0
0.0,-0.5
2.5,10.0
0.0,-0.5
-1.0,-1.5
8.5,6.5
0.5,-0.5
8.5,7.5
7.5,7.5
4.0,3.0
5.0,3.0
6.0,5.0
0.5,-0.5
0.5,-0.5
2.0,1.5
-1.0,-1.5
1.0,0.0
1.5,0.5
1.0,1.0
1.0,0.0
1.0,0.5
1.5,0.5
4.5,2.5
0.0,-1.5
2.5,1.0
0.0,-1.0
6.0,8.5
10.0,8.0
11.5,11.5
3.5,3.0
4.5,3.5
4.0,3.0
1.0,0.5
19.5,17.5
10.0,8.5
1.0,-0.5
2.0,0.5
0.0,-0.5
3.0,2.0
6.0,7.0
4.5,5.0
2.0,2.5
2.5,3.0
5.5,5.0
2.5,1.0
1.5,2.5
0.5,-0.5
5.0,4.5
9.5,8.5
21.0,24.0
5.0,6.5
-1.0,-0.5
0.0,-1.0
5.0,4.0
4.5,3.5
-0.5,-1.0
-1.0,-1.5
0.0,-1.0
0.0,-1.5
1.5,0.0
2.0,2.0
2.5,1.0
4.0,3.5
2.5,1.5
2.5,2.0
1.5,0.0
6.0,5.0
1.0,0.0
1.0,0.5
1.5,2.5
0.0,-1.5
1.5,0.0
4.5,4.0
0.0,-1.5
3.5,2.5
3.5,2.5
1.5,2.0
1.5,0.5
2.0,-0.5
3.0,2.0
-0.5,-0.5
2.0,3.0
1.0,1.0
19.5,18.0
