TERMOLI,FOGGIA
1.5,-2.5
15.0,14.5
47.5,47.0
7.5,79.0
5.0,6.5
29.5,36.0
7.5,5.5
15.5,23.5
6.0,2.5
1.5,-0.5
3.5,6.0
-0.5,0.5
24.0,34.0
-0.5,5.0
11.5,7.0
9.0,15.5
-2.0,-3.5
9.0,4.5
6.5,4.0
11.0,15.5
8.0,4.0
22.5,36.0
0.5,15.0
20.5,19.5
-0.5,3.5
2.5,3.5
-1.5,2.0
1.5,3.5
106.5,106.5
12.0,23.5
9.5,13.0
4.5,9.5
0.0,0.5
19.0,22.5
-0.5,3.0
0.5,-1.5
11.0,12.5
9.0,5.5
1.0,3.0
27.0,29.5
9.0,8.0
21.5,28.5
17.5,14.0
23.0,33.0
36.0,32.0
27.5,30.0
42.5,36.5
46.5,60.0
-1.5,2.0
8.5,7.0
6.5,4.0
9.5,11.0
20.0,21.5
26.0,23.0
30.0,30.0
2.0,2.0
10.0,6.0
1.0,-0.5
66.5,69.5
22.0,31.0
-2.5,-4.0
7.0,3.0
-1.0,-2.0
0.5,-3.5
-0.5,-4.0
7.5,3.0
8.0,18.5
38.5,46.5
1.5,0.0
98.5,104.5
-1.0,22.0
3.5,0.5
61.0,60.5
10.0,14.5
26.5,25.5
19.0,27.5
46.5,58.0
-1.0,1.0
58.0,57.0
5.5,12.0
19.0,18.5
55.5,54.0
15.5,17.5
34.5,35.5
36.0,38.0
8.5,8.0
4.0,3.5
18.0,22.0
12.5,10.0
28.5,30.0
-2.5,3.5
4.0,7.0
18.5,15.5
26.0,25.0
18.0,14.5
21.5,21.0
-3.0,3.0
19.5,19.0
30.5,29.0
12.5,16.5
22.0,25.0
11.0,22.5
20.5,20.5
0.0,5.0
28.0,33.5
17.0,21.0
6.5,37.5
21.0,18.0
5.0,4.5
15.5,13.0
8.0,6.5
59.0,62.5
28.5,28.0
-1.0,9.5
27.0,26.5
1.0,-3.0
70.5,73.5
35.0,41.0
17.0,21.0
8.0,5.5
0.0,-2.0
11.5,12.0
31.5,35.0
42.5,44.5
20.5,20.5
1.5,-1.0
3.0,3.5
