VERNIO MONTEPIANO CANTAGALLO,VAIANO
-1.5,-1.5
1.5,0.5
-1.5,-2.0
1.0,-1.0
-1.0,-1.5
3.0,1.5
-2.5,-2.5
0.5,-1.5
4.5,3.0
-0.5,-1.5
0.5,-0.5
-1.5,-1.5
4.5,3.5
2.0,1.0
-1.5,-2.0
-1.5,-2.0
-0.5,-1.5
2.5,1.0
-1.0,-2.0
2.0,0.0
-1.0,-2.0
4.0,2.0
14.5,13.0
1.0,-1.0
-1.0,-1.5
10.0,9.5
0.5,-1.0
2.0,0.0
4.5,3.0
1.0,0.0
5.5,4.0
-0.5,0.5
0.0,-1.5
-1.5,-1.5
2.0,1.0
1.0,-1.0
-0.5,-1.5
4.0,1.5
-0.5,-1.0
1.0,-1.0
6.0,4.5
0.5,-1.0
0.5,-1.5
5.5,4.0
3.0,2.0
2.0,0.5
-2.0,-2.0
2.5,1.5
-1.5,-1.5
-0.5,-1.5
2.5,1.0
1.5,-0.5
1.0,-0.5
0.0,-1.5
1.0,-0.5
5.5,4.0
-1.0,-0.5
0.0,-1.5
-0.5,-1.5
1.5,1.0
-0.5,-1.5
1.5,0.0
-1.0,-2.0
5.0,3.5
0.5,-1.5
0.0,-2.0
-1.5,-1.5
1.0,0.5
-1.0,-1.0
1.0,-0.5
-1.5,-2.0
5.0,4.0
-0.5,-1.0
0.0,-1.5
1.5,-0.5
-0.5,-1.5
-0.5,-2.0
-0.5,-0.5
5.0,4.0
0.0,-0.5
2.0,2.0
-1.5,-2.5
0.5,-1.5
-1.0,-2.0
0.5,-1.0
9.5,7.5
3.5,1.5
-1.5,-1.5
6.5,4.5
-1.0,-0.5
3.0,1.5
1.0,0.5
0.5,0.0
1.0,-1.0
-1.5,-1.5
-1.0,-1.0
-2.0,-2.0
1.0,-0.5
-1.5,-1.5
1.5,0.0
-1.5,-1.5
7.0,6.0
-0.5,-1.5
1.0,-1.0
-0.5,-2.0
3.0,1.5
0.0,-1.5
-1.0,-2.0
2.5,0.5
-0.5,-1.5
4.5,0.5
-0.5,-1.5
3.5,1.5
-1.0,-1.5
-0.5,-2.0
3.0,1.5
1.0,-1.0
-0.5,-1.0
1.5,0.5
-1.5,-2.0
0.5,-1.0
-2.0,-1.0
0.5,-1.5
86.5,85.0
4.0,3.0
-0.5,-1.5
0.0,-1.5
0.5,-0.5
-0.5,-1.5
2.0,0.5
2.0,0.5
2.5,1.0
1.0,0.0
1.5,-0.5
4.0,2.5
2.5,1.0
-1.5,-1.5
3.0,1.5
-1.0,-0.5
-0.5,-1.5
-1.0,-0.5
10.5,10.0
0.5,-1.0
1.5,0.0
9.0,7.5
2.5,0.5
-1.0,-2.0
0.0,-1.0
-2.0,-2.0
7.5,6.5
-0.5,-1.5
41.0,62.5
3.0,1.0
1.0,-1.0
0.5,-1.0
0.0,-1.0
2.5,1.0
0.0,-1.5
-1.0,-1.0
5.5,4.0
3.0,1.0
2.5,0.5
-1.5,-2.0
1.5,0.0
