CERVIGNANO A.G.,LATISANA LIGNANO B.
1.5,4.5
2.0,4.0
2.5,6.0
4.0,10.5
1.0,5.0
5.5,8.5
3.5,8.5
3.5,6.0
6.0,8.5
3.0,6.0
1.0,4.0
6.0,9.0
5.5,8.5
3.5,8.0
4.5,7.5
5.5,8.5
1.0,4.0
1.5,7.0
3.0,6.5
1.5,4.0
3.0,6.5
2.5,5.0
7.5,9.0
12.0,14.0
7.5,10.5
6.5,8.5
0.5,3.5
4.5,6.5
22.5,25.0
3.0,6.0
4.0,6.5
8.5,15.5
11.5,15.0
6.0,7.5
19.5,22.0
38.5,42.5
5.0,9.0
3.5,6.5
50.0,52.5
2.0,6.5
3.5,7.0
2.0,4.0
6.0,9.5
3.5,6.5
6.0,9.0
3.0,4.5
2.5,6.5
0.5,3.0
4.0,6.5
2.0,4.5
4.5,8.5
3.0,6.0
4.5,7.5
4.0,6.5
1.0,4.5
5.0,7.5
4.5,7.5
4.5,8.0
5.0,9.0
2.0,4.5
0.5,5.0
2.0,5.5
3.0,5.5
1.0,3.0
0.5,5.5
5.0,10.5
3.0,6.5
2.5,5.5
7.0,9.5
3.0,5.5
26.0,28.5
4.5,8.5
1.0,2.5
3.5,7.5
1.0,3.5
2.0,6.5
0.0,1.5
5.0,11.5
5.0,9.0
3.0,7.0
2.5,5.5
4.5,7.0
3.0,7.0
0.0,2.5
1.5,3.5
5.5,9.0
3.5,6.0
5.0,9.0
3.5,10.0
3.5,8.5
3.5,6.5
37.0,42.5
2.5,5.0
5.0,9.5
2.5,6.0
1.5,3.5
5.5,9.5
4.5,8.0
1.5,4.0
7.5,10.5
4.0,6.5
5.5,8.5
3.0,9.5
1.0,3.5
6.0,9.0
2.5,5.5
1.5,4.0
80.0,84.5
2.0,3.5
3.5,8.0
4.0,8.0
5.0,10.0
25.5,29.0
6.0,10.0
2.0,4.0
12.0,15.5
1.5,4.5
2.0,25.0
2.0,4.5
4.5,12.5
1.0,3.5
3.5,6.0
3.0,6.5
13.5,16.0
4.0,29.5
1.0,3.5
3.0,5.5
6.5,10.0
3.5,7.0
0.0,1.5
1.5,20.0
3.0,5.5
2.5,5.0
1.0,4.0
3.5,5.0
6.5,12.0
8.0,12.5
1.0,4.0
1.0,5.0
0.5,3.5
5.5,11.0
13.5,16.0
1.5,3.5
3.0,5.0
4.5,7.5
6.0,8.5
8.0,10.0
