MILANO PORTA GARIBALDI,TORINO PORTA SUSA
2.5,1.0
0.0,0.0
-2.0,-1.0
0.5,0.0
1.0,-1.5
3.0,-1.0
-1.0,-1.0
-4.5,-2.0
5.0,3.5
-1.0,-2.5
1.5,-2.0
-1.0,-2.0
0.0,-3.0
15.5,14.0
2.0,2.5
-1.5,1.5
6.5,3.0
2.5,-1.5
2.5,-0.5
5.0,4.0
-1.0,-2.5
8.5,9.5
2.0,2.0
0.0,2.5
7.0,8.5
27.5,25.0
2.0,0.5
1.5,6.5
0.0,-1.5
-4.0,-2.0
0.5,-2.5
4.0,4.0
0.5,-4.0
-5.0,-2.0
-1.0,-0.5
11.5,9.5
1.0,11.5
0.5,-1.5
-0.5,-3.0
6.5,3.0
2.5,-1.0
6.0,5.5
18.0,26.5
1.0,-1.0
6.0,4.5
1.0,0.5
-4.0,-3.5
63.0,62.0
-0.5,0.0
26.5,25.0
22.0,19.0
2.0,2.5
0.5,-2.5
23.5,21.5
2.0,9.0
-0.5,-1.0
9.5,9.5
0.5,-1.0
5.0,9.0
-3.5,2.5
5.0,2.5
38.5,40.0
-2.0,-0.5
7.0,2.5
16.5,14.0
-1.5,1.0
-0.5,-2.5
8.0,9.5
9.0,5.0
3.5,0.5
34.0,41.5
2.5,0.0
-0.5,3.5
1.5,2.0
6.5,3.5
2.0,3.0
16.0,12.5
1.5,0.5
-2.0,-3.0
0.0,3.0
-2.5,-0.5
5.5,2.0
82.0,80.5
9.0,6.5
17.5,19.5
1.5,1.5
25.0,23.0
1.0,0.5
10.0,7.5
21.0,19.5
-0.5,-3.5
2.0,-0.5
1.0,-0.5
8.0,7.5
2.0,4.0
5.0,2.5
5.5,2.5
-0.5,6.5
17.0,14.0
20.0,18.5
22.0,22.5
-1.0,-3.0
-1.0,51.5
3.5,0.5
6.5,2.5
2.0,1.5
1.0,-0.5
6.5,7.5
2.0,0.5
0.5,-2.0
38.0,36.0
1.5,-1.5
4.5,2.0
0.0,-1.0
8.0,10.0
2.5,-0.5
-0.5,-2.0
3.5,13.0
-1.5,-2.5
29.5,36.5
2.5,-1.0
2.0,3.5
-6.5,-1.5
3.5,4.5
88.0,93.5
8.0,40.5
20.5,17.0
-3.0,-0.5
84.0,83.5
-0.5,0.0
-1.0,-1.0
-0.5,0.0
1.5,-1.0
0.0,0.5
-0.5,21.5
16.5,14.0
