AREZZO,CHIUSI C.T.
1.5,-0.5
26.0,23.0
13.0,9.5
-4.5,-3.5
8.5,12.5
9.0,4.5
0.5,1.5
52.0,53.5
14.5,10.5
23.5,22.5
36.0,32.5
9.0,6.0
34.0,44.0
10.0,4.5
22.5,24.5
6.0,6.0
17.5,14.0
20.5,17.5
14.0,9.5
27.5,25.0
7.5,4.0
15.0,16.5
27.5,27.0
-4.0,29.5
3.0,-0.5
12.5,9.0
8.0,22.5
13.0,10.0
15.5,13.5
7.5,18.0
1.5,-2.5
41.5,37.0
15.0,33.5
12.5,8.0
6.5,2.0
3.5,0.5
5.5,24.0
-1.5,-3.5
-1.5,-1.0
24.0,23.0
26.0,22.5
5.5,2.0
9.0,6.0
43.5,38.0
16.5,13.5
17.0,20.5
6.0,2.5
8.5,20.5
6.5,1.5
28.0,26.5
29.5,27.0
8.5,8.5
15.0,11.0
15.0,11.0
12.5,37.5
22.0,18.5
-1.0,-2.0
23.0,33.5
14.0,25.0
-2.0,-4.0
29.0,28.0
-0.5,-3.5
8.5,4.0
15.5,15.5
19.5,19.0
8.0,19.5
12.0,7.5
11.5,7.0
27.5,23.0
4.5,0.0
4.0,5.0
49.5,45.5
2.5,5.5
-3.0,-3.5
28.0,23.5
237.5,245.5
-2.0,-4.5
6.0,39.5
10.5,9.0
14.5,9.5
8.0,36.0
4.5,3.5
6.5,5.0
1.5,-2.5
30.5,28.0
1.5,2.5
16.5,16.0
18.0,14.5
4.5,-1.0
16.5,33.5
7.0,5.0
3.0,-1.5
-0.5,-4.5
-1.0,-1.0
11.0,8.0
-1.0,-1.5
2.0,0.0
3.5,5.5
13.0,9.0
-0.5,-3.5
17370.0,2.5
31.5,29.0
50.5,46.5
6.5,2.5
11.5,10.5
79.5,79.0
2.5,0.0
7.5,3.0
22.0,17.5
60.5,55.5
8.0,12.0
3.0,2.5
13.5,21.0
-6.0,-3.5
22.0,18.5
22.5,36.0
3.5,-0.5
14.0,13.0
22.5,18.0
12.0,8.5
2.0,3.0
-1.0,-4.5
8.5,6.5
8.0,6.5
6.0,14.0
27.0,27.5
9.5,7.0
6.0,2.5
31.5,29.5
-3.0,6.5
14.0,13.0
-1.5,1.5
6.0,4.5
-2.0,-4.0
20.5,16.0
7.5,19.0
12.5,10.5
15.0,25.0
24.5,19.0
52.0,49.0
