SUZZARA,ROMANORE
12.0,13.5
1.0,2.0
24.5,26.0
1.5,2.5
-2.0,1.0
0.5,2.0
-0.5,1.5
3.0,4.5
2.0,3.0
2.5,4.0
10.5,11.5
4.0,6.0
3.0,4.0
-1.0,2.0
22.5,23.5
-2.0,3.0
2.0,3.5
0.5,1.5
0.5,1.5
0.5,1.0
-1.0,1.0
3.5,7.5
0.0,1.0
3.5,5.5
3.0,4.5
-0.5,2.0
0.5,1.5
1.0,2.0
1.5,3.5
0.5,2.0
-1.0,2.0
-2.0,1.0
0.0,1.0
1.5,3.0
3.5,5.0
1.5,3.0
0.0,1.5
0.5,1.5
1.5,2.5
1.5,4.5
2.0,3.5
-2.5,2.0
0.5,2.0
2.5,4.0
3.0,5.0
2.5,5.5
-2.0,2.0
0.5,2.0
4.0,6.5
1.5,3.5
4.0,6.5
1.5,1.5
2.5,4.5
0.0,0.5
0.5,2.0
-0.5,0.5
-1.5,3.0
3.0,3.5
2.0,3.5
3.5,5.0
4.5,5.5
11.0,8.0
2.5,5.0
2.5,3.5
2.0,3.5
1.5,3.0
0.0,1.0
1.5,2.5
6.0,7.0
3.5,4.5
3.5,5.5
-2.0,-0.5
0.5,2.0
2.5,4.5
1.5,3.0
5.5,7.0
-2.5,0.5
2.0,3.5
8.0,9.5
3.5,5.0
2.5,5.0
3.0,4.0
2.0,3.5
1.5,3.0
0.5,2.0
-0.5,1.5
0.0,1.0
0.5,2.0
2.5,4.5
9.0,12.0
5.0,8.5
6.5,10.0
0.5,1.0
1.5,10.5
1.0,2.0
23.0,25.0
4.0,6.5
-0.5,2.5
1.0,3.0
20.0,22.0
2.0,3.0
1.5,4.0
1.0,2.5
9.5,11.5
3.0,6.5
18.0,13.5
3.0,4.0
2.0,8.5
13.0,15.5
2.0,4.5
0.5,3.5
1.0,1.5
0.0,2.0
-0.5,3.0
2.5,4.5
7.0,8.0
4.0,5.5
1.5,7.0
-3.0,1.0
1.5,3.0
5.0,6.0
2.0,3.5
0.5,2.5
-0.5,2.5
1.5,3.5
5.5,7.0
4.0,5.0
1.5,2.5
-1.0,1.5
0.5,2.5
6.5,8.5
44.0,45.5
0.0,3.5
1.0,4.5
0.0,1.0
2.0,3.5
1.5,2.5
-2.5,1.0
3.5,4.5
6.5,7.5
2.0,3.0
8.5,9.5
3.0,5.0
3.0,4.0
3.0,5.0
1.5,2.5
10.0,7.0
21.5,23.0
8.5,10.0
7.5,8.5
9.0,11.0
5.0,7.5
0.5,1.5
1.0,3.0
1.5,3.0
0.5,2.0
6.5,8.0
2.0,4.0
1.5,3.5
8.0,6.0
0.5,2.0
-0.5,1.5
3.0,5.0
1.5,3.0
1.5,4.0
3.0,2.0
2.5,5.5
0.0,1.0
1.5,4.0
1.0,2.5
4.0,4.0
3.5,5.5
3.5,6.0
1.5,6.0
4.5,5.5
-1.0,0.5
1.0,2.5
1.0,2.5
2.0,3.0
0.5,2.5
3.0,1.5
1.5,3.0
6.5,8.0
2.0,3.0
10.5,11.0
-0.5,3.5
7.5,9.0
1.0,2.5
1.5,3.5
1.0,3.0
-1.5,1.0
11.5,13.0
2.0,4.0
3.0,5.0
1.0,2.5
-1.5,0.5
1.0,2.5
1.5,2.5
1.0,2.5
1.5,4.0
3.5,2.5
4.0,5.5
6.5,7.5
6.0,7.0
26.5,28.0
-1.5,1.0
3.0,5.5
1.5,3.5
3.5,4.5
1.0,4.0
1.5,3.0
3.5,5.5
1.5,3.5
3.5,4.0
7.5,4.5
6.0,7.5
1.5,2.5
4.5,6.5
2.5,5.0
3.5,4.0
1.5,3.5
4.0,5.5
1.0,2.0
25.5,21.5
1.0,3.0
1.0,4.0
2.0,4.0
6.5,7.0
3.5,4.5
-0.5,3.5
-1.0,1.0
5.0,6.5
4.5,6.0
4.5,6.0
5.0,6.5
-1.5,0.0
1.0,3.5
6.0,7.5
7.0,9.0
7.5,9.5
-1.5,0.5
2.5,4.5
1.0,1.5
2.5,4.0
1.0,2.5
-2.0,1.5
4.0,5.5
10.0,6.5
1.0,2.5
3.0,5.5
5.0,6.0
3.0,5.0
0.5,1.0
2.0,3.5
7.5,21.5
4.0,11.0
22.5,24.0
1.5,4.0
3.5,4.5
1.0,3.5
0.5,3.5
2.5,3.5
2.5,4.5
0.0,4.0
7.0,5.0
3.0,4.5
8.5,10.0
3.0,4.0
9.0,14.0
-1.0,2.5
2.0,4.5
1.5,2.5
2.5,5.5
3.5,5.5
2.5,5.0
2.0,3.0
1.5,4.5
4.5,5.5
1.5,3.5
1.0,3.0
1.5,3.5
4.0,6.0
4.0,7.0
1.5,3.0
5.5,8.0
11.0,12.5
5.5,13.5
-1.5,1.5
2.5,4.5
1.0,2.0
3.5,4.5
5.5,7.5
-3.0,2.0
0.5,2.0
4.0,5.0
5.5,7.0
-2.0,0.5
1.0,3.0
7.5,9.5
8.0,9.5
7.0,7.0
2.5,9.0
16.0,17.5
1.0,2.5
3.0,4.0
3.5,1.5
1.5,3.5
49.0,45.5
0.5,2.0
2.0,3.0
2.5,4.0
1.5,2.5
-1.5,1.5
2.5,4.0
3.0,12.0
10.0,10.5
5.0,10.0
1.0,2.5
9.0,11.0
1.0,2.5
4.0,5.0
-2.5,0.0
2.5,3.0
-0.5,3.5
0.0,1.0
1.0,3.0
3.5,6.0
1.5,3.5
-1.5,2.0
3.0,6.5
1.0,2.5
2.0,4.0
-0.5,1.0
4.0,6.5
4.5,6.0
1.5,3.0
7.5,8.5
-1.5,2.5
1.0,3.5
4.5,5.5
4.0,5.0
6.0,7.5
1.5,4.0
4.0,5.5
0.5,7.5
3.5,4.5
7.5,9.5
17.5,19.0
0.5,2.0
3.5,5.0
1.5,3.0
3.5,5.0
1.5,3.5
-0.5,1.5
1.0,2.0
4.5,5.5
3.0,5.5
4.0,5.5
0.0,3.5
1.5,7.5
7.0,8.5
5.0,7.5
5.5,7.0
-0.5,1.5
1.5,3.5
3.5,4.5
4.5,5.5
4.5,6.0
-1.0,2.5
4.0,5.0
2.0,3.5
1.5,2.5
3.5,5.0
-0.5,3.0
1.5,2.5
1.5,2.5
2.5,5.0
1.5,3.5
3.5,3.5
2.0,3.5
1.0,2.5
1.0,3.0
6.5,7.5
8.0,5.5
0.0,1.0
