MODENA,BOLOGNA C.LE
-2.5,3.5
-1.5,-3.5
-1.5,-2.5
7.5,5.5
0.0,-1.0
-1.5,-1.5
-1.0,-1.5
-2.0,-1.0
-1.5,-1.5
6.0,3.5
-4.0,-7.0
1.5,5.0
3.5,5.5
-1.0,-2.0
4.0,10.5
0.0,7.0
-1.5,-1.5
0.0,3.5
6.0,7.0
-1.0,-0.5
14.0,12.5
-1.5,-5.5
2.5,7.5
4.5,25.0
4.0,1.5
-1.5,-1.0
0.0,-2.0
7.5,9.5
-3.0,4.5
-3.0,-5.0
1.0,-0.5
7.0,29.5
2.5,-0.5
1.5,-3.0
15.0,15.0
-3.5,-2.5
3.0,0.5
-2.0,-4.5
-2.0,-3.5
-2.5,-6.0
-1.0,4.0
-2.5,6.0
-3.0,-2.0
11.5,11.5
-0.5,-1.0
1.5,0.5
13.0,12.5
-1.5,-2.5
-3.0,-5.0
3.5,0.0
2.0,-0.5
8.5,12.5
-2.0,6.0
28.5,26.5
1.5,0.0
-1.0,-2.0
-2.5,-3.5
3.5,-1.5
-2.0,0.0
0.5,1.5
1.0,-4.0
59.5,61.5
0.5,7.5
23.0,21.0
-3.5,-4.0
-2.5,-5.0
7.0,3.5
-2.5,-0.5
-2.5,-4.0
1.5,-3.0
-3.0,-0.5
-1.0,1.0
3.0,-1.5
0.5,4.0
36.5,36.0
-2.0,2.0
-2.0,1.5
16.0,11.5
2.0,-3.0
10.5,12.5
8.0,35.5
-3.0,-3.0
-3.0,1.5
-2.5,1.0
-1.0,1.0
9.0,7.0
-2.0,-4.0
1.0,6.5
-3.0,-3.5
1.0,2.5
-1.5,-3.5
-1.5,0.5
6.5,7.5
-1.5,2.0
31.5,27.5
-2.5,-0.5
-3.5,-2.5
-1.5,0.5
-2.5,-4.0
3.0,9.0
6.0,5.0
4.0,5.5
-1.0,1.5
0.0,12.5
1.0,1.5
7.5,3.5
-3.5,-5.5
4.0,4.0
6.0,8.0
-1.5,0.5
2.5,9.0
-2.0,-3.5
9.5,7.5
-1.0,0.0
-1.5,1.5
-0.5,3.0
10.0,9.0
-2.5,-3.5
0.5,-1.0
1.5,2.0
63.5,58.5
1.0,3.0
1.5,5.0
8.5,8.5
-3.0,-5.5
7.5,12.0
-2.5,-1.5
-2.5,-1.5
0.5,-1.5
-3.0,-3.5
1.0,5.5
-1.0,0.0
3.5,3.5
19.0,15.0
22.5,18.5
