PISTOIA,MONTECATINI TERME
0.0,4.5
1.0,1.0
1.5,0.5
0.0,5.5
6.0,6.5
-2.0,9.0
0.5,1.5
0.5,1.0
2.0,2.0
0.5,1.0
2.0,6.0
2.5,4.5
4.0,4.5
1.0,1.0
2.0,2.5
-0.5,0.5
2.5,14.5
0.0,2.0
1.5,5.5
-1.0,-0.5
1.0,1.5
1.5,0.5
0.5,7.5
1.5,4.5
0.5,5.0
10.5,9.0
29.0,35.0
0.0,7.5
3.0,2.5
0.5,1.5
5.5,6.0
3.5,2.0
1.0,3.0
-1.0,1.0
-1.0,14.5
4.0,3.0
3.5,3.0
4.0,3.5
-1.0,3.5
0.0,6.5
0.0,6.0
0.0,12.5
-0.5,2.5
3.5,5.0
1.5,3.5
1.0,4.0
0.5,6.5
5.5,6.5
0.0,3.5
3.0,4.5
6.5,5.5
0.0,4.5
1.0,6.0
1.0,0.5
0.0,3.5
0.0,-1.0
-1.5,-0.5
2.0,0.5
2.5,5.0
5.0,5.0
0.0,2.0
2.0,5.0
0.0,1.0
0.0,7.0
-1.5,2.5
1.0,2.0
0.5,4.0
-0.5,3.0
0.0,2.5
-1.0,7.0
0.5,-1.5
1.0,8.5
0.0,0.0
0.5,3.0
1.0,4.5
0.5,4.5
-1.0,5.5
2.0,3.0
0.5,7.5
2.0,2.5
-1.0,6.0
15.5,17.5
-1.0,-1.0
5.5,7.5
0.0,8.0
1.5,5.5
1.0,-0.5
1.0,3.0
3.0,7.0
-1.5,1.0
0.5,11.5
-0.5,5.5
2.5,4.0
10.0,8.5
28.5,27.0
2.0,7.5
0.5,3.0
-1.5,2.5
2.0,7.0
1.0,2.0
-1.0,2.5
0.0,3.0
7.5,8.5
-1.0,2.0
1.5,7.5
-1.0,0.0
-1.0,7.0
1.5,3.0
-2.5,2.5
0.5,5.5
1.5,2.0
8.5,8.5
3.5,4.5
2.0,0.0
1.0,5.5
0.5,2.0
0.0,1.5
-1.0,2.5
3.0,5.0
7.0,6.5
-2.0,1.5
3.5,4.5
