CASALMAGGIORE,S. GIOVANNI IN CROCE
20.0,19.5
1.0,0.0
10.0,8.5
6.5,6.0
12.5,11.5
7.5,10.5
8.5,7.0
7.5,6.5
1.5,0.5
10.5,10.5
2.5,3.5
17.5,16.0
15.0,14.0
0.5,0.0
3.0,3.0
6.0,5.0
3.5,3.5
8.5,8.0
2.0,2.0
3.0,3.5
10.0,8.5
6.5,6.0
7.5,7.5
10.5,10.0
2.5,2.5
6.0,5.0
7.0,5.5
8.5,8.0
8.0,7.0
3.5,3.0
3.5,2.0
5.5,6.0
6.0,5.5
6.0,8.0
10.5,9.0
9.0,8.0
7.5,8.0
6.5,6.0
7.5,6.5
11.5,12.0
3.0,1.5
8.0,7.5
1.0,0.5
1.5,1.5
7.5,6.5
0.5,0.0
3.5,3.0
-0.5,-1.0
7.5,7.0
12.0,11.5
5.5,4.0
5.5,4.5
2.5,1.0
1.0,3.5
19.0,17.5
14.5,13.5
13.0,11.5
6.0,5.5
0.5,0.0
10.5,30.5
12.0,11.0
4.5,3.0
5.0,5.0
6.5,9.5
7.5,6.0
4.0,2.5
2.0,2.0
0.0,11.0
4.0,3.0
2.0,1.5
5.0,4.0
4.5,4.5
7.0,5.5
5.0,5.0
1.5,1.5
1.5,2.5
8.5,7.5
3.5,2.5
7.0,6.5
7.0,5.5
18.0,17.5
5.0,5.0
6.5,6.0
14.5,13.0
12.5,11.5
10.5,10.0
10.5,9.5
0.5,0.0
-0.5,0.0
4.5,4.0
4.5,4.0
16.5,15.5
11.5,11.5
0.5,0.0
1.5,1.0
12.5,12.0
5.5,4.5
9.0,9.0
0.5,0.0
5.0,4.5
5.0,4.0
9.0,8.0
8.5,7.0
7.0,7.0
5.0,4.5
10.0,9.5
14.5,13.5
10.5,10.0
6.0,5.5
1.5,0.0
4.0,10.0
19.5,19.0
24.5,24.5
8.5,8.5
11.0,10.0
1.5,1.0
4.0,3.5
0.5,0.0
7.5,6.0
10.0,10.0
8.0,7.0
6.0,6.5
7.0,7.0
4.5,4.0
26.0,28.5
1.5,1.5
18.5,18.0
0.0,-0.5
5.0,3.5
0.5,0.5
11.5,11.5
11.5,10.5
8.5,7.5
2.0,1.0
7.0,6.0
8.0,8.5
5.0,4.0
1.0,0.5
9.0,7.5
35.0,33.5
4.5,4.5
1.5,0.5
9.0,8.5
8.0,7.0
11.0,10.5
5.5,4.5
7.0,5.5
4.5,4.0
3.0,3.0
