LIDO DI CLASSE-LIDO DI SAVIO,CERVIA-MILANO MARITTIMA
-3.0,0.5
-2.0,3.0
2.0,2.5
-2.0,1.0
4.5,4.0
-3.0,2.0
1.5,3.0
-1.5,1.0
1.0,3.0
-1.0,-0.5
-1.5,0.0
-1.0,1.0
-2.0,-0.5
-1.0,0.5
23.5,33.0
26.0,33.0
2.0,2.5
-1.5,1.0
1.0,1.5
11.0,11.0
0.5,1.0
4.5,5.5
0.0,-0.5
1.5,2.5
-1.5,0.0
1.0,1.5
4.5,4.0
-2.0,0.0
0.5,1.0
-2.0,-0.5
-2.0,0.0
-3.0,2.0
-1.5,0.5
58.5,59.5
-2.0,0.0
-1.5,1.5
1.0,1.0
-1.5,0.5
10.0,10.0
-2.5,0.5
-4.0,0.0
4.0,4.5
-2.5,0.0
10.0,12.0
1.5,1.5
-3.5,-0.5
-2.0,0.5
-0.5,0.5
-1.5,3.0
3.5,3.0
0.5,2.0
47.5,52.0
-1.5,1.0
-2.5,0.5
-2.0,0.5
3.5,3.5
-2.5,0.5
-1.0,1.0
-1.0,1.5
1.0,1.5
-2.0,0.0
-0.5,0.5
-0.5,2.0
3.0,3.5
-2.5,0.0
-1.0,-0.5
-2.5,1.0
-1.5,0.5
-2.0,-0.5
-2.0,0.0
-2.0,0.0
-2.5,0.5
2.0,1.5
0.5,1.0
-1.5,1.0
-2.0,0.5
-1.5,0.5
-1.5,2.5
25.0,25.5
-2.0,0.5
1.0,2.5
-1.5,0.5
1.0,2.0
-2.0,0.5
1.5,2.5
4.5,5.5
1.0,1.5
-1.0,1.0
-2.0,0.5
0.0,0.5
0.5,0.5
-2.0,0.0
-1.5,0.5
-2.5,0.5
-1.5,0.0
-1.0,1.0
13.5,14.0
-2.0,1.0
0.0,2.0
-1.5,-1.0
1.0,1.5
-2.5,0.0
-2.0,0.0
-1.5,0.0
10.0,64.5
-2.0,0.5
-3.0,0.0
0.0,2.5
-2.5,-0.5
-2.5,0.0
-3.0,1.0
-2.5,0.5
-0.5,0.5
-2.0,0.5
0.0,0.0
1.0,0.5
-0.5,2.0
-0.5,0.0
-2.5,0.5
0.0,0.5
0.5,1.5
-1.0,1.0
0.5,1.0
-1.0,2.5
0.0,1.5
1.5,1.5
-2.0,0.5
-1.5,0.5
-2.5,0.0
8.5,8.5
-1.0,1.5
13.5,14.0
-3.0,0.5
3.0,5.5
0.5,1.0
-5.5,1.0
-1.0,3.5
6.5,6.5
1.0,4.0
-2.5,2.0
-1.5,1.0
-2.0,0.0
