VILLANOVA DI REGGIOLO,GONZAGA-REGGIOLO
12.5,12.0
2.0,1.5
24.5,24.0
1.5,1.0
2.5,0.5
0.0,-0.5
0.5,-0.5
1.5,1.0
2.0,1.5
0.0,0.0
10.0,9.0
-1.0,2.0
2.0,2.0
3.5,1.5
15.5,14.5
-0.5,-0.5
0.0,-0.5
-4.0,-0.5
-0.5,-1.0
-4.0,-1.0
4.0,2.0
0.0,0.0
-0.5,-0.5
1.5,1.5
1.5,1.0
4.0,3.0
4.0,2.0
-0.5,-1.0
-0.5,-0.5
1.0,0.5
0.0,-0.5
4.0,2.0
2.0,0.0
-0.5,-0.5
1.0,1.0
0.5,0.0
0.5,0.0
4.0,2.0
0.0,-0.5
0.0,0.0
0.0,-0.5
0.5,1.0
1.0,-1.0
-0.5,-1.0
3.0,2.5
2.0,2.0
0.5,0.0
2.5,0.5
0.0,-0.5
3.5,3.0
0.5,0.5
0.5,0.0
5.0,3.0
2.0,1.5
-4.0,-1.0
0.5,0.0
-4.0,-1.0
-0.5,0.5
2.0,1.0
1.5,0.5
-1.5,1.5
4.0,3.5
16.0,14.0
1.5,2.0
2.5,2.0
5.0,4.5
1.0,1.0
2.0,1.5
-0.5,-0.5
0.5,0.0
3.0,5.5
0.0,2.5
1.0,0.5
2.5,0.0
0.5,0.0
1.0,0.5
0.5,0.0
0.5,0.0
2.0,0.0
1.0,0.5
-0.5,0.0
2.5,2.0
1.5,1.5
2.0,1.5
0.5,0.0
0.0,0.0
0.0,-0.5
3.5,1.5
-0.5,-1.0
5.0,3.0
0.5,1.5
6.0,6.0
4.5,4.0
0.5,-0.5
4.5,2.5
1.0,0.5
-3.5,-0.5
8.0,14.0
3.0,3.0
2.5,1.0
-3.0,-0.5
11.0,10.5
1.0,1.0
0.5,0.5
0.5,0.0
7.0,6.5
3.0,2.5
2.5,2.0
20.5,18.0
4.0,3.5
0.5,0.5
11.0,11.0
0.0,0.0
-0.5,-0.5
5.5,3.0
0.5,-0.5
3.5,1.5
-0.5,1.5
7.5,7.0
3.5,3.0
1.0,0.0
3.0,1.0
2.0,1.5
0.5,0.0
0.5,0.0
0.0,0.0
2.5,0.5
-3.0,0.5
3.0,4.5
3.5,3.0
0.0,-0.5
2.0,0.0
0.5,0.0
6.5,5.5
44.5,44.0
-0.5,-0.5
-2.5,0.0
-4.0,-1.0
0.5,0.0
-1.5,1.5
2.0,0.0
4.0,3.0
6.0,6.0
2.5,2.0
5.5,7.0
26.5,24.5
1.5,1.5
2.5,1.5
0.5,0.5
1.0,0.5
12.0,10.0
13.5,16.0
9.5,8.5
5.0,7.5
1.0,4.0
3.0,2.5
-3.5,-1.0
-3.0,0.0
1.0,0.5
0.0,-0.5
5.5,5.5
0.5,0.0
0.0,0.0
7.0,5.5
0.0,-0.5
3.0,0.5
2.0,1.5
1.0,0.0
-2.5,0.0
6.0,4.0
1.0,0.5
-0.5,-1.0
0.0,-0.5
-0.5,-0.5
7.5,6.0
2.5,2.5
2.5,2.0
0.0,0.0
4.5,4.0
3.5,1.5
1.0,0.5
-3.0,0.0
2.0,1.5
-3.5,-0.5
7.5,5.5
1.5,1.0
6.5,6.5
2.0,1.5
12.5,12.0
4.5,2.5
3.5,3.0
-0.5,-1.0
4.5,4.0
0.0,0.0
0.0,-0.5
3.0,1.0
1.0,0.0
0.0,-0.5
2.5,2.5
0.0,-0.5
2.5,0.5
0.0,0.0
0.0,0.5
0.5,0.0
-0.5,-0.5
7.5,6.0
0.0,-0.5
6.5,6.0
6.0,5.5
4.5,4.0
4.0,2.0
2.5,2.0
0.0,-0.5
3.0,2.5
2.0,2.5
-3.5,0.0
0.5,2.5
-3.5,-0.5
-3.0,-0.5
11.0,9.0
5.0,4.5
0.0,-1.0
3.5,3.5
1.5,1.0
1.0,2.0
1.0,0.5
3.5,3.0
0.0,-0.5
4.5,2.5
0.0,-0.5
6.0,3.5
1.0,1.0
5.5,5.0
2.0,2.0
0.0,-0.5
4.0,2.0
5.0,4.0
5.0,4.5
4.0,3.5
1.0,0.5
3.5,1.0
-2.0,0.0
6.0,5.5
5.5,5.5
5.0,6.0
3.5,1.5
2.5,2.0
2.5,2.0
5.0,5.0
1.0,1.5
0.0,-0.5
3.0,0.5
4.5,3.5
15.5,13.0
0.0,0.0
2.0,1.5
2.0,1.5
1.5,1.5
6.0,3.5
0.0,-0.5
5.0,5.0
3.5,4.0
22.5,22.5
-0.5,-1.0
2.5,2.0
-0.5,-0.5
0.0,0.0
6.0,4.0
-3.5,1.5
4.5,3.0
11.5,9.5
1.5,1.0
8.0,7.5
2.0,1.5
2.0,2.0
2.0,0.5
2.0,1.5
1.0,0.5
2.0,2.0
3.5,3.0
7.5,5.5
2.0,1.0
0.0,-0.5
3.5,3.0
0.0,0.0
6.5,4.5
1.5,1.0
3.5,3.5
2.5,2.0
1.5,1.0
4.0,3.5
7.0,10.0
1.5,4.5
2.0,0.0
2.0,1.5
1.5,1.0
4.5,3.5
4.5,4.5
2.5,0.5
0.0,-0.5
3.5,3.5
5.5,5.0
0.5,0.5
2.5,1.0
0.0,0.0
6.0,6.0
7.0,7.0
5.0,8.0
0.5,0.5
9.5,14.5
0.5,0.0
1.5,1.5
7.0,5.0
-0.5,-1.0
47.5,48.0
-0.5,-0.5
1.5,1.5
3.5,3.0
0.5,0.5
1.5,1.0
2.0,-0.5
0.0,0.0
4.0,3.5
9.0,9.0
2.0,1.5
0.0,-0.5
6.5,6.5
0.0,-0.5
-3.5,-1.0
0.0,0.0
2.0,2.0
4.0,2.0
0.0,0.0
0.5,-0.5
6.0,5.5
0.5,0.0
1.5,1.0
3.0,1.5
-0.5,2.0
-2.0,0.5
1.0,1.0
0.5,0.0
4.5,4.0
7.0,6.0
2.0,1.5
8.0,7.0
3.0,0.5
1.0,0.5
5.5,5.0
4.0,3.5
5.0,4.5
4.5,3.0
3.0,2.5
1.0,0.0
2.5,2.0
5.5,5.5
15.0,15.0
4.0,2.0
1.5,2.0
1.5,1.5
1.0,2.0
0.0,0.0
4.5,2.5
0.0,-0.5
4.5,4.0
1.5,1.0
0.0,0.0
3.5,2.0
0.0,-0.5
5.5,5.0
3.5,3.5
0.5,1.0
4.0,2.0
2.0,1.5
3.0,3.0
4.5,4.0
5.0,4.0
2.0,0.5
4.0,3.5
2.5,2.0
0.5,0.0
1.5,2.0
3.5,2.0
1.5,1.0
-0.5,-1.0
1.0,1.0
0.5,0.0
4.0,5.0
1.0,0.5
1.5,1.0
0.0,-0.5
3.0,3.5
7.5,6.5
0.5,0.0
0.5,0.5
-3.0,0.5
0.0,-0.5
2.5,1.0
0.0,-0.5
4.5,4.0
5.5,5.0
1.0,0.5
5.0,3.0
0.0,-0.5
1.5,1.5
1.0,1.0
0.0,0.0
2.5,0.5
0.0,-0.5
-0.5,-0.5
0.0,-0.5
-0.5,-1.0
3.0,1.0
0.5,0.0
1.0,1.0
3.0,2.5
1.5,1.0
21.5,24.5
3.0,1.0
2.5,1.5
1.0,0.5
-0.5,-1.0
-0.5,-0.5
1.5,-0.5
0.0,-0.5
0.0,-0.5
-1.5,1.5
-2.0,0.0
2.0,0.0
0.5,0.0
0.0,0.0
2.5,2.0
0.0,0.0
7.0,5.5
0.5,0.0
0.0,-0.5
1.0,4.0
2.0,4.5
3.0,3.0
3.5,1.0
0.0,-0.5
1.5,1.0
0.0,0.0
2.0,1.0
3.5,1.5
3.0,3.0
5.5,5.0
3.5,3.0
2.5,2.5
-3.0,0.0
0.0,-0.5
0.5,0.5
-0.5,-1.0
2.0,0.0
0.5,0.0
3.5,2.5
0.5,0.0
2.5,2.0
2.5,2.0
2.0,2.0
4.5,4.5
4.5,3.5
4.5,3.5
11.5,11.0
0.5,0.0
2.0,1.5
5.5,4.5
0.5,0.0
1.5,1.0
-4.0,-0.5
0.0,0.0
5.0,5.0
0.0,-0.5
4.5,2.5
6.0,6.0
2.5,0.0
12.5,12.0
2.5,2.0
1.5,1.5
-3.0,-0.5
2.0,0.5
0.5,0.0
13.5,12.5
3.0,3.0
8.0,7.5
3.0,0.5
1.5,1.0
1.0,1.5
1.0,0.5
0.0,0.0
-0.5,-0.5
3.5,3.5
0.0,-0.5
0.5,3.0
5.5,4.0
0.0,-0.5
6.0,3.5
0.0,-0.5
1.5,1.0
1.5,1.0
2.0,1.5
-0.5,-0.5
3.0,2.5
1.0,0.5
0.0,-0.5
6.0,4.0
1.5,0.5
0.5,0.0
6.0,6.0
3.0,2.5
6.5,8.5
4.0,2.0
7.0,6.0
2.0,1.5
3.0,5.0
7.0,6.5
4.0,3.5
3.5,1.5
1.5,1.0
0.0,0.0
0.5,0.5
1.0,1.0
10.5,9.0
0.0,0.0
0.0,-0.5
1.0,1.0
0.0,0.0
4.0,2.0
0.0,-0.5
0.5,0.5
1.0,1.0
-3.5,0.0
5.5,4.0
2.0,1.5
3.5,6.0
2.0,1.5
4.0,3.5
2.0,0.0
0.5,0.0
5.0,4.5
7.5,7.0
6.5,6.0
2.5,0.5
1.0,1.0
0.0,-0.5
0.0,-0.5
2.0,1.5
3.5,2.0
0.0,0.0
1.5,1.5
0.5,-0.5
2.0,1.5
6.0,4.5
-0.5,-0.5
-3.5,0.5
-2.5,0.5
0.5,0.0
1.0,2.0
6.0,6.0
7.0,6.5
4.0,4.5
5.5,3.0
1.5,1.0
3.5,3.0
-0.5,-1.0
17.5,17.0
0.0,0.0
-0.5,-0.5
9.0,7.5
0.0,-0.5
2.5,2.0
1.5,1.0
6.0,6.5
2.0,0.0
1.0,0.5
1.0,0.5
2.0,1.0
1.0,0.5
5.5,3.5
5.5,4.5
4.0,4.0
4.0,4.0
12.0,10.5
3.5,3.5
0.5,1.0
3.5,3.0
0.0,0.5
0.0,-0.5
5.5,3.5
2.5,0.5
2.0,1.0
-0.5,-0.5
1.0,1.0
-2.5,0.5
4.5,2.5
16.0,16.5
1.5,-0.5
2.0,1.5
2.0,1.5
1.0,1.0
1.5,1.0
7.0,5.0
0.5,0.0
-3.5,-0.5
-2.0,1.0
-3.0,0.0
