ESTE,MONSELICE
33.5,38.5
-0.5,-1.0
-0.5,-1.5
0.0,-2.0
-1.5,-1.5
1.5,0.0
-0.5,-2.0
-0.5,0.0
0.0,-1.5
0.5,-0.5
2.5,1.0
3.0,1.0
3.5,3.0
-0.5,-0.5
0.0,-1.0
1.0,-0.5
0.0,-1.5
-0.5,-1.0
1.5,0.0
0.5,-1.5
1.5,1.0
-1.0,-1.0
-0.5,-1.5
-1.0,-1.0
2.5,1.0
2.0,2.0
0.0,0.0
4.0,2.0
2.0,0.0
8.0,5.5
2.5,0.5
-1.0,-1.5
-1.0,-1.0
-0.5,0.5
0.0,-1.0
-0.5,-2.0
-0.5,-0.5
-0.5,-1.5
-1.0,-1.5
1.5,1.5
0.5,-1.0
-1.0,-1.5
-1.5,-1.5
0.0,-1.0
1.0,-1.0
1.0,-0.5
0.0,-2.0
-1.0,-0.5
-0.5,-1.5
-1.5,-1.0
1.0,1.0
-1.5,-1.0
-2.0,-2.0
0.5,-1.0
-1.0,-0.5
1.5,0.0
0.0,0.5
1.0,1.0
-1.5,0.0
0.5,-2.0
-0.5,-2.0
2.0,1.0
0.5,1.0
-0.5,-2.0
40.5,38.0
-0.5,-1.0
0.5,-0.5
-1.5,-2.0
1.0,0.5
-0.5,-0.5
10.5,7.5
-0.5,0.0
-0.5,-1.5
-1.5,0.5
-1.0,-0.5
-1.0,-1.0
0.0,-1.5
0.0,-1.0
-0.5,0.0
0.5,-1.5
0.5,-1.5
1.5,-0.5
0.0,-1.0
-1.0,-0.5
2.0,0.5
0.5,-2.0
1.0,0.0
0.0,-1.5
3.5,1.5
-0.5,-1.0
2.0,1.0
1.0,-0.5
12.0,9.5
-1.0,-1.5
-1.0,-0.5
-1.0,-2.0
-0.5,-2.0
-1.5,-0.5
-0.5,-0.5
-1.0,-1.5
-0.5,-1.0
3.5,2.0
2.0,0.5
2.0,6.0
-0.5,-1.5
0.0,-1.0
-1.0,-1.0
2.0,0.5
-1.5,-1.5
-0.5,-2.5
0.0,0.0
-1.0,-1.5
1.0,-1.0
1.5,0.5
-0.5,-0.5
0.0,-0.5
-1.0,0.0
1.0,1.0
-0.5,-2.0
27.5,27.5
0.0,-1.5
-1.0,-2.0
-1.5,-1.0
1.5,-1.5
1.5,-0.5
3.5,1.5
4.0,1.0
