PESCIA,MONTECATINI CENTRO
-0.5,0.5
2.0,2.5
-1.5,0.0
0.0,1.5
-0.5,1.5
3.0,5.0
3.0,4.5
0.0,1.5
0.0,0.5
5.0,6.0
-1.0,0.5
2.0,3.5
15.5,19.0
3.5,5.0
-1.0,2.0
-1.5,0.5
-1.5,0.5
-1.0,1.0
-1.0,0.5
-1.0,0.5
-1.5,1.5
-1.0,0.0
7.5,8.5
2.0,3.5
9.0,13.5
0.5,2.0
-1.5,1.0
0.5,1.5
-0.5,1.0
3.0,4.0
1.5,2.0
-1.0,1.5
-0.5,1.0
5.0,7.0
0.0,1.0
0.0,1.0
-2.0,1.0
-1.0,0.0
0.5,1.0
-2.0,2.0
-2.0,0.0
-1.0,0.5
-1.5,2.0
0.5,1.5
-2.5,0.5
-2.5,0.5
-1.0,5.5
1.0,2.5
-1.5,0.5
1.5,2.5
1.5,2.5
0.0,1.0
0.5,2.0
-2.0,1.0
1.0,2.0
-2.0,4.0
-0.5,2.0
0.0,2.0
4.0,4.5
0.0,1.0
-1.5,0.0
-0.5,10.0
0.0,1.0
-0.5,1.5
-2.0,0.5
-1.5,0.5
1.5,2.5
-1.5,-0.5
-1.0,1.5
-0.5,0.5
-1.0,1.0
-1.5,1.0
3.0,4.0
-1.5,0.5
-1.0,0.0
0.5,1.5
-0.5,1.5
2.5,6.5
-2.0,1.0
1.5,2.5
-0.5,1.5
2.0,3.5
0.0,1.0
3.0,4.0
2.0,3.0
-1.0,1.5
-2.5,3.0
0.5,1.0
-2.0,0.5
-1.0,0.5
-1.0,1.5
-1.0,1.0
0.0,2.0
0.5,2.0
-0.5,0.5
-2.0,0.0
-2.0,0.5
0.0,0.5
-2.5,0.5
-1.5,0.5
-1.0,0.5
2.0,3.5
0.0,1.0
3.5,4.5
1.5,2.5
-3.0,0.0
-0.5,1.0
2.0,4.0
-3.0,0.5
-2.5,0.5
0.0,1.5
0.5,2.0
-0.5,1.0
-2.0,0.5
2.5,4.0
4.0,6.0
31.0,32.0
-1.5,1.5
-0.5,0.5
1.0,3.5
-0.5,6.5
0.0,1.5
-0.5,0.5
1.0,1.5
0.5,1.5
0.5,1.5
0.0,0.5
-1.0,1.5
-0.5,8.5
0.0,2.0
-2.5,1.0
0.0,1.5
0.0,1.5
-2.0,0.5
2.0,2.5
0.5,1.5
-1.0,0.5
0.5,1.5
0.5,1.5
-0.5,0.5
-2.5,0.5
1.5,3.0
-2.0,0.5
-2.0,1.0
-0.5,1.5
1.5,3.0
