MILANO CENTRALE,MILANO LAMBRATE
5.0,2.5
3.0,1.0
7.0,4.5
1.0,-2.0
2.5,1.0
2.5,0.5
7.5,5.0
3.0,0.5
4.5,2.5
5.5,3.5
6.0,4.5
20.5,19.0
1.5,-1.0
4.0,2.5
7.5,7.0
1.5,-1.0
5.5,3.0
3.0,1.0
2.5,1.5
6.5,4.5
3.5,0.5
3.0,0.0
7.5,5.5
5.0,2.0
5.0,3.5
5.5,3.0
3.0,0.5
2.0,-0.5
4.0,1.0
35.5,34.5
5.5,3.0
6.0,3.5
1.0,-1.5
6.0,3.5
6.0,4.0
16.0,13.5
3.5,1.0
19.5,21.0
3.0,0.5
4.0,1.0
2.5,1.5
2.0,-0.5
1.0,-1.5
1.5,-1.0
5.0,2.5
3.5,1.0
26.5,24.0
7.5,4.5
4.0,1.0
4.5,3.0
14.5,12.0
2.0,-0.5
4.0,1.5
6.0,4.0
6.5,3.0
4.0,1.0
18.0,15.5
4.5,1.5
4.5,2.0
2.5,0.0
3.0,0.0
3.5,1.5
2.5,0.0
4.5,2.0
2.5,0.5
5.5,3.0
62.0,60.5
5.0,3.0
11.0,10.5
4.5,2.0
2.5,0.5
3.0,4.0
4.0,1.5
2.0,0.0
3.0,0.5
6.0,3.5
11.5,9.0
5.0,3.5
2.0,-0.5
19.5,20.0
1.0,-1.0
3.5,2.0
36.5,36.0
10.5,9.0
2.0,0.0
11.5,9.0
1.0,-1.0
7.0,5.0
2.5,0.0
1.5,0.0
9.5,8.0
2.5,0.5
4.5,2.5
2.0,1.0
2.5,0.0
2.0,-0.5
2.0,-1.0
1.0,-1.0
4.5,2.5
2.5,0.0
2.5,0.0
24.5,22.0
1.5,0.0
3.0,0.0
10.0,8.0
3.0,1.0
4.5,2.0
3.5,1.0
2.0,0.0
4.0,2.0
2.5,0.5
1.5,-1.0
2.0,0.0
11.0,10.0
6.0,3.5
1.5,-1.5
2.5,0.0
7.5,5.5
3.0,0.0
8.5,9.5
1.5,0.0
59.5,58.0
16.0,14.0
1.0,-1.5
0.0,0.0
3.0,0.5
60.5,59.0
0.5,0.0
5.5,3.0
2.0,-0.5
8.0,5.0
76.0,73.0
1.5,-0.5
1.5,-0.5
2.5,0.5
1.5,-1.0
4.0,1.0
13.0,10.0
3.5,1.5
51.5,50.0
13.5,11.0
2.0,-0.5
9.5,9.0
3.0,0.5
2.5,0.5
18.0,15.5
32.5,29.0
